Gene	GSM4559630_Control1_1	GSM4559631_Control2_1	GSM4559632_Control3_1	GSM4559633_Ad5-hACE2-transduced1_1	GSM4559634_Ad5-hACE2-transduced2_1	GSM4559635_Ad5-hACE2-transduced3_1
Ncl	4.14	5.23	6.14	7.57	10.82	9.2
Pvr	0.63	0.51	1.32	4.38	9.58	7.63
DQ565376	0	0	0	0	0	0
Gm15941	0	0.09	0.14	0.06	0.79	0.6
Hecw1	0.03	0.33	0.22	0.27	0.18	0.16
DQ566923	0	0	0	0	0	0
AK002250	0	0.18	0	0	0	0
Mmab	0.45	1.21	0.42	0.79	1.93	0.99
Mrpl57	3.72	1.95	3.8	5.13	7.87	2.42
Tox4	2.54	2.86	3.48	9.4	11.27	10.98
Nrn1l	0	0	0	0.11	0	0.49
4833422C13Rik	0.2	0.34	0.27	0.39	1.04	0.39
G530011O06Rik	0.98	1.54	2.25	6.61	13.68	17.16
Rundc3b	0.02	0.07	0.25	0.23	0.24	0.59
Cpb2	0.03	0.07	0.13	0.11	0.22	0.11
Ptcra	0.22	0.42	0.12	0.43	0.08	0.55
Dcaf5	1.46	1.46	1.79	3.79	6.54	5.26
Ubxn2b	0.59	0.43	0.69	1.02	1.88	1.4
Gpr89	0.73	0.55	0.47	1.89	2.94	2.14
Tcf25	6.92	7.07	8.69	21.19	34.71	26.52
4921539E11Rik	0	0	0.01	0	0	0
DQ711810	0	0	0	0	0	0
Ccdc18	0.23	0.17	0.17	0.22	0.38	0.29
4930423M02Rik	0	0.14	0	0	0.07	0
Fam229b	0	0	1.57	0.43	0.79	0
Tcrb	0	0	0	4.35	1.02	2.36
Zdhhc6	1.35	2.01	2.09	5.46	8.63	6.41
4933400L20Rik	0	0	0	0	0	0
Trmt61b	0.2	0.02	0.31	0.4	0.68	0.34
Xcr1	0.18	0.43	0.86	1.47	1.2	1.71
Cacna1c	0.31	0.49	1.11	1.53	8.32	4.1
Peg12	0.15	0.14	0.42	0.32	0.41	0.29
DQ718809	0	0	0	0	0	0
Zfp771	0.81	1.56	1.52	2.65	4.12	5.03
Rasd2	0.4	0.29	0.36	1.03	0.72	0.81
Ccnt1	1.41	1.6	1.77	5.14	10.02	7.9
Tarbp1	0.09	0.2	0.21	0.26	0.93	0.77
DQ561518	0	0	0	0	0	0
AK047352	0.07	0.08	0	0.26	1.53	1.4
DQ562875	0	0	0	0	0	0
P2ry4	0.06	0.22	0.33	0.2	0.07	0.07
Gabrb3	0.06	0.07	0.04	0.03	0.01	0
Kalrn	1.13	1.5	1.75	1.66	5.07	4.05
Dennd4c	1.64	2.35	2.38	5.36	10.53	10.15
4930484H19Rik	0	0	0	0	0	0
Gm17750	0	0	0	0	0	0
Gm17399	0	0.12	0.2	0.19	0.07	0
DQ562286	0	0	0	0	0	0
Katnal1	0.19	0.42	0.58	0.62	1.15	0.94
Zfp46	0.83	1.06	1.03	2.48	4.34	3.77
Banp	0.22	0.18	0.34	0.93	1.91	1.83
Oosp3	0	0	0	0	0	0
Mir200c	0	0	0	0	0	0
Fbxl21	0.05	0.11	0.04	0.26	0.2	0.36
Ces1f	0.09	0.05	0	0.08	0.08	0.12
Wsb2	8.39	8.19	8.55	13.53	20.56	15.62
Ptprq	0	0.05	0.04	0.02	0.07	0.04
KY467768	0.05	0.25	0.21	0.07	0	0
Hebp2	0.19	0.15	0.13	0.28	0.24	0.15
Zfp872	0.08	0	0.13	0.08	0.34	0.26
Ptchd3	0.05	0.08	0.05	0.18	0.16	0
Taz	0.33	0.68	0.47	2.29	6.28	4.6
Vmn1r181	0	0	0.07	0	0.16	0
AK135647	0	0.05	0.01	0.06	0	0.05
Cracr2b	2.55	2.25	3.42	5.03	10.18	9.55
Olfr488	0.09	0.27	0	0.12	0.09	0.09
Cts6	0	0	0	0	0	0
Krt32	0	0.08	0.02	0.12	0	0
Wdr81	0.71	0.68	1.16	3.64	4.22	3.49
Gm20857	0	0	0	0	0	0
Socs6	1.31	0.82	1.82	3.66	3.88	4.34
Rufy1	1.26	1.71	1.26	2.96	3.59	3.29
Mug2	0.07	0.17	0.1	0.13	0.14	0.14
4932438H23Rik	0.07	0.06	0.12	0.15	0.26	0.23
Olfr584	0.01	0.23	0.13	0.12	0.09	0.09
BC047062	0	0	0	0	0	0
Crispld1	0.13	0.08	0.06	0.09	0.16	0.16
Tob2	2.83	2.22	2.19	5.92	7.69	6.45
Hells	0.27	0.28	0.41	0.95	2.1	1.45
X02942	0	0	0	0	0	1.56
DQ726614	0	0	0	0	0	0
Dusp13	0.08	0	0.04	0.06	0.14	0.09
Slc5a8	0.01	0.06	0.12	0.05	0.03	0.15
Chkb	1.18	0.5	1.03	2.2	6.58	4.63
Olfr357	0.21	0	0	0.19	0	0
Gm6042	0	0	0	0	0	0
D430041D05Rik	0.15	0.2	0.61	0.21	0.32	0.18
DQ694781	0	0	0	0	0	0
Mcoln2	0.29	0.16	0.21	1.19	3.53	1.43
AK006921	0.33	0	0	0.14	0.25	0.21
4930483O08Rik	0	0	0	0.22	0.17	0.33
AK085277	0.03	0.19	0.14	0.45	1.25	0.98
Vsx1	0.02	0.04	0.17	0.18	0.04	0.02
Tro	0.08	0.2	0.1	0.08	0.19	0.44
DQ547524	0	0	0	0	0	0
AK086465	0.02	0.31	0.1	0.62	1.03	1.18
Csrnp1	2	2.08	1.96	10.65	17.79	15.68
Mrgprg	0.1	0.09	0.23	0.27	0	0.21
AK021362	0	0.06	0	0	0.25	0
Selenow	44.17	59.47	53.69	133.1	212.36	206.59
5730409E04Rik	1.22	2.85	1.81	1.63	3.41	1.67
Ms4a4c	3.38	5.77	4.62	81.25	80.12	80.34
Syt3	0.01	0.14	0.01	0.02	0.13	0.09
DQ703906	0	0	0	0	0	0
Btbd17	0.12	0.04	0.21	0.25	0.19	0.25
Myo5a	1.71	1.87	1.69	2.79	4.32	3.39
AK210908	0	0	0	0	0	0
4930413F20Rik	0.13	0.06	0.18	0	0	0.15
Gm10754	0	0.1	0.02	0	0	0
DQ548140	0	0	0	0	0	0
Chpf2	0.65	0.49	1.13	3.1	8.43	5.78
Trrap	1.1	1.21	1.67	5.22	10.5	8.8
Vmn2r-ps129	0.11	0.21	0.45	0.46	0.72	0.71
Cdh1	2.8	2.77	3.61	8.41	32.64	28.46
AK162540	0.14	0.25	0.27	0.67	1.51	1.13
DQ688374	0	0	0	0	0	0
DQ684952	0	0	0	0	0	0
AK169958	0.21	0.15	0.19	0.69	3.77	2.53
Pparg	0.18	0.43	0.75	3.06	2.64	3.37
Ccdc141	0.88	0.7	0.9	1.65	6.61	3.8
Scamp5	0.34	0.45	0.35	0.4	0.62	0.9
AK163292	0.38	0	0.25	0	0	0
Hsf4	0.25	0.65	1.01	1.02	1.67	1.69
Rpa2	0.98	0.72	1.28	2.05	3.65	2.94
AK048032	0	0.18	0	0.09	0	0
DQ686547	0	0	0	0	0	0
Cox6b1	21.43	29.5	32.58	52.2	61.28	52.73
AB348315	0	0	0	0	0	0
Gm24572	0	0	0	0	0	0
Otud5	2.89	2.61	2.81	8.47	14.19	12.58
Rgs3	4.21	6.89	6.35	11.28	20.74	17.11
AK179066	0	0	0	0.37	0.58	0.84
Megf8	0.73	0.81	1.33	2.09	6.56	5.11
Myod1	0.12	0.16	0.08	0.19	0	0.04
Paxip1	1.35	2.01	2.17	4.05	8.4	6.69
DQ547689	0	0	0	0	0	0
Slc25a43	0.36	0.22	0.56	1.23	2.51	1.32
Avil	0.03	0.01	0	0.11	0.3	0.02
Fli1	4.03	4.28	4.95	10.91	12.6	10.44
TCRAV3	0	0.14	0.16	0.22	0.52	1
Rbmx	2.17	1.36	1.65	3.32	9.43	4.61
2300003K06Rik	0	0.56	0.09	0	0.1	0
2010109I03Rik	0.1	0.2	0.42	0.47	0.45	0.62
Mat2a	3.68	4.29	4.05	7.83	19.99	13.93
Hist1h2bl	11.72	12.59	10.3	22.54	30.27	19.11
DQ718776	0	0	0	0	0	0
AB348416	0	0	0	0	0	0
Sf3b4	3.19	3.67	6.24	12.31	8.98	9.54
Arfgap1	1.29	1.54	1.78	4.03	10.1	7.24
Pcdha12	0.03	0	0.19	0.07	0.07	0.03
Golt1b	1.16	1.36	1.66	3.32	4.34	3.99
Mcm4	1.7	1.76	1.55	4.45	4.78	2.89
Plppr1	0.02	0.05	0.06	0.01	0.04	0
B020018J22Rik	0.04	0.15	0.21	0.18	0.09	0.05
AK006189	0	0.1	0.77	0	0	0
Exosc7	1.3	1.89	2.55	3.74	7.32	6.61
Mir8109	0	0	0	0	0	0
DQ691181	0	0	0	0	0	0
Gm17660	0	0	0	0	0	0
Clec2l	0.01	0.19	0	0.04	0.06	0.06
Rnu1b1	11.62	12.21	16.62	66.34	38.79	53.52
Il33	4.87	5.43	5.89	5.56	11.44	10.15
D130017N08Rik	0.11	0.38	0.47	0.18	0.14	0.46
Barhl2	0.07	0.14	0.17	0.02	0.03	0.22
Spint3	0	0.08	0	0.12	0	0
AK029663	0.29	0	0.89	0.55	1.78	0
Mir34c	0	0	0	0	0	0
Naa15	1.58	1.29	1.67	3.26	5.31	4.26
Actr3b	0.17	0.06	0.1	0.12	0.04	0.76
Dock7	1.15	0.99	1.23	1.86	5.4	4.26
Psma6	7.38	9.93	6.72	17.06	15.45	16.81
DQ707234	0	0	0	0	0	0
Ear1	0.66	1.96	2.84	5.32	2.95	3.98
AK202078	0	0	0	0	0	0
Mir301	0	0	0	0	0	0
Gamt	0.59	0.77	1.84	1.34	0.76	1.58
Irf2bp2	3.93	4.51	5.32	12.36	18.35	16.68
Olfr633	0.02	0	0.09	0.18	0	0.09
AK162942	0	0.2	0.04	0.27	1.17	0.58
Ccdc122	0.11	0.1	0.39	0.51	0.72	1.37
Htra4	0.27	0	0.19	0.42	0.97	0.6
Fpr2	3.56	5.23	6.93	27.73	27.1	20.09
Tcp10c	0	0	0.07	0	0	0
Tyms	19.3	48.42	61.41	109.14	94.44	127.27
Slc25a54	0	0	0	0	0	0
Scfd1	2.31	2.48	2.05	4.8	9.15	7.26
AK194005	0.08	0	0.46	1.24	2.28	1.24
Hist1h2bg	34.45	42.14	35.1	78.74	77.32	47.92
Syngr1	0.27	0.37	0.41	0.8	1.17	1.26
DQ541362	0	0	0	0	0	0
Selenoi	0.36	0.36	0.61	1.16	2.83	1.66
DQ554143	0	0	0	0	0	0
Cdc25c	0.27	0.21	0.15	0.34	0.42	0.52
Ankrd34c	0.07	0.22	0.09	0.08	0.05	0.06
Nwd1	0.06	0.19	0.23	0.23	0.48	0.41
Whrn	0.31	0.73	0.46	1	2.43	2.37
Klk1b9	0	0	0.05	0.2	0	0
Tfpt	0.59	0.46	0.44	1.17	3.02	2.74
Defa29	0.41	1.02	0.9	0.25	0.19	0.43
Mtch1	16.82	13.98	11.03	21.15	30.43	25.37
Stmnd1	0.17	0	0.25	0.2	0.73	1.08
Oas1h	0	0	0	0	0	0
Fam160b1	1.36	1.56	1.41	3.66	6.51	4.99
Gm23363	0	0	0	0	0	0
DQ692365	0	0	0	0	0	0
2810049E08Rik	0	0.03	0	0.05	0	0.15
4632427E13Rik	0.01	0.26	0.3	0.39	0	0.49
0610009L18Rik	0.73	0.7	0.45	0.53	0.33	0.48
AK144912	0.52	1.45	2.17	2.99	2.81	3.72
Chrna4	0.04	0.2	0.17	0.15	0.08	0.07
Mir1957b	0	0	0	0	0	0
Spata2	2.6	0.7	1.49	3.69	7.28	3.98
Nlrp5-ps	0.26	0.07	0.65	0.27	0.29	0.24
Tmem233	0.03	0	0	0	0.14	0
DQ706448	0	0	0	0	0	0
DQ555142	0	0	0	0	0	0
Gm13944	0	0	0.12	0.16	0.38	0
Mbd3	3.56	7.2	5.77	8.23	10.87	9.67
DQ716579	0	0	0	0	0	0
Gm5072	0.19	0.17	0.15	0.14	0.04	0.04
Zbtb7a	2.5	3.17	3.44	9.53	13.03	13.88
Pcnt	1.38	1.19	2.24	4.67	10.66	9.24
Slc46a1	0.26	0.03	0.14	0.34	0.56	0.36
Creb3l4	0.26	0.03	0.03	0.04	0.22	0.12
Capsl	0.23	0.23	0.04	0.79	0.75	1.02
Diras1	0.09	0.08	0.15	0.21	0.08	0.03
Slc16a12	0.01	0.05	0.12	0.14	0.56	0.27
DQ557047	0	0	0	0	0	0
Cd33	2.39	1.51	2.29	4.46	5.74	4.66
Tpk1	0.4	0.48	0.62	0.8	1.07	1.08
AK037562	0.05	0.18	0.12	0.08	0.34	0.07
Mir6359	0	0	0	0	0	0
DQ723314	0	0	0	0	0	0
Robo2	0.66	0.47	0.91	0.86	4.95	2.96
AK085969	0.12	0.38	0.08	0.22	0.25	0.16
Slc22a29	0	0.06	0	0	0	0.03
Telo2	0.34	0.41	0.64	1.6	2.82	1.96
Mepe	0.05	0.71	0.19	0.06	0.05	0.09
Slc28a1	0	0.13	0	0.05	0.05	0.08
AK081119	0.04	0.02	0.06	0.09	0.59	0.38
Mfge8	2.94	2.65	4.83	6.95	22.3	11.16
Tgm7	0	0.03	0.03	0	0.07	0.04
Il4i1	0.65	0.41	0.6	1.74	2.32	1.85
AK086236	0.09	0.03	0.03	0	0	0
DQ549789	0	0	0	0	0	0
KY467511	0	0.01	0.1	0.02	0.1	0.09
Vmn1r103	0	0	0	0	0	0
Yeats4	4.09	5	3.2	4.95	7.62	5.14
Ubiad1	0.81	1.1	0.53	2	2.96	2.82
Rhobtb2	0.68	1.06	1.49	3.19	4.58	3.5
Ebna1bp2	0.95	1.76	1.26	3.49	4	4.16
Pcdha5	0	0.09	0.06	0.03	0.02	0
DQ552475	0	0	0	0	0	0
Ttc39a	0.4	0.56	0.47	0.8	1.91	2.15
Gm15348	0.01	0.07	0.1	0.01	0.04	0.06
Tulp3	1.78	1.36	1.51	2.68	5.65	4.45
Rab18	4.02	4.09	3.95	5.7	9.09	8.76
Gmds	0.43	0.88	0.59	0.72	1.45	1.05
Haus5	0.64	0.41	1.03	1.67	2.85	2.11
Nmt1	5.12	7.06	6.03	24.72	22.41	19.24
DQ699719	0	0	0	0	0	0
Coasy	0.83	0.74	0.96	1.79	3.16	2.93
Gm5141	0.03	0.07	0.14	0.19	0.37	0.57
Mir202	0	0	0	0	0	0
Bcl2a1a	4.69	3.9	3.2	16.16	11.29	9.84
Btbd19	1.28	1.57	2.77	6.25	4.39	7.38
Mir1938	0	0	0	0	0	0
Nck2	3.02	4.59	2.94	6.46	12.37	9.48
Fut2	0.02	0.45	0.19	0.32	0.59	0.49
DQ711473	0	0	0	0	0	0
Cacng4	0	0.04	0.37	0.06	0	0.18
Olfr1163	0	0	0.11	0	0	0
DQ688550	0	0	0	0	0	0
Prr36	0.06	0.17	0.38	0.29	0.39	0.38
AK076759	0	0	0	0	0	0
Fgf18	0.6	0.49	0.45	0.1	1	1.08
AK084679	0.05	0.05	0.03	0.09	0	0.02
Etfdh	1.94	2.32	2.34	5.05	7.03	6.03
DQ685192	0	0	0	0	0	0
D5Ertd579e	0.85	1.49	2.18	3.16	7.6	5.64
Cox14	6.12	5.89	4.43	13.02	14.4	11.72
DQ550446	0	0	0	0	0	0
Hsd3b6	0.01	0.21	0.02	0.04	0	0.13
Casd1	0.94	0.78	0.85	2.28	4.63	3.15
4930412B13Rik	0	0	0.12	0.13	0	0
Mir6939	0	0	0	0	0	0
Nkx3-2	0.29	0.16	0.55	0.29	0.11	0.44
Rbm18	1.3	1.48	1.97	4.71	7.11	5.83
Mbd6	1.2	1.67	1.93	7.7	11.57	9.19
AK003663	0	0	0	0	0	0.15
DQ717659	0	0	0	0	0	0
Ccer2	0.08	0.2	0.04	0.05	0	0.24
Rnf145	1.77	2.31	3	4.53	10.57	8.47
AB346786	0	0	0	0	0	0
Rffl	1.12	0.79	0.71	2.49	3.97	2.83
BC044868	0	0	0	0	0	0
Rhob	8.12	9.52	8.58	17.43	28.64	19.56
Pla2g2d	0.1	0.19	0.39	0.57	0.38	0.54
DQ712910	0	0	0	0	0	0
Bcl3	4.65	5.81	5.41	25.69	27.26	22.73
Heg1	13.82	18.84	19.07	22.68	51.11	29.2
Sufu	1.08	1.26	1.34	2.64	5.98	5.06
Ano2	0.05	0.11	0.15	0.06	0.02	0.06
Vangl2	0.17	0.24	0.36	0.61	1.3	1.05
Ttc19	0.34	0.3	0.67	1.15	3.26	3.06
Mir208b	0	0	0	0	0	0
Scrn2	0.3	0.33	0.58	0.52	0.86	0.58
Olfr1364	0	0.04	0.17	0	0.19	0
Far1	2.78	3.42	3.85	6.99	16.86	13.22
P2rx2	0	0.02	0.15	0.16	0	0.18
Glyatl3	0	0.21	0	0.07	0	0
Nefh	0.08	0.15	0.44	0.26	0.39	0.24
Catsper1	0.01	0.02	0.05	0.07	0	0
Dkk3	1.3	2.39	2.93	2.41	11.5	5.51
AK142297	0.03	0.03	0.06	0.12	0.03	0.03
DQ712778	0	0	0	0	0	0
Mir130c	0	0	0	0	0	0
Olfr1022	0	0.19	0	0	0.09	0.18
Acbd4	1.27	0.69	0.5	3.73	4.39	2.8
Tmem170b	1.68	1.97	1.89	3.15	5.34	4.73
Dsc3	0	0.05	0	0.05	0.01	0
Ggt7	0.03	0.19	0.03	0.17	0.41	0.15
Mal2	9.06	11.2	12.38	16.6	38.59	34.46
Gipc3	1.71	1.43	1.12	2.48	2.91	1.59
DQ567628	0	0	0	0	0	0
C130046K22Rik	0.33	0.48	0.85	0.81	1.77	0.84
AK142879	0.11	0.06	0.08	0.16	0.37	0.02
Trak1	3.24	3.84	5.18	8.64	18.99	16.7
Treml2	0.94	0.73	0.7	6.84	6.92	5.91
Wdfy1	1.43	2.6	1.92	8.9	11.65	10.02
Slc9a6	0.54	0.72	0.69	1.28	2.95	2.2
Gm9899	0.04	0.18	0.09	0.15	0.23	0.14
Cnep1r1	2.92	1.89	2.65	6	9.17	9.24
Rpph1	14502.9	14039.04	20662.92	25327.85	42162.61	39733.81
Pof1b	0.34	0.45	0.56	0.79	2.18	1.38
Magef1	0.09	0	0.28	0.62	1.01	0.39
DQ696976	0	0	0	0	0	0
Pycr1	0.31	0.37	0.4	0.32	0.82	0.27
Prdx2	7.78	7.16	9.19	11.78	13.4	11.3
TRBV16*01	0	0	0	0	0	0
Gm11733	0	0.03	0.03	0.11	0.03	0.07
AK180712	0	0	0	0	0	0
Zfp608	1.71	2.13	3.09	5.38	15.19	10.14
AK161543	0	0.09	0.09	1.42	1.61	1.56
Nop16	0.2	0.69	0.25	0.72	1.62	1.37
Scg3	0.08	0.1	0.02	0.09	0.28	0.14
Gnpda1	1.25	1.29	1.47	5.77	4.63	5.01
Gm5523	0.43	2.41	0.56	0.42	1.67	1.2
6030469F06Rik	0.07	0.06	0.09	0.03	0.05	0
Catsperg1	0.07	0.11	0.1	0.28	0.88	0.63
Olfr1024	0	0.04	0.2	0.23	0.09	0
Tmem63c	0	0.01	0.04	0.03	0.07	0
JX277430	0	0	0	0	0	0
DQ725296	0	0	0	0	0	0
Chrna5	0.01	0.01	0.01	0.04	0	0.03
Atp5f1	6.24	7.75	5.91	15.58	14.68	11.61
Hdac7	4.82	6.13	7.66	13.69	30.29	26.61
Tspyl1	3.13	3.58	3.42	6.49	10.56	9.19
AK145162	0	0	0.76	1.69	3.88	2.49
AK047485	0	0.06	0.03	0.01	0	0.02
Osbpl3	1.17	0.75	1.18	2.92	6.45	5.86
Psme1	29.56	37.4	37.39	130.44	129.02	113.17
Gprin3	0.34	0.62	1.09	0.59	2.31	1.38
DQ715007	0	0	0	0	0	0
Celf3	0.06	0.19	0.31	0.13	0.09	0.19
Nkiras1	0.09	0.1	0.26	0.34	0.92	0.54
Me1	1.53	2.52	2.94	2.65	4.45	3.94
4930579G18Rik	0	0.07	0	0.15	0.84	0.55
DQ724356	0	0	0	0	0	0
DQ713021	0	0	0	0	0	0
BC050184	0	0	0	0.28	0.17	0.36
Gm4719	0	0	0	0	0	0
BB218582	0	0.14	0	0	0	0
Ppp2r5e	3.22	3.37	4.13	7.35	11.89	10.84
Nup35	0.56	0.34	0.42	1.85	2.08	2.14
Mir5104	0	0	0	0	0	0
Clint1	4.86	5.05	5.42	11.46	14.22	11.24
Eml1	2.79	4.15	2.93	3.15	7.01	6.71
Bmp2	0.23	0.28	0.08	0.48	1.06	0.88
Art2b	0	0.6	0.19	0.61	1.68	0.92
Slc1a2	0.29	0.21	0.23	0.43	0.54	0.37
Prss27	0.14	0.03	0	0.14	0.07	0.07
AK040202	0.07	0	0	0.17	0	0
Smap2	4.2	3.3	3.94	13.67	14.54	14.68
Gcc2	2.2	2.2	2.44	3.49	9.67	6.22
Clrn3	0.04	0.07	0.01	0.04	0.07	0.09
Tmie	0.1	0.27	0.57	0.39	0.29	0.44
DQ564818	0	0	0	0	0	0
Tbx3	6.44	8.48	9.48	8.6	15.92	12.01
Snapin	2.57	3.22	4	6.08	8.9	7.69
Ttyh3	3.93	4.66	5.96	15.36	17.8	15.19
Prss38	0	0.06	0.09	0	0	0.2
Olfr137	0	0.04	0.09	0	0	0
Slfn1	6.09	5.18	6.06	49.44	43.42	43.84
Dmrt2	0	0.15	0.1	0.19	0.23	0.1
Tshz2	2.55	2.33	2.41	1.92	2.45	1.59
Erp29	2.54	3.76	1.8	8.02	12.02	10.81
Olfr651	0.04	0.07	0	0	0.24	0.08
Cisd2	1.17	1.38	2.45	3.56	6.37	4.5
DQ706325	0	0	0	0	0	0
Pkp4	4.72	6.47	8.03	7.5	15.16	12.46
Fam227a	0.02	0.12	0.06	0.4	1.17	1.04
Ndel1	2.51	4.48	3.75	13.73	18.37	14.48
Rundc1	0.25	0.92	0.83	1.37	2.76	2.13
Evi5l	0.62	2	1.12	1.54	3.12	2.08
Lhx8	0	0.02	0.14	0.08	0.08	0.04
Eif4a1	23.19	26.56	27.19	68.93	61.63	54.55
TCRV-alpha 22.1	0.42	0.22	0	0	0	0
Elfn2	0.03	0.43	0.19	0.12	0.12	0.15
Abhd14a	0.35	0.14	0.52	0.47	0.33	0.13
Efcab11	0.14	0.15	0.18	0.23	0.19	0.29
Hotairm2	0	0	0	0	0	0.31
DQ725868	0	0	0	0	0	0
Wdr35	0.28	0.28	0.4	0.44	0.98	0.41
DQ692526	0	0	0	0	0	0
Olfr765	0	0.16	0	0.06	0.19	0
Nup153	3.09	3.07	4.47	9.15	12.15	10.81
DQ562993	0	0	0	0	0	0
DQ720334	0	0	0	0	0	0
Cdca7l	0.38	0.3	0.57	0.64	1.2	0.9
Car11	0.13	0.05	0.26	0.11	0.06	0.11
Nuggc	0	0	0	0.04	0.03	0.06
AA414768	0.19	0.8	0.5	0.69	0.72	0.67
Oaz1	4.91	7.46	4.31	7.11	9.51	9.3
Mrgpra4	0.05	0.24	0	0.39	0.11	0.22
C230035I16Rik	0	0.33	0.05	0.07	0	0.69
KC202856	0	0	0	0	0	0
DQ696282	0	0	0	0	0	0
Tas2r115	0	0	0	0.06	0	0
Uroc1	0.03	0.1	0.23	0.03	0.02	0.04
Tmem53	0.33	0.46	0.19	0.55	1.28	0.96
Ccdc8	0.29	0.72	0.6	0.52	0.46	0.94
Kcnh5	0.05	0.09	0.09	0.08	0.02	0.09
Snora44	0	0	0	0	0	0
Dancr	0	0.56	0	0.05	0.78	0.36
Jph1	0.03	0.14	0.14	0.14	0.45	0.11
AK179850	0.09	3.29	1.36	0.38	4.9	3.32
Slc35a1	0.69	0.59	0.61	1.22	3.79	2.02
DQ548838	0	0	0	0	0	0
Hist1h4f	30.04	39.6	42.85	49.67	63.38	58.7
DQ563831	0	0	0	0	0	0
AK029875	0.02	0.25	0.33	0.12	0.26	0.44
Snx19	0.48	0.5	0.84	1.95	5.16	3.48
Ndufb6	1.11	1.14	1.38	3.5	3.18	2.8
DQ691358	0	0	0	0	0	0
AB334950	0	0	0	0	0	0
DQ705599	0	0	0	0	0	0
Gtpbp4	1.19	1.34	2.27	3.81	4.73	4.05
Malt1	1.75	1.66	2.34	8.88	17.96	16.87
Map2k1	4.97	6.03	4.65	13.61	16.95	16.84
AK080698	0.07	0.08	0.22	0.32	0.74	0.78
DQ721203	0	0	0	0	0	0
Cd200r2	0.08	0	0.19	0.15	0	0.05
AK087158	0.23	0.41	0.41	1.49	2.52	2.23
Zfp759	0.06	0.17	0.34	0.3	0.74	0.34
DQ559426	0	0	0	0	0	0
KY964555	0	0	0	0	0	0
Tet3	2.85	3.84	4.46	13.25	20.8	19.41
Nmbr	0	0.05	0.05	0	0	0
Zg16	0.9	1.21	1.16	0.92	0.64	1.39
AK042714	0.01	0.23	0.04	0.1	0.21	0.18
Ifi208	1.25	1	1.58	18.49	26.67	23.23
Fndc3a	2.93	4.35	3.49	18.38	25.35	23.81
Rlbp1	0.02	0.01	0.07	0	0.04	0.07
Vmn2r104	0	0.01	0.07	0.02	0.03	0
S100a8	37.7	25.65	23.27	88.59	112.94	74.57
Sh2d1b1	1.53	0.95	0.85	4	3.67	3.05
Mapkapk3	1.41	1.68	1.25	4.31	11.79	6.33
Gm5796	0.44	0.07	0.29	0.63	1.16	0.28
Il1rapl2	0.03	0.11	0.1	0.37	0.07	0.32
Zfp981	0.04	0.02	0.11	0.13	0.14	0.08
Gp9	0.78	1.44	0.57	1.33	1.26	1.79
Slc17a2	0.08	0	0.01	0.02	0	0.03
5430405H02Rik	0.51	0.33	0.64	0.95	2.63	0.79
Mir7072	0	0	0	0	0	0
Olfr665	0	0	0.04	0	0.09	0
Serpinc1	0.13	0.16	0.51	0.33	0.43	0.54
Caap1	0.85	0.76	0.77	1.61	3.02	2.98
Plekhb2	5.2	5.14	4.16	10.46	12.93	11.89
Rhd	0	0	0.07	0.07	0	0
Zfp68	0.78	1.17	0.55	1.7	2.46	1.91
Fev	0.03	0.16	0.22	0.04	0	0.16
Smim13	1.07	1.25	1.71	1.48	2.27	2.04
DQ695567	0	0	0	0	0	0
Mir495	0	0	0	0	0	0
4930511M06Rik	4.23	10.84	14.26	23.04	19.99	26.87
Ddx25	0	0	0.13	0	0	0
Sdhaf3	0.34	0.25	0	1.13	0.2	0.76
Ipo13	0.85	1.29	1.43	3.2	4.59	4.39
Olfr467	0.23	0.04	0.44	0	0	0.19
Olfr691	0	0	0.12	0.06	0	0.09
Carmil2	0.52	0.58	0.39	2.01	2.77	2.85
Olfr12	0.05	0.09	0.03	0.15	0.08	0.23
Lsm11	0.18	0.48	0.32	0.48	0.72	0.53
Mroh5	0.15	0.12	0.06	0.11	0.04	0.1
KU711584	0	0	0.04	0	0	0
Wnt7b	0.08	0.08	0.09	0.23	0.25	0.33
Spink1	0.08	0.54	0.28	0	0.3	0
Psen1	2.31	2.59	2.5	10.34	11.61	9
DQ567888	0	0	0	0	0	0
Kctd14	0.56	0.85	0.38	0.96	1.92	2.1
Slc16a4	0.21	0.15	0.03	0.11	1.53	1.66
DQ693179	0	0	0	0	0	0
DQ719573	0	0	0	0	0	0
Mir6381	0	0	0	0	0	0
Mettl27	0.07	0.15	0.57	0.6	0.87	0.5
Mir501	0	0	0	0	0	0
AB343243	0	0	0	0	0	0
Irgc1	0.18	0.19	0.43	0.23	0.06	0.05
D630045J12Rik	0.29	0.34	0.48	0.75	1.86	1.5
Aasdhppt	0.84	0.87	0.87	0.98	2.04	1.34
AB339134	0	0	0	0	0	0
DQ710764	0	0	0	0	0	0
Mir1946a	0	0	0	0	0	0
AK144297	0	0	0.07	0.28	0	0
Mir6241	0	0	0	0	0	0
Bcl9l	1.81	2.26	2.24	5.16	9.76	9.72
DQ544503	0	0	0	0	0	0
Rccd1	0.11	0.01	0.06	0.33	1.03	0.53
AK046242	0.01	0.13	0.05	0.14	0.16	0.21
DQ706058	0	0	0	0	0	0
Map7	0.54	0.3	0.81	1.39	3.17	2.38
Mir3078	0	0	0	0	0	0
Olfr324	0.05	0.19	0.07	0	0	0.15
Trpm1	0.09	0.26	0.61	0.97	0.45	1.11
