Gene	GSM4559630_Control1_1	GSM4559631_Control2_1	GSM4559632_Control3_1	GSM4559633_Ad5-hACE2-transduced1_1	GSM4559634_Ad5-hACE2-transduced2_1	GSM4559635_Ad5-hACE2-transduced3_1
Cald1	2208	1689	1312	1075	1560	1086
AB335611	0	0	0	0	0	0
Ndufaf5	41	19	13	28	19	20
AK052252	2	10	0	4	33	14
Kap	0	0	0	0	0	0
Apom	1	3	3	0	1	2
AK136006	0	1	0	0	0	0
Esp8	0	1	0	1	1	0
Cntnap5c	1	3	1	2	0	0
Glrx2	175	143	151	262	189	190
Hspa1b	148	56	27	90	96	218
AK044480	0	5	0	2	2	2
Cd163l1	1	15	4	6	4	6
AK218936	0	0	0	0	0	0
Gm11569	0	0	0	0	0	0
AK047199	8	33	22	39	30	20
Gm11437	3	0	2	1	1	1
Tpm2	191	151	116	58	148	96
Dnmt3aos	3	0	0	8	6	8
Tmem238l	2	3	3	3	0	3
Ddx4	18	3	1	24	26	24
KY468128	0	1	1	0	0	1
Armcx6	34	10	13	13	29	20
1600012H06Rik	154	135	72	235	294	206
Stk11	585	372	359	495	510	511
U66835	12	5	8	11	16	6
Rrnad1	25	25	53	50	80	66
DQ725319	0	0	0	0	0	0
Magea3	0	0	1	0	1	0
Tnfrsf9	24	34	17	75	61	71
Greb1	36	33	40	20	26	27
Mtx2	125	80	61	77	63	51
St8sia6	58	26	16	35	34	25
Mef2a	2589	1598	1624	1777	1973	1601
Lrp1	3353	2100	2517	5982	9103	6988
Rslcan18	3	0	4	5	7	4
Arid1a	1754	1039	1112	2963	2467	2164
Pcbp4	142	89	53	70	111	103
Gtpbp10	85	74	45	60	76	65
Cp	1064	670	720	929	2710	1882
Hebp1	101	86	63	69	35	38
AB339817	0	0	0	0	0	0
DQ712735	0	0	0	0	0	0
Alg8	14	12	15	48	60	43
JX277267	0	0	0	0	0	0
DQ700075	0	0	0	0	0	0
Nod1	678	457	330	845	1181	981
DQ569264	0	0	0	0	0	0
DQ707898	0	0	0	0	0	0
Nlrp14	0	1	2	0	0	0
Zbtb8b	19	23	24	5	5	8
Tnfsf15	23	10	54	67	71	49
Utp4	153	147	88	168	119	116
Csnk1g3	302	194	239	371	356	279
Lamp1	2227	1586	1308	2835	2475	1994
Olfr1442	0	5	0	4	0	0
Olfr303	1	5	3	1	0	0
Smim11	9	10	24	26	23	20
DQ720740	0	0	0	0	0	0
Cst8	0	0	0	0	1	0
Olfr223	0	0	2	0	0	1
DQ557063	0	0	0	0	0	0
Osbpl8	1368	821	783	1216	1184	1092
Mob1a	625	533	434	638	469	413
Atxn7l3	326	237	216	402	411	317
4930579G24Rik	70	43	97	87	38	56
AK047462	3	17	7	4	0	1
Cplx3	8	4	22	5	1	6
Man2b1	820	423	418	1616	1213	1025
Lgals12	20	6	10	9	14	12
Fam110b	580	732	836	1453	1254	1500
Cspg4	70	83	78	81	342	150
Twistnb	106	44	94	115	118	98
AB336885	0	0	0	0	0	0
Vps8	208	126	183	202	261	197
Wfdc15a	0	1	0	0	0	0
DQ550737	0	0	0	0	0	0
Uba2	516	380	179	423	376	322
DQ705815	0	0	0	0	0	0
Hist2h3c2	880	769	517	604	309	326
Gapdh	6015	3916	3207	5838	2880	2632
Rpp25l	33	35	26	51	38	41
Fras1	76	54	67	51	152	80
5430403N17Rik	5	12	0	5	0	0
AK077636	10	7	7	10	9	6
C1qtnf7	93	54	43	35	51	31
Mir345	0	0	0	0	0	0
Helb	136	114	40	195	173	110
Dnajc19	53	95	34	107	85	74
DQ563500	0	0	0	0	0	0
1700109H08Rik	0	0	0	0	1	2
Wdr13	426	247	262	248	339	275
Dmac2	115	69	48	101	117	103
Vmn1r70	0	0	0	0	0	1
Reep5	554	352	350	529	578	457
Gm5458	0	2	0	2	0	0
Yipf1	131	92	122	184	195	186
AK084042	9	8	5	3	1	1
Kansl3	434	314	226	531	552	422
Cd2	118	44	71	192	96	85
Uchl4	4	0	0	17	44	41
Dnah2	24	13	42	62	99	114
Mterf4	59	26	20	34	48	27
Tomm70a	481	385	249	569	426	345
DQ695621	0	0	0	0	0	0
DQ710326	0	0	0	0	0	0
DQ688935	0	0	0	0	0	0
FJ541135	0	0	0	0	0	0
Mpeg1	2266	1478	1320	8400	6734	6132
Vmn1r175	0	0	1	1	0	0
Hdgfl3	148	126	166	128	156	153
AF357426	0	0	0	0	0	0
AK197085	2	0	10	6	2	0
A330009N23Rik	33	36	27	46	33	44
Krtap8-1	0	6	3	0	0	4
Cutal	30	21	17	10	14	18
Mir327	0	0	0	0	0	0
Slc51a	7	7	7	2	4	1
Cd9	378	231	285	369	389	286
BC052545	1	3	2	24	28	18
DQ558020	0	0	0	0	0	0
AK135663	1	9	1	3	4	5
Angpt4	4	0	5	7	0	4
Gm13271	0	0	0	0	0	0
Slc19a1	19	37	13	23	32	26
1500012K07Rik	3	0	1	1	0	3
5430440P10Rik	3	4	4	7	1	2
Mir7010	0	0	0	0	0	0
Gm14124	1	5	3	3	2	2
Clmn	179	90	171	115	163	184
Gatd1	124	130	55	117	113	87
Mir338	0	0	0	0	0	0
Emp3	306	213	127	622	361	282
Mir7078	0	0	0	0	0	0
AK039178	4	16	2	4	13	10
Ndufa6	315	198	134	145	125	121
Itgad	4	2	3	0	1	5
KY467745	3	2	0	1	7	8
Gm19689	0	0	4	0	0	1
Stab2	48	12	6	29	12	14
IgK	0	0	0	0	0	0
Slc35d1	101	51	65	143	129	156
Psip1	410	311	300	393	514	478
BC094408	0	0	0	0	0	0
Ddx11	77	20	35	61	59	68
Traf7	495	344	302	496	507	448
Tm9sf1	280	195	179	277	385	253
Rfpl4	0	2	7	3	0	0
DQ721023	0	0	0	0	0	0
AK190531	221	242	243	128	92	123
DQ699191	0	0	0	0	0	0
Lypd6	6	1	9	4	5	2
DQ568525	0	0	0	0	0	0
Clec2f	1	0	0	0	2	0
Galnt16	12	20	26	12	13	9
DQ693075	0	0	0	0	0	0
Trim54	1	2	4	5	2	2
Cope	500	387	232	425	335	307
Ppp1ca	1812	1249	1117	2147	1023	983
Malsu1	40	37	28	58	30	42
Gm10578	10	7	8	6	0	0
2900079G21Rik	11	12	16	10	0	6
Npy1r	51	26	41	49	31	42
Cmpk1	482	342	334	366	340	292
Dusp23	63	16	51	36	25	16
Uqcc2	71	59	54	60	38	31
Rnu3b3	9910	7198	8163	7494	3421	3531
Ywhaz	4289	2907	2551	4248	3349	2895
4930532I03Rik	0	0	1	1	0	1
Angel1	8	31	29	37	72	48
AK081056	10	3	13	8	1	1
DQ685217	209	93	183	281	443	356
AK196141	0	0	0	0	1	3
Sh2d4b	4	6	0	3	5	9
Patz1	319	220	199	237	334	244
Adam19	499	325	239	454	805	603
Sass6	159	98	144	336	268	311
DQ567313	0	0	0	0	0	0
DQ549706	0	0	0	0	0	0
DQ686732	0	0	0	0	0	0
DQ546722	0	0	0	0	0	0
Mir378b	0	0	0	0	0	0
DQ711072	0	0	0	0	0	0
Olfr782	1	3	0	4	1	1
Rnf135	73	29	36	154	112	77
Casp14	0	9	5	2	1	6
Rchy1	251	177	188	205	209	144
Brd2	1754	1257	1146	2586	2503	2287
Acsbg1	16	46	8	25	16	11
Cxcl11	124	145	120	1464	1131	995
Tspan18	845	1026	1165	894	1231	1104
Stat2	1223	762	941	3226	3391	3267
Cenpu	9	25	10	8	19	17
Zfp26	263	179	195	291	513	442
Olfr1368	0	4	1	0	2	1
Scgb1b19	0	0	0	0	0	0
Ankrd55	24	10	13	21	12	16
Mir377	0	0	0	0	0	0
Lrrn4cl	34	52	71	81	47	82
Pak6	51	53	21	49	70	62
DQ714015	0	0	0	0	0	0
Mir7662	0	0	0	0	0	0
AB349132	0	0	0	0	0	0
AB351190	55	62	41	41	89	64
Lgi1	18	10	17	3	2	9
Gm4632	0	7	0	2	0	0
Cyp3a16	0	6	7	0	0	1
AK020205	0	0	0	1	1	4
Olfr419	1	0	1	6	6	0
AB347309	0	0	0	0	0	0
4930444M15Rik	0	1	5	6	1	1
DQ709778	0	0	0	0	0	0
BC049805	463	260	286	438	425	380
Ocrl	253	198	155	242	343	244
Selenos	125	81	120	186	269	229
Pstpip1	155	98	91	290	220	198
DQ550209	0	0	0	0	0	0
Olfr810	0	2	2	1	1	1
Mir6405	0	0	0	0	0	0
Zfp369	82	63	43	69	112	61
1700108F19Rik	0	0	0	0	0	0
Creg1	453	230	238	431	396	326
Aldh18a1	191	120	96	188	141	173
DQ556579	0	0	0	0	0	0
Plxnc1	370	242	261	435	509	414
AK217252	35	39	46	63	59	47
Mir6912	0	0	0	0	0	0
Vsig2	21	13	0	23	76	41
BC002163	2	0	0	0	5	2
Bpifb9a	0	3	0	0	0	0
AK216726	16	20	42	13	18	12
4933433G15Rik	0	4	3	3	3	4
DQ697086	0	0	0	0	0	0
Mir6925	0	0	0	0	0	0
Mir449c	0	0	0	0	0	0
Olfr736	1	0	4	1	1	0
Ncoa7	251	174	138	469	433	313
Erv3	8	2	26	5	4	10
X56719	0	0	0	0	2	2
DQ717549	0	0	0	0	0	0
Xlr5b	0	0	0	0	0	0
DQ698807	0	0	0	0	0	0
Olfm5	11	11	4	7	0	1
Tesk2	29	39	45	41	43	37
Igbp1b	1	11	12	0	1	0
4930581F22Rik	4	0	0	12	34	11
2410004P03Rik	40	39	77	64	47	71
KY467479	5	11	2	5	10	2
B230206H07Rik	6	10	24	10	14	23
DQ717871	0	0	0	0	0	0
Lum	86	46	34	35	26	27
Tcrg-C1	17	20	3	21	2	8
DQ694491	0	0	0	0	0	0
Myo1c	2210	1801	1798	2374	2585	1979
Siglecf	45	45	26	36	24	32
Miga1	830	637	689	757	669	663
1700007G11Rik	30	3	0	4	6	2
Haus3	83	44	66	63	93	70
Iws1	487	322	279	374	602	437
Moxd1	0	6	5	4	3	5
Ddx19b	180	98	117	159	199	136
Trim25	1270	866	881	2132	2375	2063
AB336802	0	0	0	0	0	0
Tmed4	173	129	108	201	227	151
Olfr263	4	7	0	3	0	2
1700067G17Rik	0	1	0	0	0	0
Gm20767	1	0	15	1	2	6
2900052N01Rik	5	3	6	2	1	3
Prl4a1	0	0	3	0	0	0
Apol11b	26	6	15	4	1	15
Ly6g	4	0	11	25	18	17
Gm21949	0	0	18	0	0	0
DQ545246	0	0	0	0	0	0
Gm38416	1	4	2	9	6	8
Mau2	438	328	375	747	814	750
Usp4	650	365	439	659	659	596
Arl6ip1	525	351	270	897	939	879
Vmn1r75	4	0	0	2	0	0
Spdye4a	1	3	4	1	1	0
Npm3-ps1	2	6	11	3	1	0
KY467627	0	2	0	0	0	0
Ttf2	78	53	51	59	78	74
DQ697262	0	0	0	0	0	0
Kcnb2	25	15	7	6	10	7
Zmym3	179	131	109	166	254	169
AK052226	0	0	0	0	0	0
AK039269	0	0	0	1	0	0
2810410L24Rik	2	0	8	7	10	8
Zfp157	58	48	44	34	65	35
Cdk16	752	655	474	672	661	516
Ccl2	156	67	75	1433	688	695
Il2ra	106	72	77	266	175	167
Olfr577	0	0	0	0	1	1
DQ567985	0	0	0	0	0	0
Vmn2r75	0	2	10	2	0	1
Ipo7	636	401	424	472	438	420
Gpr37	11	1	19	11	4	0
Fmnl1	1895	1158	1032	1900	1120	1070
Gm6367	11	11	0	7	0	3
Gnb2	1711	1183	1087	1556	1111	951
Eps15	1753	1168	930	1192	1264	1049
Fam92b	0	1	4	4	5	3
Fbxo8	217	118	145	153	156	133
Fbxo5	42	27	26	21	26	11
Acp7	0	3	0	1	1	0
B230319C09Rik	9	0	4	19	35	20
1700013H16Rik	0	0	0	0	0	0
Pigk	255	165	184	446	459	321
5730488B01Rik	23	16	18	42	14	18
Tmem174	2	7	2	5	1	0
Cops4	308	197	153	213	143	147
2310069B03Rik	0	2	1	1	3	1
Vmn2r69	0	3	1	1	0	1
Dnajc30	173	92	120	156	99	85
DQ685524	0	0	0	0	0	0
4930555B11Rik	0	0	0	4	0	0
Serpina1b	30	56	16	9	39	29
Gucy2e	13	21	32	11	8	3
Tmem252	45	24	43	49	94	72
Cyp3a57	0	1	5	2	2	1
Peli2	344	136	172	109	144	116
DQ714600	0	0	0	0	0	0
Cox5a	187	202	105	148	93	95
DQ718033	0	0	0	0	0	0
AK015566	0	0	0	2	0	1
Gpat4	136	130	145	246	320	254
Paqr5	13	8	21	17	26	23
Sohlh1	1	0	2	2	0	0
Cwc27	40	75	49	71	90	75
KY468211	4	0	4	6	3	2
DQ553907	0	0	0	0	0	0
Btbd16	25	23	9	22	19	29
Cd151	188	182	235	436	497	339
Casp1	161	69	87	359	186	182
X06773	1	1	0	0	0	1
Cfap100	12	4	17	14	23	24
Plut	15	0	2	1	0	2
DQ686511	0	0	0	0	0	0
Gm4759	88	54	54	226	179	170
Rhox2b	0	1	10	0	0	0
Phactr2	2419	1390	1412	798	1127	441
DQ714541	0	0	0	0	0	0
Cacng3	0	2	1	2	2	6
Ankrd66	20	10	6	41	24	47
DQ708492	0	0	0	0	0	0
Srf	592	232	313	603	596	456
Cdkl2	278	171	128	72	75	61
Arf3	1880	1209	1051	1847	1649	1550
Tsnaxip1	17	1	1	6	4	10
Mir6393	0	0	0	0	0	0
Ghrhr	2	20	22	6	1	3
Apol8	2	2	8	1	3	4
DQ716264	0	0	0	0	0	0
Gpr68	44	50	36	67	57	42
4930471M09Rik	0	2	6	5	0	1
AK053908	1	30	28	17	17	16
DQ693687	0	0	0	0	0	0
Dynap	4	0	1	0	1	0
BC054394	0	0	0	9	8	2
Zfp346	117	48	43	82	101	91
Tacr2	13	2	16	6	2	6
Tmprss6	5	6	17	8	6	0
Zbtb8os	28	22	5	32	21	12
Jam2	243	204	245	182	362	337
DQ567062	0	0	0	0	0	0
AK019810	0	0	0	0	0	0
Gm4981	91	95	100	63	14	42
KY467929	0	3	1	1	1	0
Cd79b	122	95	54	269	165	100
Vax1	11	20	12	2	3	5
Slc35g1	180	374	366	513	238	388
DQ709133	0	0	0	0	0	0
Gle1	272	179	207	190	177	153
Ccdc17	26	12	14	40	108	105
Dnajc13	930	648	641	1053	1031	943
Adamts7	29	19	37	22	49	32
Mir3112	0	0	0	0	0	0
Mir7658	0	0	0	0	0	0
Pcsk2os2	13	2	19	5	3	2
Pih1d1	94	74	94	126	114	138
Dennd2d	116	85	55	174	163	136
Dctn5	330	268	200	426	309	269
Ptpra	453	279	309	508	614	436
Mir3473d	0	0	0	0	0	0
Sphk2	202	150	166	320	218	217
DQ565447	0	0	0	0	0	0
Rnf8	77	59	49	56	85	56
AK006748	2	0	0	1	4	0
Gm5483	28	6	7	34	18	27
Pphln1	963	725	774	617	632	514
Emilin1	161	142	134	162	349	229
Vmn1r58	1444	1902	1957	1960	1245	1487
DQ702289	0	0	0	0	0	0
Gabra4	18	22	26	19	9	6
Gm21319	5	15	11	13	12	14
Dpy30	106	90	54	86	47	36
AK045483	1	3	12	2	6	2
Ect2l	2	0	1	5	11	10
Rtl9	8	7	24	6	5	4
Ncapd3	202	102	127	200	303	206
Tmem102	0	0	0	20	4	13
AK164016	2	0	0	6	17	3
Hmgcs2	162	75	80	47	31	39
Cyp2d40	0	0	3	2	1	0
Sfta3-ps	170	145	184	168	628	564
Sh3bp4	386	243	242	317	330	287
Pik3cg	431	276	207	625	375	339
Snord17	1572	477	1888	3981	1988	1888
Zfp953	21	55	16	67	34	56
4930433I11Rik	16	16	10	13	2	5
Pwp1	149	84	96	104	93	79
Abhd5	298	189	189	287	232	235
Defa21	28	38	32	8	9	4
Zscan22	119	54	70	124	99	81
Tuba4a	246	253	157	367	210	175
Ifitm1	586	303	339	385	291	223
Hhex	228	123	115	254	154	141
Cdkn2b	114	117	85	83	73	34
Olfr314	1	13	3	1	0	3
Krt87	0	0	0	5	4	2
Vmn2r59	1	2	1	2	0	0
Vwf	848	659	646	867	1368	1316
4930432M17Rik	0	3	0	0	0	0
Cd93	1066	728	809	2201	3634	2903
Gns	1348	869	832	2283	1829	1569
Dkkl1	2	0	0	4	1	4
Tmbim6	2534	1740	1508	3517	4500	3848
AB346733	0	0	0	0	0	0
Cd3d	95	17	24	56	38	21
Tekt2	2	2	4	4	12	11
Cd163	10	27	27	9	1	14
Tcp10b	15	6	4	17	11	11
Ncapd2	123	124	85	165	181	114
Rnu3b2	9910	7198	8163	7494	3421	3531
C130036L24Rik	0	12	5	6	4	2
DQ717595	0	0	0	0	0	0
DQ714507	0	0	0	0	0	0
DQ726464	0	0	0	0	0	0
H2al1h	0	0	0	0	0	2
G2e3	64	78	79	141	180	139
Birc6	1892	1208	1131	2895	3562	2924
Gm15987	51	10	11	110	79	66
Cdc25b	221	92	151	177	190	213
DQ565574	0	0	0	0	0	0
Asap2	187	152	227	203	311	250
Olfr993	0	0	4	0	0	3
Plxna4os1	5	1	6	13	27	20
Wdr53	9	17	14	15	8	11
Fgf23	7	2	3	1	9	4
Tuft1	92	47	84	99	140	137
Catsperb	0	0	0	1	0	0
Rpl8	1576	1178	913	1101	631	537
DQ548665	0	0	0	0	0	0
Mindy2	731	586	413	520	744	675
4930455D15Rik	0	2	3	0	0	0
Slc35f4	0	10	15	9	1	6
Gm45916	34	19	60	111	64	82
AK043612	1	7	18	2	1	2
BC031503	60	52	36	22	44	42
Olfr1246	0	0	0	0	0	0
DQ723676	0	0	0	0	0	0
AK131900	1	9	9	2	6	7
Gm15104	7	0	0	0	0	0
DQ983581	0	0	0	1	0	0
D14Ertd670e	0	0	2	0	0	0
D030068K23Rik	17	10	8	6	5	0
Hspa4	923	735	591	666	591	483
AK030063	3	10	5	6	5	8
0610031O16Rik	3	4	10	5	3	3
AK140198	9	17	13	29	59	50
AK019494	9	3	4	3	1	1
Ints12	162	121	85	203	182	153
Vwa5b1	1	10	3	2	0	0
Gm4861	0	8	3	2	1	2
Olfr541	0	0	1	4	0	0
Xrcc6	118	60	45	76	42	45
Resp18	0	0	0	0	3	3
Ssx2ip	180	198	137	120	159	145
Olfr958	8	0	2	1	1	0
Tmem14c	46	48	22	67	42	37
Hectd1	1555	838	809	1402	1766	1246
Tsku	50	43	39	45	79	38
Tspan32	9	8	24	34	30	23
Mir7051	0	0	0	0	0	0
DQ720150	0	0	0	0	0	0
Egflam	258	212	174	163	335	196
Ide	555	290	300	428	460	377
Tbata	4	13	6	5	0	0
Snx31	6	5	0	1	2	0
Synpo	844	560	465	342	503	417
Xylt2	79	41	50	114	140	110
Klk6	0	2	0	0	0	3
Eif3b	934	587	516	639	663	576
Uap1l1	203	137	130	180	168	136
AK154113	2	9	1	4	43	35
Spsb3	57	63	34	55	64	61
AK199495	137	92	122	449	180	175
Ces2g	73	54	49	51	53	30
Tef	256	231	103	174	352	488
AK039495	0	2	3	5	30	25
Furin	667	423	482	1426	1293	1009
KY964547	3	0	2	0	0	0
AK087605	44	6	14	22	43	18
Pmaip1	229	225	146	266	221	205
1500009C09Rik	6	5	6	6	5	8
Mir770	0	0	0	0	0	0
Rnf182	2	6	8	6	1	0
Fbxw7	237	224	150	220	216	172
Hsd17b2	3	2	2	4	0	0
Olfr970	0	1	0	0	0	0
Cfap221	6	0	0	10	14	37
Sh2d4a	102	52	86	79	86	83
Rhox4c	0	0	0	0	0	0
DQ695288	3	1	0	1	0	0
Shkbp1	265	138	121	206	182	148
BC022687	38	25	18	20	21	21
Tcerg1l	13	11	4	3	3	5
Csmd2	7	29	23	19	3	5
H2-Q6	708	369	616	2464	3535	2781
Psmd10	133	84	30	112	71	83
Olfr110	0	2	5	2	2	1
Angptl7	7	9	5	8	14	13
AK158189	34	79	82	114	92	135
Btbd35f1	6	0	7	5	2	7
Olfr71	0	0	0	1	0	1
Gria1	63	62	58	27	27	23
Gm6249	8	6	11	9	1	4
DQ704704	0	0	0	0	0	0
DQ566781	0	0	0	0	0	0
Uqcrc1	488	357	333	521	483	378
Panx3	0	7	6	2	0	1
Zmat3	370	242	241	246	220	246
4933439K11Rik	11	8	1	4	4	6
Rtel1	38	35	22	72	152	97
Arhgap40	1	7	11	3	13	11
Inpp5a	759	557	671	619	756	537
Diexf	63	62	64	65	72	71
Egfr	60	65	76	75	207	163
Gm21944	0	0	0	0	0	0
Fam136a	102	54	35	47	37	22
Htr5a	5	8	16	3	4	9
Actr3	3106	2235	1957	5057	3110	3008
Olfr5	7	3	5	0	0	0
BC025067	2	0	0	0	1	0
9430038I01Rik	78	37	34	38	53	37
Rangap1	203	213	145	259	259	224
DQ691820	0	0	0	0	0	0
Ncoa5	155	107	109	164	187	153
Sf3b1	2357	1324	1470	2669	3798	3103
DQ554268	0	0	0	0	0	0
Mir412	0	0	0	0	0	0
Dhrs11	32	30	43	56	46	46
Gm13272	0	0	0	0	0	0
Rtn1	71	55	80	50	62	52
Lgals9	1297	960	987	4716	1964	2184
Gm20125	0	0	5	7	6	11
Mir3970	0	0	0	0	0	0
AK132154	22	22	19	20	31	33
Cep295nl	9	12	14	17	62	45
Zfp14	25	8	12	15	22	14
DQ712300	0	0	0	0	0	0
AY512943	1	8	5	2	1	2
AK145215	4	0	0	0	0	0
Cpt2	192	150	103	128	94	109
Zbtb24	149	84	103	144	121	135
Ppp1r12a	791	557	499	763	828	658
Gm8179	0	1	2	1	0	0
AK052878	2	4	14	3	0	1
Nrip2	1	3	1	4	13	7
Vmn1r41	6	1	9	0	2	1
Vmn1r60	2	0	2	0	2	0
Cyp2b9	0	1	0	0	0	0
AK141759	0	0	10	3	22	24
AK006202	2	0	2	0	1	0
Mir8117	0	0	0	0	0	0
Nr4a3	163	59	81	244	163	195
AK133333	3	8	7	6	14	2
BC052040	32	42	45	32	32	31
AK043690	0	0	0	0	0	0
X14387	0	2	0	0	0	0
Lpin3	19	35	27	22	47	56
DQ722519	0	0	0	0	0	0
DQ686689	0	0	0	0	0	0
DQ547592	0	0	0	0	0	0
AK043013	6	5	7	0	0	13
LOC102634401	3	0	2	4	1	1
Olfr480	5	0	1	0	0	0
Gsdmd	199	94	143	231	263	243
AB346771	0	0	0	0	0	0
Adamtsl4	127	66	95	105	280	208
Gata6	268	156	162	180	288	230
Gbp4	5909	4510	5231	11514	15316	12739
AK053109	4	4	1	5	14	4
Pcbp1	1104	898	826	1153	719	668
Cyp2c40	1	4	3	5	0	2
Wdr75	142	102	120	120	133	126
Krtap6-5	0	6	5	1	0	1
AB340070	0	0	0	0	0	0
Mlx	137	135	123	281	215	215
Sprr1a	0	3	6	12	1	5
Heca	453	366	346	376	498	503
Zfp712	30	39	13	28	27	19
AB335470	0	0	0	0	0	0
Kat8	64	37	40	132	87	93
Mir344i	0	0	0	0	0	0
Comp	1	2	9	0	3	6
Tnp2	1	0	1	4	3	0
Gm906	33	0	5	17	5	10
Efcab8	2	8	10	5	0	1
DQ542153	0	0	0	0	0	0
Bdkrb2	33	35	31	90	172	85
Rnf225	18	14	13	97	120	90
DQ550549	0	0	0	0	0	0
BC037034	232	80	96	314	277	302
4930453L07Rik	3	11	0	1	0	3
Dbnl	673	506	407	904	716	590
Etv6	733	446	460	1203	1103	866
Tcof1	426	294	246	659	475	455
Mipol1	5	19	13	22	34	30
Mir7019	0	0	0	0	0	0
Efcab1	3	1	9	3	7	5
Tmem203	52	34	21	25	40	18
AK020853	0	4	3	7	28	16
Loxl1	594	380	542	305	525	329
Clec2g	0	1	4	16	7	7
AK218719	0	0	0	0	0	0
Angptl8	0	3	1	2	20	3
Mir6392	0	0	0	0	0	0
Ube4a	400	235	236	587	793	662
Adamts4	14	25	11	38	116	58
DQ557417	0	0	0	0	0	0
Gm15694	0	1	0	3	6	5
AV051173	0	2	2	3	5	6
DQ540480	0	0	0	0	0	0
Omt2b	0	0	4	1	0	1
Mum1l1	53	18	21	7	21	14
Mrps7	171	168	98	129	96	103
AK077587	10	3	7	13	34	15
FJ541167	0	0	0	0	0	0
AK016734	0	0	0	2	0	0
Dclk3	5	15	19	9	5	2
Klra10	0	0	0	0	0	0
9430018G01Rik	13	14	8	12	11	5
Bub3	446	260	235	383	315	267
AK085961	1	3	16	6	21	17
Snta1	79	21	42	24	16	13
Tmem127	532	309	321	699	624	508
Zfp758	61	17	35	55	85	63
AK207784	0	7	14	3	4	3
Gnrhr	1	5	12	7	2	1
Pla2g3	4	6	4	6	6	4
Nhs	64	81	46	39	45	36
Rdh8	2	1	5	0	0	0
FJ541103	0	0	0	0	0	0
Prg3	0	0	0	3	0	0
Vmn1r53	0	1	0	4	0	1
1700034G24Rik	0	0	0	1	0	0
AK076949	0	0	0	0	0	0
Gm27021	0	2	0	0	3	0
DQ569682	0	0	0	0	0	0
Txlnb	12	10	34	12	14	9
Olfr237-ps1	4	7	0	0	1	2
Pappa	60	56	36	37	35	44
Coq8a	31	65	19	28	51	29
AK006362	0	0	0	0	0	0
Unc93b1	636	475	318	1367	1101	916
Hnrnpl	1330	830	823	902	824	674
Fmo2	3618	3027	2761	1138	1692	2097
1700034I23Rik	4	1	13	18	5	9
Znrf4	6	16	4	4	1	1
DQ540256	0	0	0	0	0	0
Rpl6	3784	2515	1856	2463	1604	1441
Kcne1	26	7	5	6	1	1
Gjc1	59	35	63	27	79	53
Sftpc	10348	6603	6761	12520	13990	13446
Bcar1	313	194	220	343	485	298
Mrpl27	112	97	76	123	108	65
Olfr206	0	4	0	0	0	0
Brinp2	2	30	15	11	1	4
Arl14	0	1	8	3	0	3
Hist1h3f	102	106	58	54	33	20
Mllt11	70	48	33	64	76	71
AK042831	14	4	24	41	45	34
Thap1	56	35	36	70	54	54
1500011K16Rik	40	30	19	20	15	24
Chmp3	808	601	611	706	627	550
Olfr1015	10	3	3	1	2	0
DQ705898	0	0	0	0	0	0
Mir1942	0	0	0	0	0	0
Oog4	4	11	4	0	0	1
Cyb561	181	136	163	209	328	260
AK144962	1	0	2	2	1	0
Vti1a	290	191	184	202	254	195
DQ699063	0	0	0	0	0	0
Aup1	612	377	363	1044	830	750
Olfr631	5	1	0	4	3	1
Fgd1	78	52	66	48	78	46
DQ720952	0	0	0	0	0	0
Gm5420	0	0	0	1	1	2
0610012G03Rik	112	62	67	62	41	41
Gm32511	3	2	6	5	1	4
DQ540050	0	0	0	0	0	0
Ripply2	0	0	0	0	0	0
AK132720	0	0	0	0	0	1
Rpia	238	255	179	341	462	354
Tbca	207	143	113	99	74	64
Cldn17	0	0	1	1	0	0
DQ692882	0	0	0	0	0	0
Tmed3	184	138	106	119	143	89
Snrnp200	1284	851	938	1412	1351	1089
Fam53c	290	206	146	323	342	305
Crhr2	8	18	32	11	0	9
Gm23284	0	0	0	0	0	0
Slc4a1	57	38	28	77	25	78
Chd1l	123	39	52	89	76	66
Tas2r120	0	0	0	0	0	0
Cavin4	0	2	6	7	3	5
Smpd1	138	112	123	194	312	177
Fut1	15	1	12	5	4	2
DQ726146	0	0	0	0	0	0
Pcdh11x	7	20	26	2	2	4
AK090150	4	4	15	2	1	3
Neu2	0	5	8	7	3	2
Aox3	177	133	175	120	251	213
Acad10	41	22	14	28	32	41
Ypel1	12	36	6	11	20	28
DQ686147	0	0	0	0	0	0
Olfr792	1	0	0	0	1	1
Acmsd	0	0	0	4	1	1
Becn1	558	435	425	499	468	325
AK039693	7	2	0	0	1	1
Rbms2	1057	906	809	1050	1047	849
A930001C03Rik	2	0	0	5	0	2
Fam118b	129	83	68	87	73	68
Mir143	0	0	0	0	0	0
B230216N24Rik	75	88	120	182	152	194
Mir876	0	0	0	0	0	0
Saal1	45	29	33	41	40	26
Zfp948	38	40	39	46	104	55
Ythdc2	109	65	96	109	148	119
KY467617	0	0	0	0	0	0
Vmn1r43	6	2	1	0	1	2
Prdm6	128	131	152	52	101	72
Olfr1231	0	2	1	1	2	0
DQ126341	0	0	0	0	34	0
DQ708570	0	0	0	0	0	0
DQ713721	0	0	0	0	0	0
Fbrsl1	429	283	290	520	525	467
Lage3	109	111	109	88	73	71
AK156477	22	14	18	22	29	44
AK033061	0	0	7	1	0	0
