Gene	GSM4658803_SRR12164495_Control3_read1	GSM4658804_SRR12164496_Control1_read1	GSM4658805_SRR12164497_Control2_read1	GSM4658807_SRR12164499_Sample1_read1	GSM4658808_SRR12164500_Sample2_read1
ENSCSAG00000015912	406	408	461	24	36
ENSCSAG00000023966	0	0	0	0	0
TBL1XR1	2771	3041	3289	304	308
ENSCSAG00000008116	1	3	3	0	0
TMEM179	0	0	0	0	0
OR2W1	0	0	0	0	0
PRCD	0	0	0	0	0
USP36	2741	3090	3345	880	1035
ENSCSAG00000004243	3	2	4	1	1
KIF26A	1009	1116	1242	153	165
SRFBP1	519	562	639	67	110
PTDSS1	2608	2685	2849	205	244
CDHR2	8761	9544	10791	940	1017
ENSCSAG00000014656	0	0	0	0	0
ENSCSAG00000023228	0	0	0	0	0
STAP1	2	11	2	0	3
PHYHD1	3	1	1	0	1
MIR216B	0	0	0	0	0
MECR	1000	1025	1128	62	87
LMBRD2	425	464	479	29	30
ARAF	1315	1387	1575	130	156
YEATS4	483	489	555	41	59
TRPM8	2	0	1	0	0
HNRNPC	8860	9057	10047	841	1021
MC1R	4	1	7	0	0
CENPT	754	804	855	59	98
ENSCSAG00000008364	0	1	0	0	0
ENSCSAG00000022519	0	0	0	0	0
ENSCSAG00000026269	0	0	0	0	0
ELOVL5	27725	28063	30415	1900	2192
PTPN2	369	357	398	53	59
BLOC1S6	1041	1100	1172	96	113
JAM2	17	14	18	1	2
NAALADL1	215	189	221	16	30
NMT1	8572	9217	10191	749	913
ENSCSAG00000021272	0	0	0	0	0
ENSCSAG00000000232	0	0	0	0	0
POGLUT3	2	1	3	1	0
EGLN1	968	1094	1212	154	138
TMEM117	168	175	166	10	12
SPTLC2	1485	1645	1671	259	258
ENSCSAG00000009696	0	0	0	0	0
TTC9B	0	0	0	1	0
TAS2R60	0	0	0	0	0
TEX35	0	0	0	0	0
ENSCSAG00000009364	1204	1286	1452	115	147
STXBP6	791	926	930	127	107
ENSCSAG00000011665	9	15	11	3	1
RNF141	1792	1789	1847	127	161
RAPGEF1	3935	4269	4660	578	667
ENSCSAG00000019305	0	1	0	0	0
EEF1AKMT1	869	1008	1040	66	81
DMGDH	3	4	0	1	0
PCSK1N	22	25	33	3	2
NLN	677	721	765	72	84
TOR2A	287	243	279	30	26
MRM2	885	968	1039	90	103
BMP6	2	3	3	1	0
ENSCSAG00000027331	0	0	0	0	0
MTMR6	2280	2519	2553	190	220
ENSCSAG00000007790	0	0	1	0	0
ENSCSAG00000021827	0	0	0	0	0
TSHZ2	0	0	0	0	0
KRTAP19-4	0	0	0	0	0
COA8	1014	1188	1190	111	144
IL27RA	1765	1810	2171	152	181
TFCP2L1	219	240	213	12	23
DCAF11	3563	3589	4153	245	311
COL11A2	6	3	7	3	2
ZNF700	0	1	1	0	0
RPP30	222	247	259	22	21
ENSCSAG00000018452	392	457	470	91	97
ENSCSAG00000006642	1	5	4	0	0
ENSCSAG00000000558	0	1	0	0	0
ENSCSAG00000022928	0	0	0	0	0
ENSCSAG00000021313	0	0	0	0	0
KCNMB1	8	6	6	0	3
XAGE5	0	0	0	0	0
ENSCSAG00000011950	1899	2649	2108	359	365
ENSCSAG00000017715	0	1	0	0	0
MRPL36	78	84	71	7	10
ENSCSAG00000000246	252	228	325	27	24
ENSCSAG00000018286	13	11	18	1	1
MGAT4A	491	504	522	38	44
ZNF471	781	951	890	148	158
ENSCSAG00000026158	0	0	0	0	0
ENSCSAG00000023424	0	0	0	0	0
RAI2	1	1	0	0	0
PLCD1	1805	1878	2146	181	190
MIR1208	0	0	0	0	0
ACVR1	881	967	1013	196	198
DQX1	142	168	167	11	11
PEX6	2186	2427	2635	213	211
SERPINH1	15682	16561	18966	1345	1420
ENSCSAG00000000008	0	0	0	0	0
TPX2	5740	6094	6581	561	640
ENSCSAG00000001769	7	5	7	0	1
ENSCSAG00000009457	3	4	1	0	1
RFX8	0	0	0	0	1
CD151	13110	13744	15805	1319	1455
MXRA8	709	789	778	57	70
ENSCSAG00000023178	0	0	0	0	0
ENSCSAG00000005716	0	0	0	0	0
AIFM2	1477	1528	1742	103	114
SNORD38A	0	0	0	0	0
ENSCSAG00000025239	0	0	0	0	0
YPEL3	694	690	803	59	39
S1PR2	101	121	154	19	16
SLC25A52	2	3	5	0	0
ENSCSAG00000018496	0	0	0	0	0
RSPO4	0	0	2	0	0
IL21	0	0	0	0	0
RC3H1	1623	1679	1767	210	214
ENSCSAG00000000333	0	0	0	0	0
ENSCSAG00000026774	0	0	0	0	0
ENSCSAG00000018885	1977	2089	2321	146	168
ENSCSAG00000002391	0	0	0	0	0
CTLA4	0	0	0	0	0
NKIRAS2	1451	1490	1743	129	135
LEKR1	2	6	2	0	1
PFDN1	2260	2370	2626	184	217
UBAC1	4677	4828	5584	497	584
ENSCSAG00000021235	0	0	0	0	0
ENSCSAG00000000630	0	0	0	0	0
IGLV5-52	0	0	0	0	0
RBCK1	2759	2972	3294	353	378
AGAP2	325	330	385	41	25
ENSCSAG00000022552	0	0	0	0	0
CSF1	431	523	528	173	195
ENSCSAG00000025325	0	0	0	0	0
ABHD15	352	384	411	57	53
ENSCSAG00000019724	4	6	5	2	1
CALM1	16914	17422	19033	918	1004
ATM	2432	2677	2635	156	206
SNORD5	0	0	0	0	0
ENSCSAG00000019449	0	0	0	0	0
ENSCSAG00000024331	0	0	0	0	0
BAMBI	103	88	90	48	39
PRDM4	681	683	797	62	105
MIR206	0	0	0	0	0
ENSCSAG00000006238	9	6	8	1	0
ENSCSAG00000020160	0	0	0	0	0
ACRV1	1	2	1	2	0
LGALSL	1352	1483	1614	157	177
CHD2	3750	4306	4355	839	910
PUS1	669	741	822	117	142
MARCO	2	1	2	0	0
IFT80	2140	2228	2292	116	131
ENSCSAG00000018979	0	0	1	0	0
ENSCSAG00000017646	0	0	0	0	0
ENSCSAG00000009561	0	0	0	0	0
LONP2	1132	1238	1241	115	117
FAM24A	3	2	2	1	0
ENSCSAG00000024918	0	0	0	0	0
MOGAT1	9	17	10	0	0
CEBPE	0	1	0	0	1
PLXNB1	2183	2309	2475	210	211
NOC3L	957	1045	1136	78	123
TIMMDC1	518	552	651	58	49
TLR6	6	4	10	0	1
PAX8	9475	10496	11209	1296	1459
FAM43B	6	3	3	0	0
BCO1	245	236	259	28	28
UBN1	1642	1877	1896	217	219
ENSCSAG00000020883	0	0	0	0	0
KLHL38	12	23	7	2	3
UCP3	0	0	0	0	0
ENSCSAG00000015331	0	0	0	0	0
ADGRE5	1074	1111	1219	107	119
ENSCSAG00000000424	0	0	0	0	0
CLCN2	511	550	594	67	52
ENSCSAG00000001527	0	0	0	0	0
ACOT8	444	448	475	47	35
ENSCSAG00000003461	0	0	0	0	0
PDE6G	0	0	0	0	0
TLX1	0	0	0	0	0
TECTB	0	0	0	0	0
MARK4	1721	1767	1956	251	268
LRRC31	34	41	31	3	2
RTKN2	279	314	322	39	36
ADAMTS16	3	1	1	0	0
PRKACB	1803	1836	1987	177	178
ENSCSAG00000024325	0	0	0	0	0
IRS2	2861	3235	3628	428	432
ENSCSAG00000001053	3441	3549	4026	332	383
GTPBP1	1741	1841	2069	197	222
PI4K2B	1041	1044	1183	80	105
ENSCSAG00000000381	139	143	165	17	9
RBM4B	1028	1121	1234	88	96
TBC1D17	1621	1671	1893	221	225
HOXA3	1270	1261	1433	99	122
APTX	350	408	436	29	62
BFAR	3583	3598	4257	279	317
ENSCSAG00000027379	0	0	0	0	0
ZDHHC15	52	57	68	3	7
ENSCSAG00000001646	1085	1375	1280	118	130
MRPS7	2305	2384	2898	255	291
ENSCSAG00000025046	0	0	0	0	0
ABHD17A	3103	3330	3915	268	356
EPX	47	69	55	10	4
GJD4	5	1	4	1	0
DEFB128	0	0	0	0	0
TINF2	573	618	676	39	41
FMO5	81	90	89	2	8
ENSCSAG00000027533	0	0	0	0	0
FAM71D	0	0	1	0	0
TJP3	343	392	455	38	28
HIP1R	5158	5729	6368	589	573
KCNF1	0	0	0	0	0
PPM1M	879	901	1072	93	126
SPON1	13	21	16	3	3
OPRK1	0	0	0	0	0
ENSCSAG00000000429	0	0	0	0	0
ENSCSAG00000021926	0	0	0	0	0
ENSCSAG00000008420	1050	1080	1260	119	103
ZBTB7C	71	84	72	3	12
JAG2	429	494	501	59	60
ENSCSAG00000009728	0	0	0	0	0
PYROXD1	154	134	156	6	16
ZNF518A	1305	1328	1428	116	110
SLC2A5	4	17	4	0	1
TAMM41	305	304	313	25	28
PGBD2	635	702	742	84	105
DMXL1	2562	2803	2900	240	242
RHOG	343	409	455	54	50
ENSCSAG00000020569	0	0	0	0	0
ENSCSAG00000021304	0	0	0	0	0
SAR1B	1507	1471	1655	103	150
NIN	4396	4888	5125	352	364
ENSCSAG00000017274	658	731	768	74	90
SLC38A11	0	2	2	0	0
ENSCSAG00000024216	0	0	0	0	0
ENSCSAG00000015529	335	390	462	70	64
PODNL1	10	16	11	1	2
STK10	1589	1747	1932	189	258
ENSCSAG00000000290	0	0	0	0	0
CHADL	43	44	60	0	0
ENSCSAG00000012869	0	0	0	0	0
ASGR1	24	24	24	2	2
ENSCSAG00000020728	0	0	0	0	0
SFRP4	1552	1453	1669	88	106
AZIN2	312	320	388	27	41
ASPRV1	0	0	0	0	0
SPEN	6415	7767	7606	1356	1539
C11orf80	136	137	151	14	20
C20orf202	0	0	0	0	0
SNORD107	0	0	0	0	0
ENSCSAG00000014145	0	0	0	0	0
LMX1A	0	0	0	0	0
PTGIR	0	0	0	0	0
MTM1	465	465	512	44	49
ENSCSAG00000024723	0	0	0	0	0
ENSCSAG00000009786	613	603	728	42	40
BFSP1	9	7	11	0	1
RACGAP1	1507	1712	1899	183	205
BRPF3	2003	2299	2380	372	416
ZNF691	118	116	142	19	10
ENSCSAG00000025273	0	0	0	0	0
ENSCSAG00000020909	0	0	0	0	0
IFIH1	787	747	863	978	1011
MEF2B	31	34	32	6	14
HS3ST1	3283	3525	3875	452	475
CER1	0	0	0	0	0
GGA1	1013	1116	1183	133	133
ENSCSAG00000017636	0	0	0	0	0
ENSCSAG00000024502	0	0	0	0	0
ZDHHC21	153	123	136	17	7
IMPACT	624	707	673	43	47
ENSCSAG00000014140	469	381	519	47	46
ENSCSAG00000026047	0	0	0	0	0
TNIP3	2	0	1	0	0
DMTN	372	427	493	35	43
MIR597	0	0	0	0	0
AGPAT2	3036	3216	3638	228	287
ZNF610	26	51	36	3	3
PTGIS	126	138	132	34	41
PARP3	4332	4458	4989	475	455
GRAMD1A	2512	2597	2954	409	450
PTRH2	330	348	365	45	58
APOBEC3F	2035	2166	2354	146	169
HBZ	1	0	0	0	1
HVCN1	9	13	12	0	0
MLX	856	859	1038	104	112
PLN	0	0	0	0	0
MTMR9	462	565	583	68	63
PHOSPHO1	404	450	491	61	63
ENSCSAG00000011264	0	0	0	0	0
CECR2	9	7	5	0	1
KIF17	6	10	7	3	6
SYNE4	0	0	1	0	1
ENSCSAG00000024692	0	0	0	0	0
ENSCSAG00000020322	0	0	0	0	0
WBP1L	2384	2484	2749	199	190
ENSCSAG00000025121	0	0	0	0	0
TOR1B	413	422	516	45	49
ZNF581	558	506	606	62	63
ENSCSAG00000024358	0	0	0	0	0
DDX43	0	0	0	0	0
MSI1	169	145	174	15	16
OSGEPL1	327	360	342	22	25
SKP2	2293	2298	2552	136	181
WDR63	36	32	34	2	0
KRTAP25-1	0	0	0	0	0
ENSCSAG00000018362	13	29	17	4	3
TRAT1	0	0	0	0	0
ENSCSAG00000004898	9	8	10	1	0
DHRS7	839	796	905	55	69
SCN8A	541	601	646	51	74
DNAH9	1	1	1	0	0
KATNA1	1539	1552	1628	136	174
FOXK2	2787	2999	3386	536	573
CCDC124	2722	2812	3208	258	230
ENSCSAG00000005938	2	1	0	0	0
ENSCSAG00000009837	2051	2113	2373	194	229
COPZ2	0	0	1	1	0
ENSCSAG00000021750	0	0	0	0	0
SYNPO	11673	12430	13631	1175	1203
SPAG6	15	25	25	0	1
TMEM63C	328	332	364	29	33
BICDL1	2013	2197	2497	292	344
SNORD126	0	0	0	0	0
ENSCSAG00000026703	0	0	0	0	0
NMUR2	0	0	1	0	0
ENSCSAG00000006958	0	0	0	0	0
OTUD6B	659	721	761	70	81
ENSCSAG00000011065	194	188	253	13	16
PCTP	87	69	104	13	13
PID1	1775	2000	2287	315	326
CHRNB4	1	0	2	0	0
EZR	11297	12105	13462	1118	1225
UCK2	5251	5699	6527	797	923
ENSCSAG00000002492	3169	3198	3548	339	365
ENSCSAG00000003432	35	29	30	2	3
ENO2	1024	1083	1245	103	149
ENSCSAG00000020973	0	0	0	0	0
SERPIND1	17	25	16	1	3
EMC7	1649	1659	1919	124	148
HHATL	0	3	3	0	1
FABP3	741	769	881	51	68
ENSCSAG00000020172	0	0	0	0	0
ENSCSAG00000018540	0	0	0	0	0
TUBGCP5	485	479	564	37	62
OR1C1	0	0	0	0	0
FOXD2	105	132	137	16	7
ENSCSAG00000022200	0	0	0	0	0
CD55	442	458	489	32	58
ENSCSAG00000023036	0	0	0	0	0
PLEKHN1	131	139	167	15	19
BACE1	1086	1164	1237	124	113
ENSCSAG00000026310	0	0	0	0	0
ENSCSAG00000010867	1	0	0	0	0
ENSCSAG00000014723	0	0	0	0	0
ENSCSAG00000012854	6794	7523	7651	712	771
ENSCSAG00000019916	0	0	0	0	0
MDM1	283	265	268	20	17
EPHA3	0	0	0	0	0
ENSCSAG00000015081	0	0	0	0	0
MYADM	1624	1848	2093	232	216
BCL2L15	0	0	7	0	0
ENSCSAG00000007172	0	0	0	0	0
ENSCSAG00000026660	0	0	0	0	0
PHF21B	59	59	72	17	17
ENSCSAG00000007319	1320	1292	1617	108	123
ENSCSAG00000001845	5	6	8	0	1
ZBTB3	568	546	609	59	73
ENSCSAG00000011895	2156	2321	2553	290	303
ENSCSAG00000022479	0	0	0	0	0
ACAD10	1601	1686	1923	126	124
ENSCSAG00000008899	0	0	0	0	0
DLG2	2719	3102	3521	299	382
ENSCSAG00000003968	0	0	1	0	0
DOC2B	1	2	0	0	0
RNaseP_nuc	257984	269230	347674	117635	133697
ZNF121	500	522	520	61	66
ENSCSAG00000010501	1396	1315	1611	173	138
GSC2	0	0	0	0	0
NAT10	1018	1092	1173	157	129
CYB5R3	6288	6395	7392	509	518
FAM91A1	2902	3064	3275	276	290
ZNF354A	493	452	462	39	44
CLIC3	0	1	0	0	0
PLA2G2F	14	21	12	1	3
SLC25A24	1682	1637	1657	126	133
IFI6	770	777	916	313	314
ENSCSAG00000018235	0	0	0	0	0
ENSCSAG00000008947	0	0	0	0	0
ENSCSAG00000009363	0	0	0	0	0
SERPINA1	2462	2619	2878	212	225
ENSCSAG00000011040	0	0	0	0	0
ENSCSAG00000023119	0	0	0	0	0
APC	2310	2509	2475	200	277
KBTBD12	0	1	0	0	0
PAPLN	1080	1164	1277	124	106
RAB28	606	667	734	49	63
ZNF221	61	70	68	9	9
TPBGL	1	0	0	0	0
L1TD1	0	0	0	1	0
MED7	215	251	258	28	28
ENSCSAG00000025359	0	0	0	0	0
OR6B3	0	0	1	0	1
FDXACB1	130	128	147	13	19
DEFB121	0	0	0	0	0
STYK1	46	51	37	6	7
FCN1	0	0	0	0	0
DDX49	713	755	799	91	126
COL5A1	7590	8597	8822	732	767
SLC34A3	7	12	20	1	0
PTCHD4	0	0	0	0	0
PXN	7685	8348	9679	959	1063
ENSCSAG00000004462	1224	1360	1555	117	159
ENSCSAG00000016670	2241	2308	2701	220	218
ENSCSAG00000010588	61	39	56	8	6
C1orf116	188	272	328	35	54
ENSCSAG00000018734	1	0	0	0	0
S100A16	7095	7268	8608	610	712
MGP	0	0	0	0	0
ENSCSAG00000022147	0	0	0	0	0
MTERF4	312	326	388	25	46
ENSCSAG00000001034	2	3	1	0	0
SLIRP	2402	2543	2880	174	204
ENSCSAG00000020546	0	0	0	0	0
TNN	455	501	536	41	34
ENSCSAG00000009202	0	0	0	0	0
NETO2	166	176	181	17	16
CCDC84	43	43	42	4	6
ATRAID	1317	1336	1426	67	92
ENSCSAG00000007199	4035	4347	4541	343	396
ENSCSAG00000003835	0	2	0	0	0
SNRPN	1531	1652	1967	127	116
TIMM17B	737	774	831	66	69
SYBU	935	892	974	158	156
ENSCSAG00000013703	1	0	0	1	2
KAT2B	1404	1380	1473	123	123
ENSCSAG00000026413	0	0	0	0	0
LCTL	2	6	3	0	0
ENSCSAG00000016048	3612	3858	4064	357	400
HOMER1	700	727	754	65	82
SCNN1G	0	0	0	1	2
OSM	0	0	0	0	0
ENSCSAG00000022074	0	0	0	0	0
ARHGEF10L	2243	2241	2603	372	362
COL20A1	7	10	11	2	4
ENSCSAG00000017125	889	898	1041	82	99
ENSCSAG00000005915	10	9	10	2	0
ENSCSAG00000006528	0	0	0	0	0
PARVB	603	571	709	47	66
SCUBE2	1	0	0	1	0
SNORA38B	0	0	0	0	0
FAM78B	23	33	29	1	2
SETD1B	815	992	914	99	111
HMCES	1484	1652	1931	138	134
ENSCSAG00000019468	376	400	415	30	37
YARS1	1878	1927	2208	211	259
ENSCSAG00000024758	0	0	0	0	0
ENSCSAG00000022371	0	0	0	0	0
PRSS38	0	0	0	0	0
FAF2	4232	4419	4770	498	558
CHAF1A	3700	3990	4574	521	575
SMCR8	1075	1145	1206	126	134
ENSCSAG00000017728	0	0	0	0	0
ENSCSAG00000002224	3	4	0	0	0
LRP10	6160	6442	7129	617	655
RAX2	0	0	0	0	0
ENSCSAG00000018588	0	0	0	0	0
ENSCSAG00000025936	0	0	0	0	0
PCDHB5	1	1	2	0	1
TENM4	363	422	424	55	60
PCDHB15	67	65	80	8	8
PMS2	1931	2134	2247	188	252
PPP6R3	5399	5977	6288	560	688
TENM3	4056	4333	4311	367	387
GALNT9	51	73	87	9	7
TMEM161A	1069	1079	1338	84	79
ENSCSAG00000021010	0	0	0	0	0
FAM131B	3	2	0	1	0
MKLN1	1130	1220	1322	139	150
ENSCSAG00000021822	0	0	0	0	0
ENSCSAG00000023673	0	0	0	0	0
ENSCSAG00000021940	0	0	0	0	0
KBTBD11	1757	1977	2194	152	173
ZFAT	747	832	840	104	103
ZNF654	546	538	585	72	124
ENSCSAG00000021162	0	0	0	0	0
ENSCSAG00000018616	1782	1838	2194	105	129
LRRC74B	68	65	78	4	6
ENSCSAG00000007205	3	2	2	0	0
TXNRD2	833	834	873	59	61
COP1	1393	1393	1529	123	158
ZNF689	615	630	730	90	84
GLIS2	3668	3998	4506	499	496
CPN2	104	133	139	6	21
ING3	279	255	287	53	60
S1PR3	11	21	26	3	0
ENSCSAG00000001784	0	0	0	0	0
ENTHD1	0	0	0	0	0
SMNDC1	369	350	393	60	51
IGLV5-45	0	0	0	0	0
UBE2M	1421	1377	1561	106	158
UBP1	2510	2698	2969	244	256
BCAS2	1087	1154	1247	65	92
SMARCD2	2719	2721	2982	204	217
ENSCSAG00000022893	0	0	0	0	0
SEC22C	463	456	504	35	45
NCR3LG1	409	455	461	59	54
ENSCSAG00000013853	0	0	0	0	0
ATF4	6478	6583	7323	1048	1192
TACC3	3316	3523	3753	294	356
ENSCSAG00000007448	0	0	0	0	0
ENSCSAG00000016377	0	0	0	0	0
ENSCSAG00000020430	0	0	0	0	0
OTUD5	2773	2896	3246	226	227
HDDC3	781	822	954	75	60
CD300E	0	0	0	0	0
ENSCSAG00000020315	0	0	0	0	0
ENSCSAG00000011012	0	0	0	0	0
ENSCSAG00000022522	0	0	0	0	0
LAMTOR2	1890	1974	2290	144	127
EMP2	105	149	141	15	7
ABHD5	740	756	897	93	93
RRP15	356	432	499	40	64
HPGD	6	5	11	0	0
ENSCSAG00000025220	0	0	0	0	0
CBY2	0	2	0	0	0
ENSCSAG00000000029	0	0	0	0	0
ENSCSAG00000027231	0	0	0	0	0
PPBP	0	0	0	0	0
ENSCSAG00000018573	1	0	0	0	0
MIR374A	0	0	0	0	0
BAZ1A	2286	2466	2625	249	317
MIR135A1	0	0	0	0	0
TMEM104	470	547	613	45	50
ENSCSAG00000026957	0	0	0	0	0
FRG1	782	854	940	86	115
NCAPH2	3304	3671	4126	411	446
CCDC178	2	0	1	0	0
CHN1	193	202	222	37	41
TBC1D4	627	677	646	57	74
MFSD4A	23	24	27	1	1
HILPDA	99	95	126	5	13
TIMM8A	235	256	293	29	24
THAP10	497	518	584	48	63
ENSCSAG00000014251	532	602	611	40	43
TGS1	1757	1882	2036	200	263
PRKDC	25344	33159	29656	1823	1800
PTGR1	1322	1363	1460	109	112
ENSCSAG00000021483	0	0	0	0	0
NEU1	13546	13780	16031	891	998
STX19	19	20	27	4	1
CCDC57	328	360	405	70	55
ENSCSAG00000018611	0	0	0	0	0
ALOX12B	79	66	87	9	4
MIR16-1	0	0	0	0	0
ENSCSAG00000005858	1169	1125	1305	94	78
ACTN1	7966	8616	9377	888	1006
TSNAX	1628	1731	1833	131	139
ENSCSAG00000025773	0	0	0	0	0
ZMAT1	180	164	169	6	6
SNORD86	0	0	0	0	0
P3H4	4138	3998	4822	389	423
CPNE7	111	151	155	8	21
STRAP	3327	3508	3871	240	323
ASB5	13	9	18	5	1
ENSCSAG00000024225	0	0	0	0	0
PLEKHA3	352	427	481	45	54
ASB2	7521	7952	9230	672	738
TMEM208	738	780	876	50	66
ENSCSAG00000027288	0	0	0	0	0
DALRD3	3892	3994	4599	386	391
LYNX1-SLURP2	0	1	4	0	0
EI24	1061	1109	1228	87	111
DENND2B	3482	3520	4073	272	330
RGS12	851	821	952	94	93
PAQR7	6	6	9	0	0
MMP8	0	0	0	0	0
ENSCSAG00000016116	6	5	2	0	5
TAGLN	78	92	103	15	17
ENSCSAG00000022310	0	0	0	0	0
ENSCSAG00000019714	62	78	70	11	12
S100A2	8707	8977	10816	734	792
ENSCSAG00000024299	0	0	0	0	0
ENSCSAG00000027683	0	0	0	0	0
FTO	1039	1125	1170	81	79
SECISBP2L	4022	4394	4509	378	539
RDH5	14	18	15	1	0
MIR26A2	0	0	0	0	0
SNORD12	0	0	0	0	0
ENSCSAG00000011481	52	68	55	12	8
LRRC30	0	0	0	0	0
ATP6V0E1	5237	5241	6241	376	393
MYMK	0	0	0	0	0
ENSCSAG00000023483	0	0	0	0	0
ENSCSAG00000004272	1	2	0	0	0
ABCE1	1018	1188	1208	122	163
ENSCSAG00000021713	0	0	0	0	0
ENSCSAG00000010484	1176	1252	1426	234	282
LSM14B	1120	1194	1306	108	137
PIK3R3	240	247	281	10	16
ENSCSAG00000005718	4	3	2	1	0
LHFPL2	645	613	684	49	77
ENSCSAG00000027338	0	0	0	0	0
SP1	2264	2600	2659	283	275
ZNF280C	660	669	690	75	75
ENSCSAG00000025719	0	0	0	0	0
SOX10	2	10	4	0	4
BOD1L2	7	6	10	0	2
ETFA	3906	3953	4447	261	320
FIS1	3574	3809	4507	490	568
CFAP126	6	6	7	0	2
ZIC4	0	0	0	0	0
P4HTM	1111	1177	1329	96	105
CAVIN1	38594	41645	48050	4423	5021
ENSCSAG00000020125	0	0	0	0	0
MIR29B2	0	0	0	0	0
STRBP	1593	1738	1797	130	159
MAB21L1	3	2	2	0	1
IL3RA	0	0	0	0	0
TPPP2	0	0	0	0	0
CHUK	1000	1050	1111	108	138
ENSCSAG00000001954	0	0	0	0	0
RPH3AL	126	136	157	17	15
MED11	50	47	59	4	10
SNORD60	0	0	0	0	0
ENSCSAG00000026453	0	0	0	0	0
TRIM66	12	15	22	3	1
TENT5A	191	225	222	27	36
HCRTR1	1	0	0	0	0
FGFBP1	0	0	0	0	0
C20orf96	80	92	103	7	6
XKR8	16	9	20	1	3
FGF7	5	2	5	2	1
ENSCSAG00000020110	0	0	0	0	0
ENSCSAG00000024494	0	0	0	0	0
KANK3	498	580	666	38	46
SEL1L	7510	8029	8279	498	528
ENSCSAG00000020449	0	0	0	0	0
ENSCSAG00000024766	0	0	0	0	0
OR10Q1	1	4	2	0	0
INAVA	1602	1687	1811	179	215
MGMT	731	738	833	64	72
CHMP2B	1364	1436	1519	67	82
KRT39	11	8	12	2	3
SMARCA5	11921	12294	13194	875	992
ENSCSAG00000005382	0	0	0	0	0
INSR	1158	1343	1386	149	200
MYORG	628	788	830	84	71
ENSCSAG00000023854	0	0	0	0	0
ACCS	566	574	594	48	39
CXADR	1399	1530	1627	123	155
SLC16A11	213	187	223	14	20
CEP76	363	357	361	52	64
RAB12	550	630	645	119	109
ENSCSAG00000011319	2	12	3	0	0
ENSCSAG00000023124	0	0	0	0	0
SELP	0	0	0	0	0
SLC46A3	709	721	768	32	33
SIMC1	746	833	918	89	105
GCFC2	1672	1709	1860	126	142
ENSCSAG00000026136	0	0	0	0	0
XYLB	801	819	975	58	52
MTHFD1	7101	7622	8262	618	727
ENSCSAG00000026896	0	0	0	0	0
DDX47	842	952	1067	102	104
ENSCSAG00000024373	0	0	0	0	0
KLHL2	981	968	1040	85	93
CHST2	218	182	232	31	22
ACTN4	24960	27428	29791	2369	2470
RALGPS2	607	649	705	54	71
ENSCSAG00000020045	0	0	0	0	0
ESRP1	26	44	29	0	0
LCA5L	64	70	74	7	5
KARS1	6202	6415	7325	519	588
ENSCSAG00000015897	0	0	0	0	0
CENPC	454	463	496	45	41
MRM1	378	408	475	43	46
SARAF	3278	3400	3830	294	294
GLT6D1	0	0	0	0	0
HYAL3	104	107	106	12	15
SLC35F4	5	1	2	3	0
ENSCSAG00000016902	107	151	125	21	25
FAM47A	0	0	0	0	0
MBNL3	29	40	29	0	0
ENSCSAG00000019761	23	26	26	2	1
PCDH19	0	0	0	0	0
NCR1	0	0	1	0	0
ENSCSAG00000022605	6023	6294	7789	2196	2324
OR4K15	0	0	0	0	0
LYG1	0	0	1	0	0
PPIL1	64	92	88	9	8
GOLT1B	1308	1289	1397	87	109
ENSCSAG00000027097	0	0	0	0	0
ENSCSAG00000008963	0	0	0	0	0
VEZF1	3406	3540	3722	459	524
COQ3	61	67	57	2	2
SSR2	5113	5294	5884	373	455
COL17A1	3	5	3	0	0
SIRT2	959	948	1084	73	79
ENSCSAG00000004027	0	0	0	0	0
CMTM1	2	10	4	0	2
PTH2R	0	0	0	0	0
SPZ1	0	0	0	0	0
MTSS2	1093	1284	1399	294	387
CRYBA2	0	1	0	0	0
FRRS1	210	199	238	18	32
ENSCSAG00000001438	0	0	0	0	0
ENSCSAG00000004130	856	863	1018	90	72
MAPKAPK2	9028	10035	10948	1084	1311
NDC1	2577	2657	2842	214	268
ZNF334	160	197	196	13	24
ENSCSAG00000008163	0	1	0	0	0
SLU7	1340	1385	1386	83	99
ARL11	211	190	234	27	32
RTF2	2462	2571	2822	182	187
ZNF771	361	402	417	37	44
ENSCSAG00000021057	0	0	0	0	0
ARL6IP6	1549	1581	1681	123	134
ENSCSAG00000003628	0	0	0	0	0
TMPRSS5	1	2	3	0	0
GTF2IRD1	2384	2591	3002	650	720
ZFP90	1682	1689	1711	107	118
PUM3	1007	1038	1170	103	145
HSD17B4	3026	2954	3448	249	268
SLC16A12	2	6	8	1	0
HNRNPR	4290	4575	5019	300	385
ENSCSAG00000027568	0	0	0	0	0
SLAMF7	1	2	0	0	0
FBXO27	971	924	1190	62	79
MIR326	0	0	0	0	0
B4GALNT4	1745	1747	2036	217	228
ENSCSAG00000009919	1	4	1	0	2
SCAPER	624	619	648	83	98
ISOC1	635	660	705	49	62
SCX	25	19	23	3	3
PPP1R1C	0	0	1	0	0
NOB1	1671	1749	1867	180	267
DUSP16	728	827	806	305	347
ENSCSAG00000015693	0	0	0	0	0
RRP8	418	428	497	65	86
SNORD123	0	0	0	0	0
GIPC2	0	0	0	0	0
ZNHIT2	222	250	282	36	26
SLC41A1	4790	5435	5753	478	567
ENSCSAG00000018752	0	0	0	0	0
ENSCSAG00000013541	0	2	2	1	1
ENSCSAG00000023415	0	0	0	0	0
RBKS	1151	1192	1392	85	111
