Gene	HumanOrtho	GSM4658803_SRR12164495_Control3_read1	GSM4658804_SRR12164496_Control1_read1	GSM4658805_SRR12164497_Control2_read1	GSM4658807_SRR12164499_Sample1_read1	GSM4658808_SRR12164500_Sample2_read1
SLC8A1	SLC8A1	38.66	38.29	32.43	13.79	14.28
RPS13	RPS13	31.01	29.26	27.87	9.99	9.55
DNAJB9	DNAJB9	3.04	2.48	2.48	0.62	0.76
ENSCSAG00000009291	NA	0	0	0	0	0
ENSCSAG00000000331	NA	0.33	0.11	0	0	0
SMAD5	SMAD5	9.05	8.54	7.92	2.23	2.15
TMEM81	TMEM81	1.03	0.8	0.59	0.19	0.24
MMP16	MMP16	12.31	12.64	10.72	3.08	2.82
ENSCSAG00000009876	NA	3.11	2.55	2.52	0.41	0.27
MPI	MPI	7.23	6.78	6.39	1.89	1.73
ENSCSAG00000021315	NA	0	0	0	0	0
ZFAND3	ZFAND3	29.74	28.76	27.24	7.51	7.56
ENSCSAG00000023922	NA	0	0	0	0	0
CEP57L1	CEP57L1	2.22	2.33	1.98	0.44	0.53
TXK	TXK	0.01	0.02	0.02	0.02	0
SPAG17	SPAG17	0	0	0	0	0
RCAN3	RCAN3	3.69	3.61	3.13	0.85	0.82
LRRC2	LRRC2	0.01	0.01	0.01	0.01	0.03
ENSCSAG00000012294	NSMAF	0	0	0	0	0
RHPN2	RHPN2	15.73	15.37	13.51	6.16	6.02
ENSCSAG00000004599	CES2	1.31	1.39	1.26	0.32	0.37
ENSCSAG00000022706	NA	0	0	0	0	0
ABCB6	ABCB6	2.56	2.49	2.24	0.52	0.42
TBC1D10A	TBC1D10A	4.75	4.59	4.54	5.1	5.09
MICALL2	MICALL2	5.05	5.27	4.51	1.87	1.92
ECHDC2	ECHDC2	0.9	0.81	0.81	0.11	0.08
SYN3	SYN3	0.27	0.27	0.18	0.04	0.04
POLB	POLB	1.12	1.11	0.91	0.4	0.35
ENSCSAG00000018399	TVP23B	8.53	8.64	7.72	2.09	2.26
NPVF	NPVF	0	0	0	0	0
ENSCSAG00000019625	NA	0	0	0	0	0
ENSCSAG00000011834	NA	2.57	2.48	2.17	0.72	0.84
JAKMIP2	JAKMIP2	6.59	6.91	6.13	2.18	2.42
CPM	CPM	0.85	0.88	0.82	0.29	0.21
C8B	C8B	0.01	0	0.02	0	0
VRK1	VRK1	9.78	9.66	8.75	1.93	2.56
ENSCSAG00000000021	NA	2767.24	2272.08	2421.74	1360.98	1519.03
CCNG1	CCNG1	48.62	49.17	42.93	7.45	9.63
SAMD5	SAMD5	0	0	0	0	0
C11orf65	C11orf65	0.08	0.05	0.04	0	0
ENSCSAG00000004639	NA	0.02	0.02	0.04	0	0
ZNHIT6	ZNHIT6	3.29	3.37	3.01	1.1	1.07
NUDT17	NUDT17	1.07	0.92	0.61	0.26	0.12
ASCL4	ASCL4	0	0	0	0	0
PDHA2	PDHA2	0.21	0.19	0.21	0	0.07
ENSCSAG00000024671	NA	0	0	0	0	0
CSN3	CSN3	0	0.04	0	0	0
FAM189A1	FAM189A1	0	0	0	0	0
CLYBL	CLYBL	6.09	5.34	4.94	0.6	0.83
ENSCSAG00000004150	AC093227.2	1.15	1.19	1	0.25	0.19
ENSCSAG00000019017	NA	264.59	258.87	228.8	195.55	190.59
ENSCSAG00000000274	NA	0	0	0	0	0
CTSV	CTSV	0	0	0	0	0
LINGO3	LINGO3	0	0.01	0	0.02	0
ENSCSAG00000025426	NA	0	0	0	0	0
PNMA8B	PNMA8B	0	0	0	0	0
TAX1BP1	TAX1BP1	19.28	19.02	15.9	3.81	3.73
ENSCSAG00000009860	NA	0	0	0	0	0
ZNF24	ZNF24	16.5	15.16	13.54	4.83	5.15
C3orf20	C3orf20	0.07	0.08	0.08	0.03	0.02
UVRAG	UVRAG	3.04	3.05	2.91	1.94	2.32
ZCCHC24	ZCCHC24	3.44	3.32	3.03	0.68	0.9
TTLL5	TTLL5	3.36	3.44	2.85	0.77	0.73
SMCO3	SMCO3	0.03	0	0.02	0	0
ENSCSAG00000022822	NA	0	0	0	0	0
DHRS9	DHRS9	1.57	1.7	1.5	0.18	0.17
GJB6	GJB6	0	0	0	0	0
NUP43	NUP43	10.46	10.84	8.05	2.76	2.29
BCLAF1	BCLAF1	10.05	10.06	8.47	2.57	2.73
LSM8	LSM8	20.88	19.95	16.27	3.01	3.36
ARHGAP5	ARHGAP5	6.55	6.6	5.77	1.55	1.83
MIR412	MIR412	0	0	0	0	0
PAAF1	PAAF1	7.31	7.23	6.1	1.2	1.28
CEP72	CEP72	1.37	1.32	1.32	0.38	0.4
ENSCSAG00000013144	NA	0	0	0	0	0
TMEM109	TMEM109	21.6	21.58	19.38	4.47	4.68
DES	DES	1.09	1.13	1	0.31	0.47
ENSCSAG00000026345	AC005774.1	0	0	0	0	0
ENSCSAG00000026938	NA	0	0	0	0	0
IP6K3	IP6K3	3.23	3.07	2.91	4.99	5.46
ENSCSAG00000007655	NA	0	0.02	0	0	0
MCOLN2	MCOLN2	0.01	0	0	0	0
ACTL10	ACTL10	0.13	0.18	0.12	0	0
ENSCSAG00000021256	NA	0	0	0	0	0
ENSCSAG00000008950	FBXW10	0.04	0.05	0.02	0.03	0
NEUROD2	NEUROD2	0.01	0	0	0	0
ENSCSAG00000014373	NA	0.05	0	0.06	0	0
POC1B	POC1B	2.28	2.23	2.08	0.39	0.44
MIR30A	MIR30A	0	0	0	0	0
ENSCSAG00000021627	AC073065.2	0	0	0	0	0
PIDD1	PIDD1	3.61	3.34	3.1	0.9	0.78
ENSCSAG00000025442	AL031584.1	0	0	0	0	0
LRP2	LRP2	0.03	0.03	0.03	0.01	0
ZNF653	ZNF653	2.31	2.26	2.29	0.86	0.92
RASSF7	RASSF7	6.84	6.82	5.92	1.77	1.87
ATP13A1	ATP13A1	12.33	12.15	10.93	3.24	3.05
MRPL57	MRPL57	64.96	58.06	55.59	15.34	15.7
CLK4	CLK4	1.4	1.39	1.16	0.9	1.23
TAL1	TAL1	0	0.02	0	0	0
TMPRSS4	TMPRSS4	0	0	0.01	0	0
TRIM69	TRIM69	0	0	0	0	0
ENSCSAG00000018463	NA	0	0	0	0	0
C4orf48	C4orf48	56.29	52.47	51.43	14.43	13.82
ARL4C	ARL4C	14.53	15.77	13.75	5.01	4.88
ARRDC5	ARRDC5	0	0	0.01	0	0
POLK	POLK	2.93	3.17	2.67	0.75	0.97
CPSF4	CPSF4	16.74	15.68	14.98	4.77	5.65
KRT37	KRT37	0	0	0.03	0	0
INKA2	INKA2	0.09	0.26	0.21	0.09	0.2
ENSCSAG00000024401	NA	0	0	0	0	0
ENSCSAG00000022853	NA	0	0	0	0	0
GOLIM4	GOLIM4	30.98	32.52	29.11	6.44	6.82
ARL9	ARL9	0.55	0.49	0.4	0.08	0.17
ENSCSAG00000007049	NA	0.09	0.16	0	0	0
PDLIM4	PDLIM4	5.42	5.55	5.14	2.03	2.03
CHI3L2	CHI3L2	0	0	0	0	0
MCM9	MCM9	1.39	1.25	1.11	0.37	0.39
CHL1	CHL1	0	0	0	0	0
FBXL5	FBXL5	3.81	3.61	3.1	1.12	1.49
ENSCSAG00000020380	NA	0	0	0	0	0
SLC46A1	SLC46A1	14.87	14.98	13.78	3.58	3.01
TAS1R3	TAS1R3	0.4	0.44	0.33	0.09	0.08
RPS4X	RPS4X	323.81	315.23	281.29	82.02	85.85
SSC4D	SSC4D	1.27	1.28	1.16	0.21	0.26
HS3ST5	HS3ST5	0.19	0.21	0.18	0.04	0.03
ENSCSAG00000027894	NA	0	0	0	0	0
ENSCSAG00000001924	C1orf43	25.71	24.52	23.05	8.19	8.85
IL7R	IL7R	0	0	0	0	0
ENSCSAG00000000030	NA	0	0	0	0	0
CRTAP	CRTAP	58.04	56.02	50.76	18.35	14.81
NR2C1	NR2C1	2.73	2.92	2.5	0.61	0.88
HPCA	HPCA	0	0.07	0	0	0
AKAP8	AKAP8	4.78	5.44	4.69	1.97	1.93
CACNA2D3	CACNA2D3	0	0.02	0.01	0.01	0
ENSCSAG00000023067	NA	0	0	0	0	0
ENSCSAG00000015624	LCN1	0	0	0	0	0
ENSCSAG00000009329	NA	0	0	0	0	0
ENSCSAG00000003599	NA	0	0.12	0	0.17	0
ENSCSAG00000017387	NA	1.28	1.62	1.35	0.36	0.36
SNCB	SNCB	0.71	0.52	0.61	0.19	0.36
ENSCSAG00000013182	RBIS	39.9	36.16	36.91	9.04	9.79
MORN1	MORN1	0.13	0.12	0.13	0.07	0.07
MNS1	MNS1	4.79	4.37	3.87	0.7	0.9
MUC12	MUC12	0	0	0	0	0
SLC4A7	SLC4A7	4.11	4.38	3.88	1.4	1.31
UBAP1	UBAP1	8.12	7.68	6.87	2.19	2.44
AMIGO2	AMIGO2	4.35	4.25	3.5	0.68	0.91
ENSCSAG00000023234	NA	0	0	0	0	0
ZNF76	ZNF76	4.6	4.46	4.14	1.1	1.02
RSAD2	RSAD2	0.68	0.59	0.52	1.07	0.88
FECH	FECH	7.97	7.67	6.56	1.44	1.45
NCAPD2	NCAPD2	15.4	15.58	12.85	4.06	4.08
ECEL1	ECEL1	0	0	0	0.01	0
ENSCSAG00000013517	NA	0	0	0	0	0
ENSCSAG00000019898	NA	0	0	0	0	0
RHOU	RHOU	0.34	0.37	0.29	0.14	0.15
PSMD1	PSMD1	18.48	19.01	16.95	3.74	4.27
ENSCSAG00000006165	NA	0	0.02	0.01	0.03	0
PCCB	PCCB	12.13	12.08	10.49	2.06	2.14
ENSCSAG00000027141	AC126773.2	0	0	0	0	0
TM2D2	TM2D2	9.15	8.84	7.96	1.95	1.94
WDR17	WDR17	0.42	0.41	0.36	0.09	0.08
ENSCSAG00000027123	NA	0	0	0	0	0
ENSCSAG00000014821	NA	0	0	0	0	0
TCEAL2	TCEAL2	0	0.06	0.02	0	0
ENSCSAG00000021651	NA	0	0	0	0	0
JAG1	JAG1	18.19	16.49	12.98	3.04	2.97
ENSCSAG00000002775	NA	403.72	381.18	357.09	72.27	73.2
PLEKHH3	PLEKHH3	3.09	2.98	2.85	1.4	1.38
ENSCSAG00000000046	NA	0	0	0	0	0
ERCC6L	ERCC6L	2.87	2.74	2.34	0.48	0.67
DYNLRB1	DYNLRB1	78.07	76.8	71.28	15.75	15.93
ENSCSAG00000010394	NA	0.05	0.08	0.06	0.04	0.03
CD3E	CD3E	0.01	0.02	0.03	0.03	0.02
ZNF432	ZNF432	0.1	0.06	0.03	0	0.01
OR52J3	OR52J3	0	0	0	0	0
TNFRSF17	TNFRSF17	0.04	0.08	0	0	0
CYP4F8	CYP4F8	0	0	0	0	0
ENSCSAG00000025556	NA	0	0	0	0	0
NMRK1	NMRK1	3.03	2.57	2.68	0.77	0.56
UNC5D	UNC5D	26.54	28.61	23.25	9.38	8.5
ENSCSAG00000027861	NA	0	0	0	0	0
ANKRD52	ANKRD52	14.34	15.35	12.98	4.42	4.21
NEDD1	NEDD1	5.53	5.56	4.6	1.19	1.2
UCHL3	UCHL3	3.59	3.73	3.52	0.85	0.81
SFTPC	SFTPC	0.04	0.01	0	0	0
ENSCSAG00000027145	NA	0	0	0	0	0
ENSCSAG00000009251	NA	0	0	0	0	0
ENSCSAG00000019620	NA	0.02	0.07	0.06	0	0
E2F7	E2F7	5.61	5.45	4.69	1.67	1.61
PIGU	PIGU	5.29	5.17	4.59	0.94	1.01
TESPA1	TESPA1	0.01	0.01	0	0	0
ENSCSAG00000024361	NA	0	0	0	0	0
SAMD12	SAMD12	1.94	1.87	1.57	0.49	0.52
ENSCSAG00000025410	NA	0	0	0	0	0
LRCH1	LRCH1	2.25	2.39	2.02	1.78	1.3
MFSD9	MFSD9	2.76	3.18	2.73	0.87	0.85
ENSCSAG00000018825	NA	0	0	0	0	0
ATP10B	ATP10B	0	0	0	0	0
RPS14	RPS14	131.77	124.22	120.87	70.5	70.55
ADAP2	ADAP2	5.13	4.89	4.85	1.09	1.77
ENSCSAG00000020621	NA	0	0	0	0	0
UBE2E1	UBE2E1	8.31	7.96	7.39	1.8	1.83
ERICH4	ERICH4	0.13	0.1	0.13	0	0
HTR4	HTR4	0	0	0	0	0
SLC22A8	SLC22A8	0.02	0.02	0.01	0.01	0.02
SYT16	SYT16	0.02	0	0	0	0
ACER1	ACER1	0.05	0.09	0.09	0	0
ENSCSAG00000007256	Z83844.1	13.01	13.86	12.34	4.44	3.69
EPHX4	EPHX4	0	0.01	0.01	0	0
GSS	GSS	12.66	11.99	10.58	2.52	2.44
DOLPP1	DOLPP1	2.15	2.13	1.68	0.64	0.46
BPIFB3	BPIFB3	0	0	0	0	0
ENSCSAG00000002985	NA	0	0	0	0	0
TEX264	TEX264	8	7.99	6.43	1.27	1.47
EDEM2	EDEM2	14.24	13.45	13	2.84	3
ENSCSAG00000025343	NA	0	0	0	0	0
HPS1	HPS1	6.09	5.92	5.71	1.54	1.35
CD1B	CD1B	0	0	0	0	0
MIGA2	MIGA2	2.08	1.92	1.73	0.61	0.55
DDX58	DDX58	1.49	1.51	1.26	1.69	1.47
FCN3	FCN3	0.08	0.02	0	0.1	0
PSMD10	PSMD10	7.88	7.73	7.37	1.43	1.51
NRBF2	NRBF2	5.96	5.97	5.67	2.39	2.6
ENSCSAG00000022690	NA	0	0	0	0	0
ENSCSAG00000001926	VN1R4	0	0	0	0	0
PIP5KL1	PIP5KL1	0.38	0.3	0.43	0.04	0.17
RILPL1	RILPL1	5.45	5.49	5.04	2.49	2.42
ENSCSAG00000026633	NA	0	0	0	0	0
MRPS25	MRPS25	6.57	6.82	6.16	1.54	1.36
GJB2	GJB2	0.3	0.08	0.02	0	0
ATAD3A	ATAD3A	18.48	18.96	16.56	4.96	6.57
NDUFB7	NDUFB7	166.27	160.12	148.88	34.62	38.12
UBASH3A	UBASH3A	0.01	0.01	0.02	0	0.02
ENSCSAG00000022712	NA	0	0	0	0	0
ENSCSAG00000027144	NA	0	0	0	0	0
ENSCSAG00000024530	NA	0	0	0	0	0
ENSCSAG00000002434	NA	0	0	0	0	0
ANKAR	ANKAR	0.02	0.02	0.01	0.02	0.02
ENSCSAG00000007729	NA	5.17	4.72	3.68	0.52	0.75
PAIP2B	PAIP2B	8.58	8.02	7.04	0.79	0.8
OLAH	OLAH	0	0	0	0	0
CELF3	CELF3	0.14	0.14	0.12	0.05	0.07
SPCS3	SPCS3	38.64	39.2	34.93	8.38	8.35
GPT2	GPT2	4.16	4.37	3.84	1.34	1.41
ENSCSAG00000019907	NA	0	0	0	0	0
WIPI2	WIPI2	17.62	17.13	16.35	3.94	4.12
ENSCSAG00000011838	TPSB2	0	0	0	0	0
CDKL3	CDKL3	0.53	0.56	0.55	0.14	0.15
GABRB2	GABRB2	0	0	0	0	0
ZNF114	ZNF114	0.3	0.58	0.48	0.28	0.18
FOXR1	FOXR1	0	0	0.02	0	0
RTP2	RTP2	0	0	0	0	0
ENSCSAG00000015572	NA	0	0	0	0	0
ZBTB45	ZBTB45	6.8	6.71	6.43	1.15	1.55
ENSCSAG00000021049	NA	0	0	0	0	0
ENSCSAG00000007177	NA	0	0	0	0	0
ENSCSAG00000016080	POTEA	0	0	0	0	0
ENSCSAG00000021618	NA	0	0	0	0	0
AFG1L	AFG1L	1.51	1.44	1.15	0.39	0.36
AOAH	AOAH	0	0	0	0	0
PERM1	PERM1	0.29	0.31	0.3	0.1	0.11
MBNL1	MBNL1	7.61	7.47	6.58	1.64	1.92
ENSCSAG00000011922	NA	18.29	17.57	15.19	3.62	4.09
ENSCSAG00000013119	NA	0	0	0	0	0
ANKS4B	ANKS4B	0	0	0	0	0
OR7C1	OR7C1	0	0	0	0	0
AIMP2	AIMP2	12.45	12.65	11.3	3.96	4.13
NCALD	NCALD	0.16	0.17	0.12	0.04	0.03
ENSCSAG00000023522	NA	0	0	0	0	0
ENSCSAG00000011848	MARCKSL1	13.19	11.24	11.68	2.93	2.52
BTG1	BTG1	37.04	35.03	31.92	4.83	6.46
ENSCSAG00000020699	NA	0	0	0	0	0
FBXO38	FBXO38	6.5	6.42	5.58	2.81	2.88
ENSCSAG00000004277	AC010547.4	1.02	0.75	0.74	0.18	0.22
PGC	PGC	0.01	0.01	0.01	0	0
ENSCSAG00000005197	NA	0	0.03	0	0	0
ENSCSAG00000027180	NA	0	0	0	0	0
ENSCSAG00000001866	ILF2	54.72	52.56	49.37	12.09	12.47
STX7	STX7	8.12	7.89	7.14	1.9	1.98
SIGLEC15	SIGLEC15	0.21	0.05	0.07	0	0.08
CCT8L2	CCT8L2	0.01	0.02	0.01	0.05	0
ENSCSAG00000020862	NA	0	0	0	0	0
ENSCSAG00000004326	TIMM10B	10.13	11.61	9.54	3.76	2.39
GOT1L1	GOT1L1	0	0	0	0	0
ERICH5	ERICH5	0.02	0	0	0	0
NAPA	NAPA	29.44	29.2	26.63	6.34	6.64
ENSCSAG00000008776	DRC1	1.92	1.78	1.49	0.47	0.32
CST3	CST3	420.6	408.34	375.45	69.95	69.79
MIR520C	MIR520C	0	0	0	0	0
NPHS2	NPHS2	0	0	0.01	0	0
ENSCSAG00000018755	RPS9	360.96	365.65	337.21	86.65	95.33
MAMLD1	MAMLD1	1.43	1.35	1.3	1.8	1.45
ENSCSAG00000004503	CTBP2	27.22	26.87	25.56	7.32	7.48
TRIP10	TRIP10	22.41	22.79	20.8	10.46	11.24
ENSCSAG00000006535	GOLGA6L2	0.2	0.23	0.17	0.05	0.16
ENSCSAG00000025368	NA	0	0	0	0	0
ENSCSAG00000018315	NA	0	0	0	0	0
LRRC8E	LRRC8E	7.69	7.4	6.91	2.24	2.23
ENSCSAG00000020347	NA	0	0	0	0	0
WDR55	WDR55	10.74	11.05	10.24	3.48	3.17
FUT7	FUT7	0.2	0.11	0.08	0	0
KCNK4	KCNK4	0.01	0	0	0.03	0
IL12B	IL12B	0.01	0.01	0.01	0	0
HOXC11	HOXC11	0.02	0	0.02	0	0
RHOH	RHOH	0	0	0	0	0
MTHFD1L	MTHFD1L	4.29	4.47	4.07	1.49	1.73
NCKAP5L	NCKAP5L	4.65	4.73	3.95	2.5	2.76
GATM	GATM	0.77	0.83	0.65	0.06	0.14
DAPK3	DAPK3	8.33	8.18	7.66	3.61	3.38
TRAF3	TRAF3	4.76	4.69	4.42	5.78	5.63
ENSCSAG00000004996	NA	0	0.01	0	0	0
CREBZF	CREBZF	6.62	7.33	6.07	3.14	2.92
ENSCSAG00000023538	NA	0	0	0	0	0
C1QL2	C1QL2	0.13	0.08	0.02	0	0
CALU	CALU	27.98	26.27	24.23	4.29	4.67
ENSCSAG00000008680	NA	0.17	0.26	0.11	0.05	0.09
FCHSD1	FCHSD1	5.75	5.54	4.79	1.21	1.2
RBMS2	RBMS2	8.72	9.84	7.72	3.72	3.88
MYLPF	MYLPF	0.05	0.05	0.08	0	0
SNORD16	SNORD16	0	0	0	0	0
DCD	DCD	0	0	0	0	0
BRI3	BRI3	104.87	99.96	92.04	29.6	30.12
PSEN2	PSEN2	5.24	5.3	4.76	1.37	1.61
NDUFB5	NDUFB5	41.84	40.75	36.29	6.02	5.72
ENSCSAG00000023576	NA	0	0	0	0	0
OLFML1	OLFML1	0.03	0.01	0.02	0	0
ENSCSAG00000022601	NA	0	0	0	0	0
ENSCSAG00000024438	NA	0	0	0	0	0
ENSCSAG00000000105	PRELID3B	23.87	24.05	21.15	5.37	7.94
PCOLCE	PCOLCE	3.88	3.66	2.82	0.98	0.83
TNFRSF13B	TNFRSF13B	0	0.02	0	0.06	0
ENSCSAG00000018037	AL359736.1	5.5	5.52	4.66	2.29	2.33
GUCY2F	GUCY2F	0	0	0	0	0
NCKAP5	NCKAP5	4.67	4.62	3.9	1.13	1.02
GUCY2C	GUCY2C	0.01	0.03	0.03	0.04	0.05
PPP1R3D	PPP1R3D	2.35	1.66	1.77	0.68	0.57
EFCAB1	EFCAB1	0	0	0	0	0
NASP	NASP	26.85	25.77	22.21	5.27	5.61
MDGA2	MDGA2	0	0	0	0	0
ENSCSAG00000008451	TJP2	3.49	3.21	2.82	0.91	0.93
MIER2	MIER2	3.16	3.52	3.13	1.43	1.48
ENSCSAG00000006040	NA	0	0	0	0	0
IGFL4	IGFL4	0	0	0	0	0
FAM177B	FAM177B	0	0	0	0	0
PTH1R	PTH1R	2.84	2.62	2.57	0.63	0.76
ENSCSAG00000027170	AC094019.1	0	0	0	0	0
ENSCSAG00000024532	NA	0	0	0	0	0
RAB9A	RAB9A	8.96	10.75	9.06	2.98	2.91
SNPH	SNPH	2.69	2.67	2.33	0.87	0.85
SYT3	SYT3	2.63	2.72	2.33	0.41	0.56
FAM166A	FAM166A	0	0.02	0	0	0
SMPD2	SMPD2	8.84	8.3	7.91	2.57	2.4
KRT33A	KRT33A	0	0	0	0	0
S100A3	S100A3	14.16	13.14	13.29	1.59	1.46
GTPBP8	GTPBP8	1.37	1.63	1.27	0.39	0.46
EXOC8	EXOC8	4.36	4.73	4.15	1.76	1.67
TDO2	TDO2	0.02	0.02	0.01	0	0.02
ABCA7	ABCA7	7.1	7.36	6.39	1.7	1.46
FBXO45	FBXO45	2.56	2.4	2.2	0.67	0.77
ENSCSAG00000027616	NA	0	0	0	0	0
SH3KBP1	SH3KBP1	2.77	2.9	2.69	0.54	0.65
ENSCSAG00000018410	NA	0	0	0	0	0
ENSCSAG00000022456	NA	0	0	0	0	0
BAG3	BAG3	9.64	9.52	8.83	3.51	3.05
ENSCSAG00000023953	NA	0	0	0	0	0
CALHM4	CALHM4	0	0	0	0.05	0
BTBD18	BTBD18	0.19	0.22	0.12	0.09	0.13
ADAMTS15	ADAMTS15	0.34	0.4	0.29	0.07	0.05
MPL	MPL	0.02	0.03	0.03	0	0
ENSCSAG00000005464	SLC5A5	0	0	0	0	0
FGF10	FGF10	0	0	0	0	0
SKI	SKI	11.05	11.36	9.77	3.72	3.48
CFAP157	CFAP157	0.79	0.7	0.58	0.24	0.27
DDR1	DDR1	25.59	24.65	23.8	5.61	6.1
CCDC90B	CCDC90B	10.62	10.37	9.5	2.36	2.23
ENSCSAG00000012678	MAGED4B	10.44	10.03	9.26	1.81	1.98
RRP12	RRP12	5.85	6.16	5.22	2.4	2.57
KIF2B	KIF2B	0	0	0	0	0
KCNJ1	KCNJ1	0.31	0.32	0.23	0.04	0.06
MTMR11	MTMR11	2.69	2.39	1.95	0.59	0.39
TFRC	TFRC	7.83	7.86	6.9	2.21	2.64
ENSCSAG00000022992	NA	0	0	0	0	0
DUSP15	DUSP15	0.03	0.02	0.02	0	0
SNORD11	SNORD11	0	0	0	0	0
RALYL	RALYL	0	0	0	0	0
PGAP6	PGAP6	17.3	16.7	15.54	4.29	4.44
HPGDS	HPGDS	0	0.03	0.02	0.02	0
FAM207A	FAM207A	6.87	6.93	6.63	2.68	2.18
LRRC32	LRRC32	3.63	3.89	3.47	0.98	1.22
KLF13	KLF13	8.84	7.98	8.07	2.69	2.83
ENSCSAG00000007127	TCAF2	0.37	0.42	0.35	0.07	0.08
BTD	BTD	4.71	4.64	3.86	0.89	0.79
DNAL1	DNAL1	4.91	4.73	5.31	1.34	1.51
SUSD4	SUSD4	5.61	5.53	4.08	1.3	1.23
ENSCSAG00000017261	ULBP1	0	0	0.02	0	0
KRT32	KRT32	0	0	0	0	0
CCDC120	CCDC120	3.25	3.18	2.96	0.94	0.98
SPRTN	SPRTN	2.82	2.66	2.2	0.87	0.97
TADA3	TADA3	12.89	11.78	11.18	5.22	4.85
SLC22A16	SLC22A16	0	0	0.01	0	0
ENSCSAG00000020925	NA	0	0	0	0	0
ENSCSAG00000011517	NA	0	0	0	0	0
ZNF609	ZNF609	7.55	8.27	7.17	3.38	2.84
P3H1	P3H1	8.37	8.62	7.18	1.8	1.84
ENSCSAG00000022626	NA	0	0	0	0	0
CHRNA5	CHRNA5	2.52	2.17	2.06	0.3	0.33
DPAGT1	DPAGT1	1.98	1.71	1.67	0.25	0.42
ENSCSAG00000021712	NA	0	0	0	0	0
CLASP1	CLASP1	7.01	7.3	6.18	2.27	2.27
ENSCSAG00000016539	IGKV2-24	0	0	0	0	0
ZNF658	ZNF658	0.98	1.02	0.75	0.2	0.31
CYP3A43	CYP3A43	0.12	0.14	0.1	0.06	0
OXER1	OXER1	0.22	0.14	0.07	0.03	0.03
HSCB	HSCB	3.21	3.15	3.08	1.08	0.91
NEK8	NEK8	2.28	2.39	2.23	0.72	0.54
VPS26A	VPS26A	17.86	17.76	15.98	2.62	3.39
ENSCSAG00000016685	APEX1	4.27	4.01	3.87	1.12	1.3
ACAP2	ACAP2	5.04	5.17	4.29	1.02	1.11
SPPL3	SPPL3	9.33	8.87	8.14	3.21	3.12
CAD	CAD	14.05	16.01	12.7	4.77	4.31
ENSCSAG00000001755	GPR89B	3.59	3.38	3.06	0.6	0.89
SCAF4	SCAF4	12.4	12.7	10.54	6.72	6.59
ENSCSAG00000018919	KRT18	114.98	117.87	111.23	35.69	34.55
FOLH1	FOLH1	0.07	0.03	0.06	0	0.01
FAM184A	FAM184A	3.26	2.98	2.59	0.97	1.13
STARD10	STARD10	2.44	2.12	1.93	0.89	0.88
ENSCSAG00000026856	NA	0	0	0	0	0
NUDT7	NUDT7	1.21	1.2	0.99	0.07	0.09
ENSCSAG00000015718	NA	10.42	9.65	9	1.91	2.1
ENSCSAG00000024134	AC112786.2	0	0	0	0	0
ZNF672	ZNF672	5.82	6.04	5.35	2.26	2.11
PNPLA4	PNPLA4	1.06	0.76	0.95	0.27	0.05
RBM5	RBM5	7.85	7.52	6.61	3.31	3.71
KIF14	KIF14	2.48	2.57	2.16	0.49	0.64
TCTEX1D1	TCTEX1D1	0	0	0	0	0.03
H2BC11	H2BC11	215.51	209.57	200.04	68.96	74.26
ENSCSAG00000018834	NA	0	0	0	0	0
SKA3	SKA3	2	1.85	1.5	0.48	0.28
LMO1	LMO1	5.83	6.23	5.3	0.33	1.06
ADGRE2	ADGRE2	0	0	0	0	0
ENSCSAG00000020991	NA	0	0	0	0	0
LGR4	LGR4	3.95	3.6	3.12	0.4	0.46
ENSCSAG00000018424	SNX12	10.58	9.55	8.29	2.69	3.96
ENSCSAG00000001168	NA	79.01	76.21	71.51	14.67	15.6
NTRK2	NTRK2	0	0	0.01	0	0
RNF114	RNF114	26.32	23.39	22.69	6.39	6.01
IBTK	IBTK	8.89	8.76	7.74	2.31	2.57
ENSCSAG00000012866	TMEM64	18.09	18.28	15.76	4.22	4.7
AP2M1	AP2M1	68.28	65.82	61.46	11.79	12.32
ENSCSAG00000020423	NA	0	0	0	0	0
C1QL3	C1QL3	0.15	0.28	0.11	0.39	0.3
7SK	RN7SKP101	97594.83	93573.11	89279.95	110460.73	104399.29
IL36RN	IL36RN	0	0	0	0	0
SLC35B3	SLC35B3	5.7	5.45	4.63	1.06	0.86
ENPP4	ENPP4	9.1	8.92	7.88	1.91	1.93
ENSCSAG00000027161	NA	0	0	0	0	0
ENSCSAG00000024190	NA	0	0	0	0	0
TLR4	TLR4	0	0	0	0	0
ENSCSAG00000025645	NA	0	0	0	0	0
BLMH	BLMH	23.2	24.06	20.79	6.12	5.81
FST	FST	0.05	0.06	0.04	0.02	0.03
PI16	PI16	0	0.01	0	0	0
KLHDC9	KLHDC9	3.5	3.3	3.11	0.56	0.36
ENSCSAG00000008172	HLA-E	104.85	100.87	94.46	24.07	22.15
OR5V1	OR5V1	0	0	0	0	0
ENSCSAG00000005363	NA	0.17	0	0	0	0
UROS	UROS	14.2	14.42	12.92	3.37	3.73
ENSCSAG00000001490	TLCD4-RWDD3	2.83	2.68	2.47	0.36	0.6
PODN	PODN	0	0	0.01	0	0.01
ICAM2	ICAM2	0	0	0	0	0
ENSCSAG00000011865	MAGI2	0.04	0.04	0.03	0.03	0.05
TPSG1	TPSG1	0	0	0	0	0
ENSCSAG00000019802	AC004448.4	0	0	0	0	0
