Genes	SAMN14563423_Series7_Calu3_Mock_1	SAMN14563422_Series7_Calu3_Mock_2	SAMN14563421_Series7_Calu3_Mock_3	SAMN14563420_Series7_Calu3_SARS-CoV-2_1	SAMN14563419_Series7_Calu3_SARS-CoV-2_2	SAMN14563418_Series7_Calu3_SARS-CoV-2_3
LCE3B	0	0	0	0	0	0
M37726	0	0	0	0	0	0
MAU2	131	248	656	470	189	471
LYZ	2807	4113	10573	3028	1755	2979
FENDRR	0	0	0	0	0	1
COX11	223	214	669	301	170	253
BC047594	0	0	0	0	0	0
MIR941-3	0	0	0	0	0	0
CYP2C18	82	129	340	135	66	120
NCAPG2	882	1205	3082	885	482	827
COL18A1-AS1	0	1	5	0	1	1
LEKR1	11	10	19	28	16	15
DQ577219	0	0	0	0	0	0
DQ584931	0	0	0	0	0	0
ZDHHC23	138	182	503	157	104	179
KLHL42	98	122	340	148	100	152
SNX27	95	127	545	255	128	298
MIR451B	0	0	0	0	0	0
Mir_616	0	0	0	0	0	0
TSR3	613	1510	2662	606	408	831
RBM33	347	575	1448	1037	510	1109
FAS	66	87	222	244	139	225
KIAA0586	53	112	270	108	46	119
HV781757	0	0	0	0	0	0
RSPH4A	2	1	7	0	3	2
LCOR	138	150	524	489	402	414
BC038530	0	0	0	0	0	0
CCDC66	53	89	168	159	115	139
MAP2K4	160	212	614	353	229	368
RXFP2	0	0	0	0	0	0
KIAA1598	144	165	471	240	154	197
DUSP5P1	0	5	6	17	8	14
RFFL	185	224	679	634	293	648
CHMP5	532	727	1844	1646	1026	1498
TPRN	69	231	476	164	87	185
MIR4270	0	0	0	0	0	0
Mir_207	0	0	0	0	0	0
DKFZp434F1622	1	0	1	0	0	1
C17orf70	242	486	1058	318	147	361
DQ589249	0	0	0	0	0	0
PI4KA	459	789	2276	716	364	739
RBMS1	417	499	1443	1323	643	1151
DQ570533	0	0	0	0	0	0
LOC100506305	3	13	16	25	6	15
OR1J2	0	1	0	0	0	0
AKAP13	672	934	2888	1951	1117	1955
MIR205HG	0	0	1	0	0	0
RNF186	2	7	12	4	1	3
MAPKAPK2	945	1795	4055	2103	1205	2345
AL831977	6	33	0	29	3	8
RPS18	11211	23417	47713	22874	12948	23623
FLJ11235	10	17	70	5	6	26
SNORD78	0	0	0	0	0	0
MB	4	7	9	22	14	22
FNBP1	46	40	178	102	73	117
KRTAP19-7	0	0	0	0	0	0
BC035922	0	0	0	0	0	0
CLEC12B	0	0	0	0	0	0
C6orf7	0	0	0	0	0	0
TRPC2	0	0	0	0	0	0
PREPL	524	502	1739	792	480	708
LOC146513	0	0	0	0	0	0
KIF2C	745	1515	3146	780	441	775
PKP1	2	4	3	33	19	15
FRMD4B	146	154	535	536	321	540
AK093513	0	0	3	1	0	1
DQ572047	0	0	0	0	0	0
EXOSC6	214	461	873	269	157	342
GPLD1	15	37	57	19	9	20
GTF3C1	949	1816	4440	1958	1025	2136
ZSWIM1	116	265	543	305	152	309
ZNF814	57	66	122	74	62	97
RFPL3S	2	3	7	5	12	4
AX747124	0	0	0	0	0	0
TNFRSF4	0	2	2	1	0	0
MLF1IP	766	1180	2600	954	592	804
SLC26A11	28	63	119	98	46	117
ARHGEF33	0	0	7	0	0	0
DQ573660	0	0	0	0	0	0
MIR22	0	0	0	0	0	0
KIAA0931	17	53	58	59	45	37
POLD3	252	350	956	379	178	350
DQ579617	0	0	0	0	0	0
YY1P2	0	0	0	0	0	0
DQ573895	0	0	0	0	0	0
SLC27A6	0	0	0	0	0	0
PCDHGB3	0	7	13	10	11	20
MIR3678	0	0	0	0	0	0
RBCK1	633	1614	3068	2682	1488	3184
POTEI	0	0	0	0	0	0
XRCC1	435	858	2008	745	413	793
TERT	8	9	38	6	2	5
GREM1	0	0	0	2	0	0
MLKL	207	387	950	863	454	830
CDKN1C	26	74	140	87	64	109
CRTAM	1	0	6	1	0	1
DIP2A	108	151	518	227	113	253
ZNF32-AS3	0	0	0	0	0	0
MIR4458	0	0	0	0	0	0
LOC151171	0	0	0	0	0	0
ZNF668	97	261	407	142	97	221
OR2M4	0	0	0	0	0	0
CD48	0	0	0	0	0	1
C10orf55	43	48	177	188	110	224
PRPF40B	107	208	460	238	105	239
XRCC2	95	116	450	215	87	210
TBC1D10C	0	0	0	1	1	1
CMTM6	1687	2134	6263	3326	2059	2812
LOC286177	0	0	0	0	0	0
TMEM17	36	68	137	56	32	53
SUPT4H1	254	568	1108	534	297	585
ARHGAP24	66	74	208	127	67	129
BAI2	59	80	253	69	37	105
HSD17B8	228	450	858	402	180	414
RTN4	4986	7595	18321	6871	4329	7435
SELM	13	27	47	31	14	34
LRRC37A4P	139	228	712	363	198	350
ADAMTS20	0	0	0	0	0	0
TRNT1	98	118	334	217	125	158
AP2A1	826	1909	4291	1462	758	1700
PHF15	422	624	1854	1529	801	1811
DLC1	162	240	640	851	466	847
HIST3H2BB	1	4	9	9	5	7
DQ576386	0	0	0	0	0	0
NPCR	0	0	0	1	0	0
SNORA14B	0	0	0	0	0	0
TAS2R42	0	0	2	0	0	0
CARNS1	1	4	8	8	2	2
SHISA4	135	264	600	171	111	221
MIDN	248	630	1353	972	500	1153
TSKU	445	909	2046	1192	640	1456
ZDHHC7	1072	1973	4400	2441	1367	2721
U4	1	0	0	0	0	0
KLF5	893	847	3162	3606	2063	3451
DQ575560	0	0	0	0	0	0
DQ578920	0	0	0	0	0	0
BC042366	0	0	0	0	0	0
NFAT5	191	251	771	960	571	859
PCAT1	8	5	6	9	12	25
LPXN	58	84	153	163	67	146
BC073948	0	0	0	0	0	0
MFSD4	56	86	209	189	123	179
PROSC	902	1359	3336	1458	723	1374
ZNF343	58	104	231	144	63	120
DNM1P35	3	3	6	4	0	9
HSF5	0	0	0	1	0	0
PDE3B	43	47	186	52	13	41
DQ582443	0	0	0	0	0	0
BC035261	0	0	0	0	0	0
STYXL1	235	506	954	523	257	502
HOXA7	0	0	1	1	6	4
LOC285768	0	1	0	3	1	3
MAPT-AS1	0	0	0	0	0	0
KLF8	5	8	20	14	13	8
AZIN1	566	698	1972	1683	901	1495
TSSK3	6	14	44	19	12	21
MAP10	15	19	59	69	28	55
CEP63	258	413	914	658	388	604
ELAVL1	606	1197	2571	1114	578	1090
DQ579267	0	0	0	0	0	0
AF086285	14	30	78	44	19	61
AX747639	0	0	1	0	0	0
LOC643648	0	0	0	0	0	0
DQ594789	0	0	0	0	0	0
EIF4EBP1	2010	4714	8736	5246	2821	5753
EPT1	572	838	2204	1228	702	1091
OR10T2	0	0	0	0	0	0
ANKRD20A4	0	1	0	0	0	0
MEG3_1	0	0	0	0	0	0
KATNA1	103	183	416	223	127	186
ALS2CR12	0	2	3	4	3	2
ZNF577	73	124	281	249	162	238
KIAA1161	169	235	798	231	118	231
PITRM1-AS1	18	6	40	21	6	17
MIR223	0	0	0	0	0	0
KANK4	2	2	2	0	0	0
DDX24	1236	1982	4536	2534	1392	2649
LOC645355	0	0	0	0	0	0
LOC284100	5	3	6	6	1	5
DQ588406	0	0	0	0	0	0
AF339817	10	18	33	25	17	21
PTGER1	1	0	5	0	0	1
GNPTAB	409	546	1689	834	495	739
CCDC111	113	123	254	165	80	137
SNORA36A	0	0	0	0	0	0
TTTY7B	0	0	0	0	0	0
MIR548Q	0	0	0	0	0	0
SCG5	2	1	4	4	0	0
KCTD13	89	238	455	401	166	425
DNASE1L3	1	0	2	1	0	1
CT47A5	0	0	0	0	0	0
C8orf87	0	0	0	0	0	0
RCSD1	0	0	0	2	0	1
CACNA1A	0	5	3	8	1	8
SETMAR	54	108	216	105	53	88
RNF126P1	0	0	0	1	0	0
GPR139	0	0	0	0	0	0
MYO1E	1664	2562	7061	4451	2278	4062
SDCBP	1196	1266	3954	2114	1195	1915
MIRLET7A1	0	0	0	0	0	0
MIRLET7A2	0	0	0	0	0	0
RABL6	754	1848	3587	1052	516	1219
USP17L30	0	0	0	0	0	0
C7orf62	0	0	0	0	0	0
RANBP2	810	1063	2982	2199	1257	1878
SLC7A6	436	608	1603	835	380	785
GLUD1	626	1010	2697	1283	661	1277
IFI35	379	745	1715	4233	2021	4255
MIR3973	0	0	0	0	0	0
PAX9	30	33	98	78	26	64
ZNF132	2	13	37	7	13	11
UGT2B7	93	177	371	117	42	100
HOOK1	463	343	1296	609	318	518
VEZF1	217	261	750	900	518	838
EMBP1	19	53	109	45	23	40
CYCS	2644	3064	7836	3264	1901	2825
UNQ6494	0	0	0	0	0	0
C17orf67	38	46	115	90	65	104
PSMC2	860	1596	3557	1606	776	1460
MAML1	325	503	1432	953	459	884
LRIT3	1	0	2	3	0	2
KCNJ3	3	1	7	4	5	11
COLQ	3	9	22	7	4	5
LRRIQ3	4	4	10	14	3	7
USP33	407	488	1519	1097	629	995
DL490795	0	0	0	0	0	0
RNASE7	0	0	1	0	0	0
MIR183	0	0	0	0	0	0
DQ584521	0	0	0	0	0	0
AES	1314	3017	6067	2035	1133	2582
SnoU109	0	0	0	0	0	0
C18orf61	0	2	0	3	2	3
AGTRAP	302	726	1558	583	270	745
RASL10A	2	2	7	1	0	3
CLEC19A	0	0	0	0	0	0
WASF3	72	82	307	126	57	121
LINC00592	1	4	7	8	3	3
LOC100130849	0	0	0	0	0	0
SNORA65	0	0	3	0	0	0
MTFMT	129	239	575	259	134	300
ANKRD46	55	92	216	146	95	130
CTSS	699	1057	2607	2617	1357	2348
GPR142	0	0	0	0	0	0
NUDCD2	314	665	1305	551	323	587
DUX4	0	0	0	0	0	0
POU4F3	1	0	5	3	0	2
HEYL	0	1	2	2	2	4
NPTX1	1	9	23	49	15	44
BC047626	1	1	2	0	0	2
SSH1	254	373	1229	1448	656	1336
FLJ25363	0	0	0	0	0	0
INTS4	241	348	743	369	179	344
SPTY2D1	341	381	1258	746	433	783
TAAR9	0	0	0	0	0	0
INSIG2	861	1164	2861	1508	940	1220
MIR3147	0	0	0	0	0	0
SNORA70G	0	0	0	0	0	0
TMEM130	3	2	2	1	1	12
PTPRN	0	1	1	0	0	0
CCDC148	15	15	65	26	28	42
OR52E8	0	0	0	0	0	0
DKFZp451B082	0	0	0	0	0	0
AX746775	20	19	19	25	6	23
MDH1B	23	34	68	7	2	14
LOC340113	0	0	0	0	0	0
LINC00623	82	164	230	98	73	165
MAP7	274	365	994	440	224	443
CDCA3	302	669	1447	262	112	266
BC043213	0	3	2	3	0	3
NUP98	884	1392	3784	2275	1114	2300
TTLL6	0	3	2	17	2	17
JB175177	0	0	0	0	0	0
KRTAP4-2	0	0	0	0	0	0
USP2	5	14	30	14	4	17
SPATA31A2	0	0	0	0	0	0
SUSD3	0	5	15	21	11	34
GEN1	165	167	656	323	210	243
TMEM223	171	445	737	191	99	222
DRP2	4	13	18	3	4	3
MTNR1B	0	0	0	0	0	0
NUP88	250	495	1121	550	299	482
PHACTR1	1	2	5	6	2	6
MIR3685	0	0	0	0	0	0
LOC648987	27	54	132	120	51	119
ASPHD2	21	34	65	103	53	90
SH3BGRL3	924	2180	3760	2074	1109	2030
EIF4E1B	0	0	0	0	0	0
IPO5	489	727	1798	809	400	741
MCF2	0	0	1	2	0	0
MTRF1	65	116	256	136	81	157
JB175316	0	0	0	0	0	0
HV303528	0	0	0	0	0	0
NUDT18	87	190	341	87	54	99
XAF1	19	24	85	953	589	863
SLC3A2	2187	4860	10475	11766	5455	12590
TACC1	891	1258	3565	2042	1119	1944
ABCF3	439	907	2102	849	410	905
NRIP2	4	1	12	1	0	5
AK055631	0	0	0	0	0	0
DQ576075	0	0	0	0	0	0
PPM1K	99	110	280	643	444	701
CD99	710	1494	2844	1524	832	1628
AK000953	16	16	21	39	26	29
IDE	253	352	1022	379	221	333
TRPV5	2	3	0	0	0	0
PRR3	108	204	468	340	141	360
CTNS	48	93	282	71	46	74
CACNG6	1167	2864	5048	3577	2152	4425
ZNF70	16	41	170	74	23	82
C9orf3	137	349	540	220	128	182
ICAM1	1351	2788	6518	42448	19895	42251
MIR4509-1	0	0	0	0	0	0
MIR5583-1	0	0	0	0	0	0
IKZF5	65	32	187	146	101	151
RASGRP3	44	79	166	819	407	769
DQ597052	0	0	0	0	0	0
KRTAP9-7	0	0	0	0	0	1
OR51G2	0	0	0	0	0	0
BC050344	123	134	532	400	194	367
POU6F2-AS1	0	0	0	0	0	0
OCM	0	0	0	0	0	0
LOC220729	47	83	250	62	33	62
JA783708	0	0	0	0	0	0
PIP5K1P1	2	0	0	0	1	1
PRSS36	2	18	28	33	25	39
RAB39B	2	4	2	1	0	1
MFAP3L	79	89	342	147	70	134
SPG20OS	0	0	0	0	0	0
SNORD58C	0	0	0	0	0	0
COG6	173	140	551	277	141	226
RGS16	18	28	26	53	25	49
HYMAI	1	0	3	2	0	0
PRKCG	166	405	761	379	207	390
FAM90A27P	0	0	0	0	0	0
YIPF1	150	293	746	267	142	263
TRIM29	25	55	119	161	61	208
TTL	298	438	998	376	204	383
Mir_378	0	0	0	0	0	0
SFXN4	107	219	374	149	86	162
SCMH1	116	231	530	240	151	278
COL19A1	0	1	1	2	0	1
AK094915	0	0	0	0	0	0
CALM3	2704	5474	11859	3377	1726	3887
MIR4667	0	0	0	0	0	0
ENDOV	122	326	562	279	139	298
NIT1	296	664	1218	651	395	702
PTPN11	1587	1788	6113	3232	1723	2847
SCARNA7	2	10	5	7	0	61
METTL23	300	625	1281	627	339	604
DQ576802	0	0	0	0	0	0
PRB2	0	1	1	0	0	0
AB231739	0	0	0	0	0	0
GOLGA6L6	0	2	4	2	0	3
GLTP	281	482	1090	574	319	671
ZNF277	177	202	502	668	388	617
GDPD3	23	56	94	36	12	34
DQ571347	0	0	0	0	0	0
DQ584971	0	0	0	0	0	0
QRICH1	502	857	2150	1082	615	1133
MIR4429	0	0	0	0	0	0
RNF113B	0	0	0	0	0	0
AKR1C6P	0	0	0	0	0	0
VCX2	0	0	0	0	0	0
JA783622	0	0	0	0	0	0
AK123450	9	13	23	27	11	16
TEX15	14	28	76	10	2	3
DDR2	0	0	7	1	0	3
LARP4	344	311	1061	740	470	633
RPGR	41	60	174	111	49	100
MIR548I4	0	0	0	0	0	0
OR51T1	0	0	0	0	0	0
DQ582013	0	0	0	0	0	0
AX747750	0	0	2	6	2	9
DNAJC9	540	935	1973	817	413	803
DQ582763	0	0	0	0	0	0
LOC100127888	2	5	6	12	2	6
PPIH	352	669	1321	490	244	469
ARHGAP23	1010	1517	3981	2213	1126	2484
IL1R2	5	11	25	9	7	10
DCP1A	138	207	549	818	473	787
ZNF740	154	317	828	407	251	439
LINC00493	50	155	314	145	78	145
SNORD113-4	0	0	0	0	0	0
FAM3B	1	3	5	3	9	8
SLC10A4	8	14	37	10	3	12
DQ583098	0	0	0	0	0	0
SETD1A	282	563	1150	531	275	625
FREM1	0	0	0	0	0	0
COL7A1	107	299	513	386	199	333
NOB1	567	1122	2567	1430	649	1471
NoGeneId	0	0	0	0	0	0
ALOX12	1	4	5	0	2	2
ABHD13	74	51	209	128	83	133
MIR519C	0	0	0	0	0	0
TRPS1	88	116	350	364	240	359
BPIFA1	0	0	0	0	1	0
TRAF4	526	1313	2864	1588	942	1940
WISP1	0	0	0	1	0	0
MYADML2	0	1	0	0	0	1
EHMT1	225	422	1138	523	249	497
BTD	71	100	273	65	52	87
CRAT	96	213	447	157	113	221
BC019846	0	14	30	38	32	22
SCNN1G	1	0	2	2	5	0
OR5A2	0	0	0	0	0	0
RPS8	5006	11040	20578	10818	6335	11197
FKBP9	1405	2472	5909	3030	1676	3173
FAM214A	39	50	141	171	95	172
CDKL4	0	0	0	0	0	1
CHST6	36	91	197	136	87	135
BC035247	1	1	1	0	0	0
UGT3A1	0	0	0	0	0	1
C1orf233	47	150	205	34	13	42
CTSZ	2777	5805	11133	5027	2810	5361
AF086351	4	3	7	3	7	1
C10orf107	0	1	0	0	0	0
TNXB	25	55	193	192	111	211
LBP	0	0	2	1	0	1
BAG4	277	362	986	611	415	562
CADM3	0	0	0	0	0	0
ANKRD23	16	47	93	24	11	46
AGPS	593	701	2102	1206	678	1133
BRPF1	142	269	615	327	183	354
ANGPT1	1	1	0	3	0	0
ASB10	0	0	0	0	0	0
BC045788	0	0	1	1	0	1
TRNA_Glu	0	0	0	1	0	16
SNORD113-2	0	0	0	0	0	0
DLD	551	705	1987	1089	587	959
SORT1	964	1465	4196	1474	881	1569
FGGY	67	128	280	109	60	127
BMP7	8	15	29	16	7	17
HLTF-AS1	0	0	0	0	0	0
VPS11	110	216	529	247	153	259
TMOD4	2	7	6	8	2	6
MIR4278	0	0	0	0	0	0
C9orf169	38	59	116	36	3	48
LAMB2P1	5	5	10	16	6	14
BNIP3L	796	986	2624	1504	1114	1399
TLN2	63	109	301	90	46	96
DUX4L2	0	0	0	0	0	0
APLP1	79	227	387	102	60	164
CYBB	13	25	94	13	11	15
ADAMTS1	40	57	168	174	68	144
TIAL1	363	612	1261	820	469	819
DQ601812	0	0	0	0	0	0
DAB1	0	1	0	0	0	0
INSRR	0	0	0	0	0	0
MRS2P2	0	0	1	0	1	0
POTEB	0	0	0	0	0	0
RNF223	28	52	110	95	61	143
BC040576	0	0	0	0	0	0
JA700158	0	0	0	0	0	0
LOC100288966	0	0	0	0	0	0
MIR93	0	0	0	0	0	0
RPL23P8	0	0	0	1	0	0
BMI1	90	142	441	204	72	200
TBR1	0	0	3	1	0	2
DQ580247	0	0	0	0	0	0
ALG10B	84	64	283	208	115	121
LOC100288198	35	26	79	77	56	58
MARC1	130	215	502	91	50	107
NR2F1-AS1	84	118	315	138	89	146
DNAJC5B	0	1	2	1	1	3
SNTG1	0	0	0	0	0	0
PBK	567	741	1920	638	346	605
DEFB127	0	0	0	0	0	0
ICAM5	7	14	46	30	38	71
EFNA1	261	536	1127	1454	1020	1821
SPIN3	81	133	335	253	132	244
FOS	73	129	256	308	187	358
NBPF16	6	0	6	23	9	0
NPSR1-AS1	5	14	27	13	13	11
MSL1	2130	3168	8424	4893	2942	4696
RWDD2A	75	125	247	170	63	181
MIR3173	0	0	0	0	0	0
BV02S1J2.2	0	0	0	0	0	0
MRPS17	290	678	1156	562	327	532
THYN1	172	430	834	235	140	219
SNORA74	0	0	0	0	0	0
C10orf99	0	0	0	0	0	0
FNDC1	7	5	19	10	9	11
CFLAR	1786	3088	7718	11348	5937	10873
CAMKMT	79	109	313	74	36	84
SNORD116-1	0	0	0	0	0	0
AK131224	0	0	0	0	0	0
THRB-AS1	1	2	1	1	0	4
PPID	403	606	1455	740	409	655
FLJ00285	100	222	546	279	125	363
C10orf91	0	3	5	3	2	0
FANCB	36	49	152	66	32	49
LY6G6C	0	0	4	0	0	0
AK097571	1	5	10	0	2	2
AK128569	0	0	1	0	0	2
ADAD2	0	0	0	0	0	0
S100P	302	734	1524	2234	1141	2343
PRKAR2B	55	37	164	39	25	36
ARHGAP26-AS1	1	0	1	1	0	2
AK056973	34	47	82	55	37	43
HNRNPUL2	895	1617	3619	1705	1075	1747
SIGLEC7	0	0	0	0	0	0
AP5M1	177	229	666	245	172	199
EIF4G3	373	457	1485	934	486	895
AK128619	1	3	20	8	4	6
TRIM6-TRIM34	0	0	0	0	3	0
MGC72080	143	302	445	197	87	187
HECTD4	254	413	1410	729	328	757
MIR302F	0	0	0	0	0	0
NOS2	0	0	0	0	1	0
ISL1	68	119	224	111	59	99
SLC22A12	0	0	0	0	0	0
FXR1	2632	3492	8853	5876	3594	5738
C16orf70	146	353	803	566	328	605
CNTNAP4	0	0	0	0	0	0
LOC100506124	2	3	11	7	5	2
RPL15	7204	14175	31144	14070	7778	15548
TRIM64	0	0	0	0	0	0
SH3GL3	1	8	12	6	5	6
MIR5587	0	0	0	0	0	0
AX746877	0	4	3	7	2	4
HFE	179	260	770	262	155	248
NGFRAP1	1197	2589	4934	1602	872	1618
LOC152225	14	14	41	52	27	53
AX747405	6	21	42	27	17	42
DDA1	313	715	1590	804	414	790
EBNA1BP2	1362	2849	5402	2083	1078	1919
TMEM37	2	11	29	14	6	9
PRAC	0	0	0	0	0	0
RNF114	493	829	1937	1452	713	1384
BTG1	1289	1794	4618	3656	2315	3717
CECR5-AS1	0	4	4	1	0	1
GHRLOS	5	7	3	10	3	8
ZNF613	44	45	134	139	87	147
SLC36A4	70	76	228	81	69	93
TTLL1	56	69	148	104	78	137
MRPS21	662	1326	2561	988	463	967
KIF21B	49	70	229	490	202	491
LOC100130093	19	62	154	62	37	85
LPHN3	5	5	10	4	9	11
TMEM123	2337	2301	7724	3612	2337	3352
ZNF383	29	43	96	66	44	68
GH1	0	1	0	0	0	0
TMEM144	87	87	286	133	92	132
MORN3	9	7	20	11	1	14
DQ577440	145	119	327	99	192	138
MIR181C	0	0	0	0	0	0
MAGEA8-AS1	1	0	0	0	1	0
AX746723	1	0	6	4	2	2
GALNTL5	0	0	0	0	0	0
PPP1R14C	47	136	200	113	88	137
APOL4	48	113	203	381	252	414
C9orf9	11	46	88	37	11	37
DQ588388	0	0	0	0	0	0
CHTOP	708	1404	3313	2177	954	2128
LINC00875	19	7	38	24	24	23
MAP7D3	97	152	322	271	109	260
LHPP	79	176	328	107	49	109
METTL21D	48	45	162	129	49	108
ZKSCAN3	50	101	292	178	87	166
BC032899	1	6	10	4	1	2
C1QL2	0	0	0	0	0	1
MIR1180	0	0	0	0	0	0
C1QBP	743	1515	2746	1145	647	1097
DQ575791	0	0	0	0	0	0
RGS6	0	0	0	0	0	0
ATP6V1F	635	1581	3306	1309	649	1475
COL25A1	0	0	0	2	0	0
TCRBV6S6A2T	0	0	0	0	0	0
AWAT1	0	0	0	0	0	0
LOC100127983	82	143	381	115	101	145
C3orf67	37	93	231	101	62	99
SPDL1	324	400	1005	487	249	388
LOC728637	0	0	0	0	0	0
DQ585728	0	0	0	0	0	0
LOC649352	0	0	0	0	0	0
BC034929	0	2	12	2	4	6
AK094325	1	0	2	0	0	2
EPO	0	0	0	0	1	1
OR5F1	0	0	0	0	0	0
HNRNPA0	2233	4932	10222	4555	2288	5125
CDK3	18	50	110	60	50	64
DQ576221	0	0	0	0	0	0
TIGIT	0	0	0	0	0	0
STH	0	0	0	0	0	0
ACAD8	128	242	598	169	103	175
CLDN18	49	117	210	231	108	231
TM9SF4	1177	2031	5146	2314	1122	2447
ABCB7	195	266	706	378	208	409
HIST1H2AC	133	218	484	224	179	265
C4orf26	0	1	12	3	3	14
NXPE1	0	0	0	0	3	0
MIR4520A	0	0	0	0	0	0
GPATCH1	135	188	515	352	196	378
TMEM27	355	434	1260	1194	660	1048
JA783679	0	0	0	0	0	0
MAFA	3	2	4	4	2	8
SLC2A3	0	0	2	4	0	1
LPCAT2	89	111	358	164	129	128
METTL21A	295	564	1324	693	355	768
PIK3AP1	1106	1324	4443	4491	2391	4234
CIRBP-AS1	2	3	10	9	9	6
BC040894	0	0	0	0	0	0
CERS1	15	45	64	28	20	17
FLJ37035	4	14	9	13	6	9
FLJ40292	3	0	1	0	0	0
MIR375	0	0	0	0	0	0
SH2B1	251	551	1355	406	189	407
MAN1B1	639	1413	2924	1077	536	1158
NUDCD3	1042	1861	4364	2025	963	2043
WDR25	44	80	194	172	79	182
IAPP	0	3	7	5	4	1
HV555659	0	0	0	0	0	0
RASSF8-AS1	9	19	45	18	15	20
BC015433	0	0	0	1	4	2
LGR4	567	461	1994	603	372	568
KRT26	0	0	0	0	0	0
DQ576585	0	0	0	0	0	0
ARMC10	505	753	1708	657	375	640
GZMH	0	0	0	0	0	0
AGBL4	0	2	1	1	0	2
PARP12	302	543	1223	3295	1522	3181
WBSCR28	7	5	21	7	3	4
GPR6	0	2	1	0	0	0
MBNL1-AS1	12	17	54	26	13	36
PSD	2	2	11	3	1	1
NSUN6	71	84	241	159	106	170
MARCH10	0	0	3	6	0	1
SEPT14	12	4	26	27	27	33
LOC643355	0	0	0	2	0	0
ADIG	0	0	0	0	0	0
DQ578058	0	0	0	0	0	0
KREMEN1	98	210	387	238	142	255
BC035096	1	1	3	3	5	9
LINC00208	0	0	0	0	0	0
HPR	0	0	0	0	0	0
ANXA8L2	81	139	290	317	141	287
LOC494150	2	1	1	0	0	0
C21orf15	0	0	0	0	0	0
REEP4	393	790	1631	515	295	675
PTER	185	212	750	898	434	808
DKK3	187	392	853	424	265	500
ACTR5	129	253	602	229	122	267
TMED11P	0	0	0	0	0	0
DQ573186	0	0	0	0	0	0
STOX2	18	16	69	43	9	30
GDPGP1	17	55	90	50	27	66
TMBIM1	3646	6977	15827	9379	4967	10153
RUNDC3B	2	5	1	7	2	1
CBR3-AS1	6	16	37	26	10	27
contactin 1	0	0	0	0	0	0
KLHL21	255	452	1099	731	324	807
PDIA5	264	540	1103	595	320	555
MSH5	45	120	307	172	35	75
MIR638	0	0	0	0	0	0
BC053951	0	0	0	0	0	0
TBC1D10B	528	1040	2118	921	491	1102
ZNF788	9	16	48	22	30	44
FKSG46	0	0	0	0	0	0
RSPH10B	1	6	0	4	0	7
TMEM240	2	10	11	5	8	5
LOC400655	0	0	0	2	0	0
AK124272	0	1	0	0	1	3
ZNF274	247	349	879	1006	566	1002
ZNF729	0	0	0	0	0	0
SPIC	0	0	0	0	0	0
ZNF675	42	44	137	164	104	150
TBL1X	277	463	1259	716	348	727
DCAF8	499	842	2136	931	521	892
DRD5	0	0	0	0	1	0
SNORD76	0	0	0	0	0	0
SPATA8	0	0	0	0	0	0
SPDYE6	7	7	33	15	10	13
PSMG2	513	873	1780	861	532	807
ADCYAP1R1	0	1	0	1	0	0
CSF1R	1	1	6	6	6	11
TRPM5	0	0	1	0	0	0
SLFN5	309	351	1376	4908	2291	4552
TOM1	330	666	1428	852	405	958
PSMB11	0	0	0	0	0	0
SETDB2	34	57	169	131	75	91
PRDX2	838	1929	3481	870	438	966
A1CF	0	1	4	5	1	1
AK311573	2	5	15	3	6	4
INPP4B	415	587	1619	1291	779	1331
KIAA1919	35	75	237	110	61	128
FAM170B-AS1	0	0	0	0	0	0
ZNF250	91	142	342	221	125	219
AK128734	14	5	35	23	12	19
SFT2D3	189	333	768	218	157	314
GRM2	1	0	0	0	3	4
LOC158434	0	0	1	0	0	0
ZNF620	45	44	145	151	84	170
PRPF4	257	475	1161	464	252	531
FPGT	116	119	427	196	96	207
ITGA6	4159	5119	15451	7198	4112	6334
GAD1	34	69	137	96	63	108
AX747377	1	2	3	3	0	2
SNORA34	0	0	0	0	0	5
GSTTP2	0	0	0	3	0	0
ZNF75D	93	129	306	122	77	110
ALLC	0	0	0	0	0	0
FAM118A	109	150	376	295	142	280
CLEC4E	6	1	4	35	36	35
DQ595648	0	0	0	0	0	0
SLC9A1	158	313	846	508	273	561
BCO2	44	92	201	67	35	51
BC082237	0	0	0	0	0	0
LOC284344	0	0	0	4	0	3
HIC2	83	126	364	172	85	148
POM121L12	0	0	0	0	0	0
DQ578236	0	0	0	0	0	0
GPR174	0	0	0	0	0	0
PRPF19	1339	2791	5856	2422	1185	2544
GTF2H4	435	975	1977	950	450	952
LOC100128076	0	0	0	0	2	1
BC038368	1	0	0	0	1	0
AK056432	4	2	17	1	1	10
DQ596940	0	0	0	0	0	0
JA783474	0	0	0	0	0	0
LIMD1-AS1	0	0	15	0	0	0
AX747261	5	5	8	5	4	8
C10orf25	1	15	28	20	9	17
CCDC142	84	198	421	274	122	259
ZDHHC18	246	503	1085	478	253	508
SRGN	3	4	8	18	6	20
DPP3	505	977	2203	549	229	538
FRY	21	45	127	58	19	42
KCNJ16	5	1	6	4	0	3
AK023515	3	1	6	1	0	3
ASB16	13	16	72	20	9	22
KRT6A	1	1	5	8	4	8
ABCD4	149	282	600	257	136	330
TRAF2	214	578	1100	853	414	875
MED27	144	258	559	258	101	251
SENP3-EIF4A1	4556	9035	18539	6774	3427	6521
MRS2	590	936	2473	736	441	712
MIR4701	0	0	0	0	0	0
hCG_2032978	6	14	19	64	28	71
