Gene	SAMN14563423_Series7_Calu3_Mock_1	SAMN14563422_Series7_Calu3_Mock_2	SAMN14563421_Series7_Calu3_Mock_3	SAMN14563420_Series7_Calu3_SARS-CoV-2_1	SAMN14563419_Series7_Calu3_SARS-CoV-2_2	SAMN14563418_Series7_Calu3_SARS-CoV-2_3
SLC9C1	0.1	0.03	0.04	0.12	0.14	0.02
FLJ44635	0.0	0.0	0.0	0.0	0.25	0.0
PFN3	0.0	0.0	0.0	0.0	0.0	0.0
C5orf27	0.0	0.39	0.33	0.4	0.28	0.26
GPN3	47.67	36.86	41.95	37.95	37.25	28.06
PPIL1	70.4	55.97	64.09	59.57	55.97	42.1
GLDN	0.0	0.0	0.0	0.04	0.0	0.0
ZNF569	0.93	0.68	0.82	0.64	0.57	0.58
CENPK	18.58	6.8	13.93	11.16	9.79	6.7
E02193	0.0	0.0	0.0	0.72	0.0	1.42
MANBA	12.89	9.5	10.78	10.66	12.25	7.84
MIR631	0.0	0.0	0.0	0.0	0.0	0.0
MIR1206	0.0	0.0	0.0	0.0	0.0	0.0
RAB19	1.68	0.59	1.2	1.51	0.64	1.08
MIR144	0.0	0.0	0.0	0.0	0.0	0.0
TMCO5A	0.0	0.0	0.0	0.0	0.0	0.0
ACAD9	58.13	62.84	62.55	37.25	34.36	30.86
CAMTA2	4.71	3.96	5.39	6.86	7.35	6.9
CPD	23.26	13.46	20.68	26.26	28.31	17.73
SRP72	25.34	18.57	22.11	25.59	22.77	18.56
OR3A2	0.0	0.0	0.0	0.0	0.0	0.0
HSP90AB4P	0.07	0.0	0.16	0.0	0.0	0.07
PLEKHG6	11.5	13.65	14.82	16.89	18.62	16.43
PCSK5	15.2	15.08	20.09	14.15	13.33	10.77
NR1H2	51.58	62.35	62.74	42.88	48.53	41.98
TM4SF18	0.22	0.11	0.27	0.08	0.15	0.1
MAD1L1	31.24	38.49	35.12	24.86	19.07	18.58
SLC25A31	0.0	0.0	0.0	0.0	0.0	0.0
TMEM35	0.0	0.0	0.0	0.05	0.0	0.04
MIR940	0.0	0.0	0.0	0.0	0.0	0.0
ACOT6	0.0	0.11	0.16	0.11	0.0	0.0
PLIN5	1.09	1.75	1.59	0.82	0.45	0.82
DCP1A	4.54	3.38	4.58	14.09	14.66	10.52
AX746723	0.07	0.0	0.11	0.14	0.13	0.06
CADM2-AS2	0.0	0.0	0.0	0.0	0.0	0.0
ZNF473	8.8	7.33	8.3	10.58	10.62	9.29
HOXB5	11.54	15.97	13.3	9.57	12.22	7.8
LOC401177	0.0	0.0	0.0	0.0	0.0	0.0
SMOC2	3.43	3.54	2.74	1.49	2.27	1.59
PSAT1	43.08	28.32	37.74	151.9	128.9	102.29
CAV3	0.0	0.0	0.0	0.0	0.0	0.0
LOC100132111	1.58	0.18	0.87	2.56	1.0	2.64
C6orf7	0.0	0.0	0.0	0.0	0.0	0.0
ADD2	0.0	0.08	0.04	0.21	0.15	0.06
DQ575002	0.0	0.0	0.0	0.0	0.0	0.0
LOC285972	0.12	0.0	0.1	0.03	0.0	0.09
DQ581231	0.0	0.0	0.0	0.0	0.0	0.0
TMEM50A	80.45	65.83	69.04	95.06	94.65	61.7
DQ596686	0.0	0.0	0.0	0.0	0.0	0.0
GBAP1	1.97	2.59	6.99	2.42	2.05	3.13
MIR4703	0.0	0.0	0.0	0.0	0.0	0.0
BC040684	1.0	1.68	1.12	0.17	0.34	0.26
TLK2	4.69	3.89	4.87	10.88	12.09	9.4
AX746654	0.0	0.0	0.02	0.0	0.0	0.0
DYX1C1-CCPG1	0.66	0.0	0.39	0.0	0.0	0.0
ARL2	116.92	137.4	134.54	95.74	71.53	88.36
WBSCR27	19.82	26.05	21.58	27.98	25.12	27.14
TRIML1	0.0	0.0	0.0	0.0	0.0	0.0
IL5	0.0	0.0	0.0	0.0	0.0	0.11
HMGCL	38.76	30.35	30.56	42.56	39.2	31.67
MIR670	0.0	0.0	0.0	0.0	0.0	0.0
FLOT1	322.53	312.41	293.29	292.03	256.18	233.37
MIR4642	0.0	0.0	0.0	0.0	0.0	0.0
ASCL3	0.0	0.0	0.0	0.0	0.0	0.0
LINC00263	7.13	7.61	8.49	10.71	11.69	8.39
DQ599973	0.0	0.0	0.0	0.0	0.0	0.0
AK128252	2.77	2.12	2.72	4.15	4.1	2.82
CACNA2D3	0.0	0.0	0.0	0.0	0.0	0.0
EMR3	0.0	0.0	0.0	0.0	0.0	0.0
RPL39	4085.99	3865.67	3689.69	3950.02	4623.02	3480.82
WAPAL	11.57	6.13	8.94	13.25	13.64	10.25
C10orf107	0.0	0.09	0.0	0.0	0.0	0.0
MRPL34	50.64	54.11	48.61	28.1	26.28	26.34
GBP2	34.76	31.09	29.67	82.68	89.14	68.5
DQ579489	0.0	0.0	0.0	0.0	0.0	0.0
SBF2	9.14	7.13	8.96	16.2	16.55	10.2
CASP9	7.36	6.05	6.99	5.62	5.36	4.61
PFDN6	500.9	486.9	449.9	406.7	347.75	302.15
DQ584633	0.0	0.0	0.0	0.0	0.0	0.0
TRNA_Tyr	0.0	0.0	0.0	0.0	0.0	0.0
DQ577752	0.0	0.0	0.0	0.0	0.0	0.0
LOC729739	0.0	0.42	0.0	0.17	0.0	0.0
CLCA3P	0.24	0.12	0.11	0.2	0.16	0.2
PRPF40B	6.74	6.44	6.91	7.27	5.99	5.72
LOC728323	2.59	1.25	3.15	4.45	9.34	2.8
BC069739	4.75	3.9	4.5	6.14	8.39	3.69
AP3S2	14.9	11.87	14.92	15.72	13.04	11.91
TRIM32	4.0	2.72	4.31	3.61	3.71	3.49
LRRC28	7.98	6.92	9.35	7.11	9.05	7.12
PTPDC1	2.07	1.95	2.27	3.12	3.99	2.43
MYOM3	1.36	1.17	1.21	1.07	0.77	0.82
DYNC1LI2	47.72	31.33	49.1	64.9	54.44	38.49
TMEM86B	3.36	5.51	5.45	5.01	4.62	4.7
SPDYE5	0.0	0.0	0.32	0.85	0.96	0.35
GYLTL1B	20.62	22.94	24.62	15.99	12.93	12.38
SCXB	6.14	4.48	1.9	2.0	1.12	1.24
AGBL5	18.04	14.02	16.72	9.68	9.7	9.51
ZXDA	0.93	0.47	0.89	1.35	1.52	1.49
MAU2	5.48	5.46	6.81	10.33	7.37	7.66
ZNF865	13.15	14.81	14.75	8.47	9.98	10.02
SLC16A14	5.87	5.11	6.15	4.21	3.97	3.97
PLEKHA2	16.85	10.64	16.64	18.66	20.53	13.7
SNAR-A1	0.0	0.0	0.0	0.0	0.0	0.0
DQ599242	1.72	0.86	1.17	1.37	0.78	1.56
SFXN2	6.83	5.55	6.59	2.76	2.88	2.28
JA760615	0.0	0.0	0.2	0.0	0.0	0.0
ZNF492	0.44	0.26	0.18	0.75	0.42	0.4
TBX21	0.0	0.04	0.02	0.0	0.0	0.03
STAG3L1	1.11	2.24	1.47	1.88	1.16	1.51
KIT	0.0	0.02	0.04	0.49	0.14	0.26
DQ571149	0.0	0.0	0.0	0.0	0.0	0.0
BAZ1A	10.54	7.06	8.96	19.84	20.27	14.62
HHLA1	5.04	3.73	3.57	5.84	5.92	3.87
TAF12	39.24	38.95	40.69	42.89	37.28	29.88
C12orf45	36.76	32.12	31.6	34.52	35.74	26.34
TRABD	43.21	55.07	43.69	31.65	31.79	29.51
GRID2	0.0	0.0	0.0	0.0	0.0	0.0
GTF3C4	7.03	4.47	6.97	9.15	9.39	7.95
DQ577610	0.0	0.0	0.0	0.0	0.0	0.0
COLEC11	0.17	0.0	0.12	0.08	0.0	0.0
AK299432	1.14	0.0	1.39	0.56	4.71	0.65
COTL1	365.18	399.67	381.51	384.61	377.32	299.97
FSCN1	10.14	11.31	10.23	12.62	13.26	12.12
OR8B3	0.0	0.0	0.0	0.0	0.0	0.0
ANKRD13D	12.4	14.99	13.75	13.17	15.14	12.92
OGFOD1	29.77	21.09	28.32	35.09	31.52	24.14
KCNG3	0.05	0.05	0.06	0.05	0.05	0.06
PTCD3	24.74	13.83	20.33	18.79	11.99	13.21
CXCL6	120.1	85.09	113.83	177.54	208.52	137.4
APOA1BP	161.51	195.47	181.53	120.2	106.11	96.23
LINC00948	0.0	0.0	0.23	0.0	0.43	0.0
DKFZp451J181	13.78	12.44	11.46	17.3	28.22	12.35
DQ571361	0.0	0.0	0.0	0.0	0.0	0.0
HTATSF1P2	0.21	0.21	0.17	0.26	0.24	0.23
DQ575530	0.0	0.0	0.0	0.0	0.0	0.0
HS3ST6	0.0	0.0	0.2	0.1	0.0	0.0
B3GALT2	0.0	0.0	0.0	0.5	0.0	0.0
FBXO22	21.09	17.75	22.26	18.98	16.3	14.6
IKZF5	2.91	0.71	1.99	3.12	4.08	2.51
WBSCR28	1.87	0.75	1.37	0.92	0.73	0.41
NCOA7	15.44	10.93	14.44	122.71	131.57	91.11
EPDR1	100.49	78.17	95.14	68.09	72.7	54.2
DBC1	0.0	0.0	0.0	0.0	0.0	0.0
CD300A	0.66	0.82	1.2	0.54	1.43	0.67
DEFB115	0.0	0.0	0.0	0.0	0.0	0.0
GPR62	0.0	0.05	0.02	0.0	0.25	0.04
LYSMD2	9.96	7.02	9.36	16.81	15.96	13.82
CPNE4	19.8	11.9	17.23	22.79	21.97	17.24
LOC401324	0.0	0.0	0.0	0.0	0.0	0.0
STOM	17.44	12.05	14.59	21.8	17.46	13.92
HSPC047	0.0	0.38	0.37	0.38	0.0	0.0
BC105019	0.0	0.0	0.0	0.0	0.0	0.0
RNF13	61.63	35.46	49.09	63.6	72.95	46.45
PRAMEF11	0.0	0.0	0.0	0.0	0.0	0.0
RLN3	0.0	0.0	0.0	0.0	0.0	0.0
MIR1278	0.0	0.0	0.0	0.0	0.0	0.0
DENND2D	6.22	6.12	7.47	8.61	7.61	7.18
FBXL5	10.53	7.88	9.48	15.6	17.88	12.5
CAPZA3	0.0	0.1	0.1	0.2	0.0	0.0
AX747250	0.0	0.03	0.0	0.0	0.0	0.02
DAP3	132.54	120.97	130.47	144.87	125.41	108.17
DQ592387	0.0	0.0	0.0	0.0	0.0	0.0
PFKFB4	7.09	6.58	7.39	4.02	10.35	3.79
EU036692	0.0	0.0	0.0	0.0	0.0	0.0
COPG1	157.19	134.34	161.91	138.98	126.38	117.66
LOC100506122	0.0	0.0	0.0	0.0	0.0	0.0
MIR4517	0.0	0.0	0.0	0.0	0.0	0.0
MIR329-1	0.0	0.0	0.0	0.0	0.0	0.0
BC016361	4.48	4.04	3.41	3.02	4.08	2.13
ZNF587B	4.5	3.77	4.72	3.92	3.59	3.29
AX747376	0.0	0.09	0.0	0.0	0.0	0.0
GALK1	40.38	37.14	36.79	19.46	19.31	19.73
CLDN9	9.76	12.11	10.05	9.75	10.12	8.7
CR627148	0.35	0.63	0.48	0.38	0.25	0.46
ZNF501	0.57	0.3	0.16	2.08	0.52	0.86
SNORD29	0.0	0.0	0.0	0.0	0.0	0.0
SOAT2	0.0	0.0	0.02	0.05	0.0	0.04
IL12RB2	0.11	0.0	0.0	0.05	0.57	0.08
NOL7	83.4	102.14	82.59	73.57	87.51	63.63
FAM150B	0.0	0.16	0.24	0.51	0.0	0.49
MIR4317	0.0	0.0	0.0	0.0	0.0	0.0
ZNF783	4.33	4.32	4.94	6.48	7.24	5.2
CELF5	0.0	0.03	0.06	0.11	0.0	0.11
C10orf32-AS3MT	0.0	1.01	1.04	0.97	0.0	0.44
BC013229	3.8	2.59	2.53	8.14	7.17	5.78
MIR4672	0.0	0.0	0.0	0.0	0.0	0.0
CXorf61	39.46	26.24	36.88	38.51	54.12	31.38
SULT1C2P1	0.0	0.0	0.0	0.0	0.0	0.0
FHOD3	3.63	2.54	2.87	5.51	6.57	4.22
CDK2AP1	138.93	124.93	136.7	93.69	113.52	70.27
CDH20	0.0	0.0	0.0	0.0	0.0	0.0
DSTNP2	15.49	12.45	8.51	10.98	16.78	8.35
LOC100505876	23.58	14.35	16.51	18.11	21.27	12.93
IGFALS	0.0	0.14	0.15	0.0	0.27	0.27
PHLPP2	1.89	1.41	2.55	3.66	2.95	2.63
OGFOD3	12.06	11.19	12.65	7.65	7.96	7.23
N4BP2L1	0.4	0.1	0.18	0.36	0.68	0.21
MIR1973	0.0	0.0	0.0	0.0	0.0	0.0
GSPT2	31.77	24.56	29.05	34.31	37.33	26.93
MGC27345	0.86	1.05	0.87	0.79	0.94	0.78
ANO6	13.79	10.85	15.03	19.62	19.45	14.89
LIN28A	0.0	0.03	0.0	0.0	0.13	0.0
DCAF4L2	0.0	0.0	0.0	0.0	0.0	0.0
LOC284632	0.0	0.0	0.0	0.0	0.0	0.0
DQ579704	0.0	0.0	0.0	0.0	0.0	0.0
BC034684	0.0	0.0	0.0	0.0	0.0	0.0
AF086165	0.0	0.0	0.0	0.0	0.0	0.0
ZNF658	1.11	0.85	0.98	1.28	1.48	1.27
FOXO3B	0.51	0.39	0.77	0.59	0.69	0.51
IL36B	0.0	0.0	0.0	0.0	0.0	0.0
DQ596967	0.0	0.0	0.0	0.0	0.0	0.0
DDX10	13.34	7.93	9.69	10.7	10.65	7.6
CYP2A7	0.0	0.0	0.0	0.0	0.0	0.0
MEI1	0.17	0.17	0.12	0.74	0.19	0.12
DDX54	44.92	46.8	47.39	25.44	28.3	22.54
RAP2A	3.74	1.7	3.05	2.57	3.51	2.16
LINC00628	0.83	0.5	0.57	0.33	0.45	0.32
UCHL3	40.1	32.01	33.87	32.41	30.74	24.06
GPX4	399.76	476.26	405.68	408.77	387.6	328.75
BC075797	0.0	0.0	0.06	0.03	0.0	0.03
ASAH2	0.0	0.05	0.23	0.33	0.4	0.1
NMT1	72.57	64.04	79.01	77.21	70.12	62.21
CCL4	0.0	0.0	0.0	0.71	0.0	0.28
SnoZ6	0.0	0.0	0.0	0.0	0.0	0.0
AK098095	5.38	2.82	3.42	6.35	9.54	4.38
CD163L1	3.38	3.21	2.83	3.9	3.25	3.17
ST6GALNAC2	9.1	6.91	9.27	7.13	4.79	7.31
TMEM126A	33.43	21.73	26.28	27.04	20.79	20.72
FAT4	0.91	0.47	0.87	0.9	0.58	0.67
APOA4	0.0	0.0	0.0	0.0	0.0	0.0
IL32	136.0	161.1	152.99	399.24	355.93	295.53
VTRNA2-1	0.0	0.0	34.63	0.0	0.0	113.4
VSTM4	0.23	0.13	0.18	0.19	0.13	0.27
APOBEC3F	6.72	8.5	9.37	23.58	18.03	20.25
DBR1	14.13	10.66	13.73	14.18	14.74	11.37
SNORA70B	0.0	0.0	0.0	0.0	0.0	0.0
DQ574302	0.0	0.0	0.0	0.0	0.0	0.0
CTSL1P8	0.0	0.0	0.22	0.0	0.0	0.0
DLAT	14.96	8.01	12.53	10.43	8.14	7.29
LOC100505478	0.0	0.0	0.0	0.0	0.0	0.0
ZNF26	4.5	3.56	4.24	5.78	6.46	4.12
KCTD9	20.59	11.29	17.74	16.35	21.05	10.85
AK096023	0.0	0.0	0.0	0.0	0.0	0.0
ELL	4.41	4.21	4.87	6.42	5.91	6.02
AX746487	0.0	0.0	0.02	0.0	0.0	0.03
SLC35G5	0.0	0.0	0.0	0.18	0.0	0.14
DQ581988	0.0	0.0	0.0	0.0	0.0	0.0
ZNF527	2.58	1.28	1.69	2.8	3.71	2.6
DQ582272	0.0	0.0	0.0	0.0	0.0	0.0
LINC00551	0.11	0.0	0.0	0.0	0.0	0.0
C2orf72	0.47	0.6	0.74	0.1	0.43	0.18
DQ587117	0.0	0.0	0.0	0.0	0.0	0.0
WNT5A	0.0	0.0	0.05	0.02	0.06	0.03
CLIC5	1.24	0.85	0.96	1.54	1.17	1.1
AGO1	6.65	5.59	6.91	5.57	6.3	4.58
ANAPC10	16.11	9.08	10.47	20.52	15.09	12.11
DQ592096	0.0	0.0	0.0	0.0	0.0	0.0
GAL3ST1	8.44	15.06	14.98	7.6	9.88	7.32
PSMC6	114.94	80.68	92.1	85.78	97.82	66.95
ANKDD1A	0.72	1.17	0.94	1.36	1.06	0.75
ASH1L	6.61	4.85	7.34	9.09	9.23	6.62
PRTFDC1	31.95	20.26	22.14	22.56	22.11	14.61
NPC2	250.98	248.14	229.26	154.34	170.85	139.5
LOC730101	1.86	1.47	1.98	2.59	2.63	2.07
SNORA40	21.36	0.0	0.0	0.0	0.0	0.0
CYB5A	297.35	296.4	300.08	224.98	221.25	183.93
RAI1	8.84	9.19	11.46	12.97	13.53	11.53
SNORD5	0.0	0.0	0.0	0.0	0.0	0.0
BC026354	0.0	0.05	0.0	0.08	0.0	0.16
DALRD3	20.54	23.56	23.83	15.46	18.37	15.35
LINC00595	0.0	0.0	0.0	0.0	0.0	0.0
IGKV3-11	0.0	0.0	0.0	0.0	0.0	0.0
R3HCC1	34.83	33.07	32.67	28.61	26.82	24.1
NTN4	24.53	15.75	22.28	46.05	40.91	31.19
NACAD	0.21	0.43	0.34	0.88	0.98	0.78
BC042465	0.0	0.0	0.0	0.0	0.0	0.06
BTBD1	44.65	23.9	37.4	34.78	40.75	26.61
GQ422373	0.0	0.0	0.0	0.0	0.0	0.0
SLAMF7	2.06	1.08	1.73	2.08	1.26	1.71
TRIM39-RPP21	0.6	0.0	0.0	0.0	0.0	0.0
TEP1	5.76	3.7	4.44	8.42	7.96	6.91
KLF6	34.86	22.78	31.61	191.34	193.56	153.34
TRNA_Asp	0.0	0.0	0.0	0.0	0.0	0.0
KLRF2	0.0	0.0	0.0	0.0	0.0	0.0
PLEKHG1	1.56	1.07	1.52	2.43	2.5	2.11
RABL2B	13.2	12.24	15.54	7.7	8.83	5.76
AK025061	0.09	0.23	0.41	0.83	1.2	0.97
LRRC8D	19.56	12.04	14.03	25.03	23.66	17.11
CT47A11	0.0	0.0	0.0	0.0	0.0	0.0
PIR-FIGF	0.0	0.15	0.28	0.3	0.46	0.28
LINC00254	0.0	0.0	0.0	0.0	0.0	0.0
FLYWCH2	20.95	26.02	21.28	22.54	19.23	16.87
SGIP1	0.0	0.0	0.0	0.03	0.1	0.0
OR2A9P	0.0	1.26	0.0	0.42	0.0	0.06
DQ582460	0.0	0.0	0.0	0.0	0.0	0.0
CORIN	0.17	0.06	0.08	0.11	0.0	0.03
ZNF747	6.55	6.92	6.81	7.43	8.19	5.52
MLKL	16.82	15.64	19.05	35.57	34.3	26.57
NAV2-AS4	0.0	0.0	0.0	0.0	0.0	0.0
USP3-AS1	1.11	0.66	0.62	1.43	1.21	0.52
FBXO32	2.98	2.4	2.8	7.1	7.96	5.24
JMJD4	18.53	19.52	20.28	13.38	13.98	12.95
RSPH1	3.76	3.43	3.27	1.99	2.7	1.85
POLR2G	128.66	137.59	126.61	103.81	90.4	82.03
DQ599760	0.0	0.0	0.0	0.0	0.0	0.0
LOC100506730	0.41	0.73	0.99	0.52	0.82	0.83
NPFFR2	0.97	0.85	1.49	3.3	4.9	3.13
BRI3BP	41.17	33.13	50.35	22.99	22.76	19.24
COX6C	170.79	186.56	176.39	152.5	156.91	123.02
BC043223	0.0	0.0	0.0	0.0	0.0	0.1
SRP19	54.2	45.39	40.87	71.58	66.05	43.66
NNAT	1.03	0.08	0.82	0.87	0.16	0.47
XIAP	8.37	5.74	6.96	12.51	12.41	9.02
JN872556	0.0	0.28	0.0	0.55	0.0	0.21
C17orf100	4.34	3.77	3.72	3.65	2.21	4.03
C21orf91	1.86	0.74	1.31	2.89	2.83	2.33
TMC4	50.55	58.83	59.72	67.26	64.81	58.31
AL389983	3.93	4.01	3.96	4.74	5.29	4.12
DYNC2H1	0.63	0.31	0.52	0.35	0.32	0.19
LOC100505738	4.09	4.1	4.61	4.79	4.6	3.45
AL832252	1.31	1.4	1.33	1.11	2.33	1.21
CHIC1	2.11	1.1	1.34	1.8	1.67	1.23
FUZ	7.84	10.31	8.34	4.85	5.06	6.02
LOC100133161	1.25	2.85	3.02	3.7	3.91	3.5
WBP11	58.29	48.3	54.91	52.98	48.45	41.08
TMEM211	0.0	0.0	0.0	0.25	0.0	0.0
SNX5	35.94	25.7	33.38	31.95	32.56	22.85
FAM95B1	0.76	1.33	1.28	1.14	1.68	0.85
AGTR2	0.07	0.03	0.05	0.07	0.0	0.0
TULP2	0.0	0.0	0.0	0.0	0.0	0.0
CASP5	0.0	0.0	0.0	0.12	0.0	0.0
SLC46A2	0.0	0.0	0.0	0.04	0.0	0.0
GABRG3	0.0	0.0	0.0	0.0	0.0	0.0
DQ577420	0.0	0.0	0.0	0.31	0.0	0.0
BC035889	0.57	0.85	0.78	0.55	1.19	0.52
CRY2	3.66	3.4	4.17	6.11	6.43	4.79
LOXL4	4.71	4.33	3.88	5.33	5.55	5.09
MIR711	0.0	0.0	0.0	0.0	0.0	0.0
C14orf159	13.1	10.8	13.13	13.52	11.82	11.52
SERPINE3	0.0	0.0	0.04	0.0	0.0	0.0
ZEB1-AS1	0.83	0.82	1.47	1.56	1.24	0.6
FXR1	60.49	39.9	49.37	66.0	74.61	50.23
MIR642A	0.0	0.0	0.0	0.0	0.0	0.0
C1QL4	0.4	0.25	0.32	0.24	0.18	0.23
LILRB4	0.0	0.0	0.02	0.0	0.18	0.0
RABIF	9.47	9.11	9.18	9.7	9.48	7.1
DQ587495	0.0	0.0	0.0	0.0	0.0	0.0
OR6A2	0.0	0.0	0.0	0.0	0.0	0.0
ZBED5-AS1	9.85	11.48	10.68	8.78	11.39	8.28
GNE	9.96	6.91	9.24	14.03	13.38	10.44
RPL26L1	106.82	92.44	97.3	83.9	89.46	64.27
AKR1B10	31.96	33.32	32.52	35.06	30.47	24.07
MIR501	0.0	0.0	0.0	0.0	0.0	0.0
MRPL3	223.65	170.21	196.41	113.93	108.27	79.12
LOC339535	1.52	1.65	2.42	2.43	2.5	1.42
TMEM164	16.16	14.04	16.6	11.45	12.13	11.07
HDAC9	22.87	9.47	20.37	99.81	86.89	72.82
KCNMB4	10.27	8.71	8.57	3.26	4.52	3.69
EF070117	0.0	0.0	0.0	0.0	0.0	0.0
DQ580013	0.0	0.0	0.0	0.0	0.0	0.0
DQ582610	0.0	0.0	0.0	0.0	0.0	0.0
C12orf57	168.06	190.01	196.87	96.52	110.95	87.5
IFI27	1272.07	1176.36	1485.97	2550.75	2394.6	1985.88
AV8S2	0.0	0.0	0.27	0.0	0.0	0.0
SULT6B1	0.0	0.0	0.0	0.0	0.0	0.0
HPSE2	0.0	0.0	0.0	0.02	0.04	0.02
OR2K2	0.0	0.0	0.0	0.0	0.0	0.0
CTAGE10P	0.0	0.01	0.07	0.0	0.06	0.05
WDR45	34.87	37.33	35.16	49.83	46.41	43.16
DKFZp434P0216	0.43	0.14	0.68	0.61	0.46	0.72
MED28	24.93	23.05	27.16	26.07	23.45	19.83
PPP1CA	224.16	239.06	247.98	149.47	133.79	128.12
C16orf89	0.11	0.0	0.03	0.0	0.49	0.0
HARBI1	6.25	4.28	5.88	8.23	9.07	6.51
AK054905	0.0	0.0	0.0	0.0	0.0	0.0
CPSF3	44.55	41.78	44.77	45.2	38.79	31.43
DQ596112	0.0	0.0	0.0	0.0	0.0	0.0
GAGE2A	0.0	0.0	0.0	0.0	0.0	0.0
AK311558	0.0	0.0	0.0	0.0	0.0	0.0
ACTA2	1.31	1.59	1.76	2.9	3.1	2.54
CD3EAP	8.57	7.54	8.52	10.23	7.09	6.49
MPG	76.78	91.0	84.52	50.0	56.44	48.98
CHAD	0.74	0.25	0.95	0.42	1.23	0.85
PRAMEF22	0.0	0.0	0.0	0.0	0.0	0.0
EPHX1	56.47	58.67	62.11	41.33	37.38	33.75
YOD1	9.78	3.83	8.19	15.51	19.99	11.76
DNAH14	13.87	11.26	14.1	22.43	23.24	14.19
KIF7	0.8	0.76	0.9	1.38	0.84	0.81
LOC100507156	0.0	0.0	0.07	0.2	0.21	0.07
LOC100129924	0.23	0.11	0.44	0.22	1.03	0.17
SPIB	0.25	0.48	0.17	0.67	0.25	0.44
LGALS2	1.96	3.42	3.46	2.16	2.24	2.05
RCL1	10.43	11.23	10.29	12.46	9.34	10.33
USP47	18.87	14.55	17.7	22.38	24.38	20.67
TTC8	5.97	6.16	6.95	5.03	5.08	4.01
EML1	2.23	1.42	2.29	1.78	0.93	1.08
DMRT3	0.0	0.0	0.0	0.0	0.0	0.0
IBA57	2.16	1.36	2.2	2.27	2.19	2.02
KLHL10	0.11	0.0	0.06	0.12	0.12	0.0
AK000451	0.22	0.0	0.62	0.42	0.0	0.29
SPESP1	0.0	0.0	0.0	0.0	0.0	0.0
AFF3	0.02	0.0	0.01	0.0	0.0	0.03
PIFO	0.26	0.27	0.39	0.33	0.18	0.28
MTMR3	7.31	6.2	8.44	12.49	10.82	11.18
PSMB2	98.76	98.95	100.46	83.42	78.64	64.04
MGAT4A	4.11	3.25	3.8	7.37	8.07	4.92
SMIM19	46.08	39.14	41.25	38.67	44.45	28.73
VENTXP1	0.0	0.0	0.0	0.0	0.0	0.0
POMZP3	8.79	7.89	7.73	6.06	6.02	6.34
KIDINS220	15.01	9.1	14.52	14.02	14.62	11.75
PPP4R2	27.73	12.93	22.06	54.11	51.54	39.29
BC034788	0.0	0.0	0.0	0.0	0.0	0.0
CHAMP1	2.09	1.87	3.03	2.99	3.19	1.5
CCDC71L	9.62	7.91	8.27	11.3	12.24	10.36
CNTFR	0.0	0.0	0.05	0.0	0.0	0.0
LANCL2	6.94	5.25	5.59	3.42	3.56	3.27
EAF1	9.25	6.47	9.59	16.71	15.35	11.73
HKR1	11.09	10.87	10.98	17.05	19.72	12.88
DCLK1	0.06	0.03	0.06	0.02	0.03	0.06
ROM1	1.66	2.31	1.69	1.52	1.6	1.47
MIR766	0.0	0.0	0.0	0.0	0.0	0.0
SENP8	5.24	2.66	3.62	7.66	5.57	7.74
ZNF571-AS1	0.0	0.04	0.04	0.08	0.3	0.06
DQ576627	0.0	0.0	0.0	0.0	0.0	0.0
C2orf53	0.0	0.0	0.0	0.0	0.0	0.0
AK125701	2.75	2.24	2.24	3.57	3.06	2.61
PPIL6	2.05	1.56	2.08	1.08	0.25	1.27
CYB561A3	20.64	21.87	22.57	10.37	9.31	9.2
PLA2G2F	0.0	0.0	0.0	0.0	0.0	0.03
CLDN4	305.7	372.69	372.55	470.1	435.63	444.89
BHLHA9	0.0	0.0	0.0	0.0	0.0	0.0
Mir_1827	0.0	0.0	0.0	0.0	0.0	0.0
DQ586551	0.0	0.0	0.0	0.0	0.0	0.0
ANKIB1	10.71	5.82	8.61	17.0	20.16	11.08
GNG12	55.28	26.38	46.86	39.65	43.9	28.39
MAPT-AS1	0.0	0.0	0.0	0.0	0.0	0.0
MIR708	0.0	0.0	0.0	0.0	0.0	0.0
NCOR1	17.27	6.97	14.04	13.58	15.14	10.56
DQ582375	0.0	0.0	0.0	0.0	0.0	0.0
KRTAP9-7	0.0	0.0	0.0	0.0	0.0	0.2
SLC25A29	27.23	32.44	33.23	21.18	22.61	22.31
LOC643770	0.0	0.06	0.04	0.37	0.23	0.3
AK057317	0.0	0.0	0.0	0.0	0.0	0.0
ARMCX2	0.0	0.0	0.0	0.0	0.0	0.0
C5orf28	6.66	3.85	5.91	11.74	9.02	6.68
AURKA	59.98	45.96	54.52	27.98	26.03	21.02
FBXO40	0.0	0.0	0.0	0.0	0.0	0.0
KLRK1	0.27	0.13	0.0	0.13	0.36	0.0
CDKL3	2.55	1.39	1.31	2.23	2.83	1.91
PI3	84.06	105.63	97.35	123.99	114.3	114.18
GAP43	0.1	0.0	0.0	0.12	0.0	0.0
GCFC2	8.57	6.1	7.27	5.18	7.04	4.71
INHBE	0.17	0.04	0.1	3.69	2.35	3.16
C12orf23	24.65	11.52	16.6	21.24	25.33	14.96
KCNU1	0.0	0.0	0.0	0.0	0.0	0.0
BC021024	5.36	3.95	6.47	5.07	12.56	2.53
C16orf97	0.0	0.0	0.0	0.0	0.0	0.0
AK302306	0.0	0.0	0.0	0.0	0.0	0.0
NR1H3	6.07	7.85	7.84	9.51	7.5	6.98
