gene	p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	Cell_Identity
NEDD4L	4e-08	-0.33537330600000004	0.011	0.215	0.001056358	Smooth_Muscle_Cells	Mesenchyme
C4BPA	2.07e-07	-0.336089061	0.011	0.138	0.005456376	Smooth_Muscle_Cells	Mesenchyme
ATP5E	1.65e-15	-0.33686288	0.979	0.979	4.35e-11	Smooth_Muscle_Cells	Mesenchyme
SLC44A4	0.978662469	-0.33693990100000004	0.0	0.111	1.0	Smooth_Muscle_Cells	Mesenchyme
SDPR	0.000157746	-0.337328061	0.117	0.157	1.0	Smooth_Muscle_Cells	Mesenchyme
JAML	3.12e-07	-0.337417854	0.005	0.245	0.008234824	Smooth_Muscle_Cells	Mesenchyme
RPS23	6.54e-14	-0.33802709200000003	0.989	0.994	1.7300000000000004e-09	Smooth_Muscle_Cells	Mesenchyme
TMC5	0.978654579	-0.338889926	0.0	0.14300000000000002	1.0	Smooth_Muscle_Cells	Mesenchyme
ABCG1	9.16e-11	-0.33928604700000004	0.053	0.266	2.42e-06	Smooth_Muscle_Cells	Mesenchyme
ARHGDIB	3.49e-07	-0.33978336600000003	0.7070000000000001	0.6859999999999999	0.009196905	Smooth_Muscle_Cells	Mesenchyme
AHR	1.8e-11	-0.340457753	0.037000000000000005	0.299	4.75e-07	Smooth_Muscle_Cells	Mesenchyme
RPS6	1.19e-12	-0.341420895	0.989	0.989	3.13e-08	Smooth_Muscle_Cells	Mesenchyme
IFNGR2	3.05e-12	-0.34221265	0.09	0.3670000000000001	8.03e-08	Smooth_Muscle_Cells	Mesenchyme
ARL6IP1	1.09e-09	-0.342250903	0.394	0.5820000000000001	2.88e-05	Smooth_Muscle_Cells	Mesenchyme
ABCA3	1.31e-07	-0.342530128	0.011	0.147	0.003458111	Smooth_Muscle_Cells	Mesenchyme
EFNA1	1.14e-08	-0.342537417	0.016	0.194	0.000301527	Smooth_Muscle_Cells	Mesenchyme
PSMB10	1.41e-11	-0.34343427200000004	0.154	0.4370000000000001	3.720000000000001e-07	Smooth_Muscle_Cells	Mesenchyme
FERMT3	7.570000000000001e-11	-0.34368969	0.027000000000000003	0.298	2e-06	Smooth_Muscle_Cells	Mesenchyme
RPL30	2.05e-13	-0.34370416	0.989	0.996	5.41e-09	Smooth_Muscle_Cells	Mesenchyme
LEPROTL1	1.13e-11	-0.345220642	0.138	0.426	2.98e-07	Smooth_Muscle_Cells	Mesenchyme
MT-CO2	1.35e-11	-0.34531555700000005	0.989	0.996	3.56e-07	Smooth_Muscle_Cells	Mesenchyme
TNFRSF1B	3.72e-10	-0.345540626	0.027000000000000003	0.223	9.81e-06	Smooth_Muscle_Cells	Mesenchyme
AGPAT2	1.08e-11	-0.346737479	0.16	0.413	2.84e-07	Smooth_Muscle_Cells	Mesenchyme
SPN	3.04e-09	-0.34681564	0.011	0.258	8.02e-05	Smooth_Muscle_Cells	Mesenchyme
B3GNT5	2.79e-07	-0.347179477	0.005	0.233	0.007360128	Smooth_Muscle_Cells	Mesenchyme
ALDH3B1	1.22e-09	-0.34735507200000004	0.037000000000000005	0.208	3.2200000000000003e-05	Smooth_Muscle_Cells	Mesenchyme
DUOX1	4.33e-07	-0.347446191	0.005	0.18	0.011432578	Smooth_Muscle_Cells	Mesenchyme
TRIM22	2.96e-12	-0.348177969	0.048	0.329	7.809999999999999e-08	Smooth_Muscle_Cells	Mesenchyme
PTP4A1	4.62e-11	-0.348210944	0.165	0.399	1.22e-06	Smooth_Muscle_Cells	Mesenchyme
FGGY	1.25e-09	-0.35030797	0.027000000000000003	0.207	3.3e-05	Smooth_Muscle_Cells	Mesenchyme
SDR16C5	0.978608951	-0.350354145	0.0	0.156	1.0	Smooth_Muscle_Cells	Mesenchyme
RPS4X	7.77e-12	-0.350402488	0.995	0.992	2.05e-07	Smooth_Muscle_Cells	Mesenchyme
LYAR	3.3e-11	-0.350673269	0.064	0.284	8.7e-07	Smooth_Muscle_Cells	Mesenchyme
C9orf16	7.349999999999999e-12	-0.351130233	0.34600000000000003	0.594	1.94e-07	Smooth_Muscle_Cells	Mesenchyme
MRPL14	1.65e-11	-0.351634286	0.149	0.413	4.36e-07	Smooth_Muscle_Cells	Mesenchyme
PSME2	3.88e-10	-0.35240921299999994	0.388	0.5579999999999999	1.02e-05	Smooth_Muscle_Cells	Mesenchyme
CREG1	1.74e-11	-0.353029077	0.181	0.471	4.59e-07	Smooth_Muscle_Cells	Mesenchyme
NR4A2	2.65e-06	-0.353834782	0.17	0.33	0.069885792	Smooth_Muscle_Cells	Mesenchyme
GSTK1	1.43e-12	-0.35407794600000003	0.282	0.611	3.78e-08	Smooth_Muscle_Cells	Mesenchyme
PLXDC2	1.35e-10	-0.35464170700000003	0.096	0.343	3.56e-06	Smooth_Muscle_Cells	Mesenchyme
ABHD5	3.07e-10	-0.35564069299999995	0.106	0.32	8.09e-06	Smooth_Muscle_Cells	Mesenchyme
GPCPD1	1.32e-10	-0.355708498	0.112	0.34600000000000003	3.49e-06	Smooth_Muscle_Cells	Mesenchyme
MFSD2A	0.978587181	-0.355937134	0.0	0.155	1.0	Smooth_Muscle_Cells	Mesenchyme
HCK	1.29e-08	-0.356407136	0.011	0.265	0.000340981	Smooth_Muscle_Cells	Mesenchyme
RBM47	1.25e-09	-0.356451525	0.011	0.311	3.2899999999999987e-05	Smooth_Muscle_Cells	Mesenchyme
MBP	3.72e-12	-0.356498656	0.053	0.317	9.82e-08	Smooth_Muscle_Cells	Mesenchyme
H2AFY	1.02e-10	-0.356792237	0.5	0.623	2.69e-06	Smooth_Muscle_Cells	Mesenchyme
GPR183	1.15e-08	-0.357123994	0.021	0.161	0.000302043	Smooth_Muscle_Cells	Mesenchyme
MCL1	3.56e-10	-0.357450558	0.67	0.6970000000000001	9.39e-06	Smooth_Muscle_Cells	Mesenchyme
RPS14	3.17e-15	-0.359135765	0.995	0.994	8.35e-11	Smooth_Muscle_Cells	Mesenchyme
RAB31	2.07e-10	-0.360434613	0.154	0.409	5.46e-06	Smooth_Muscle_Cells	Mesenchyme
FPR2	8.160000000000001e-10	-0.360456615	0.021	0.211	2.15e-05	Smooth_Muscle_Cells	Mesenchyme
GNAI2	4.18e-12	-0.360839164	0.17600000000000002	0.441	1.1e-07	Smooth_Muscle_Cells	Mesenchyme
ETS2	3.35e-09	-0.361613404	0.271	0.503	8.82e-05	Smooth_Muscle_Cells	Mesenchyme
IER3	1.59e-07	-0.362461581	0.106	0.269	0.00418085	Smooth_Muscle_Cells	Mesenchyme
TAGAP	0.978561332	-0.362662198	0.0	0.182	1.0	Smooth_Muscle_Cells	Mesenchyme
THEMIS2	8.86e-09	-0.363002054	0.011	0.28800000000000003	0.000233774	Smooth_Muscle_Cells	Mesenchyme
GK	2.52e-11	-0.363658418	0.053	0.28	6.64e-07	Smooth_Muscle_Cells	Mesenchyme
RGS1	3.26e-08	-0.364252011	0.016	0.136	0.000859517	Smooth_Muscle_Cells	Mesenchyme
RPL26	4.74e-14	-0.364284929	0.984	0.99	1.25e-09	Smooth_Muscle_Cells	Mesenchyme
RPS18	4.970000000000001e-13	-0.3646638720000001	0.984	0.991	1.31e-08	Smooth_Muscle_Cells	Mesenchyme
CMTM7	1.44e-10	-0.367663453	0.021	0.333	3.79e-06	Smooth_Muscle_Cells	Mesenchyme
MT-CO1	1.47e-14	-0.367700132	0.989	0.995	3.87e-10	Smooth_Muscle_Cells	Mesenchyme
INSIG1	4.15e-10	-0.368336017	0.08	0.265	1.1e-05	Smooth_Muscle_Cells	Mesenchyme
SDC4	9.09e-08	-0.369586593	0.17	0.314	0.002398816	Smooth_Muscle_Cells	Mesenchyme
ID2	2.52e-10	-0.371115977	0.138	0.3670000000000001	6.65e-06	Smooth_Muscle_Cells	Mesenchyme
APBB1IP	0.978528968	-0.371230249	0.0	0.28300000000000003	1.0	Smooth_Muscle_Cells	Mesenchyme
FAM96A	5.48e-14	-0.37142885	0.133	0.458	1.45e-09	Smooth_Muscle_Cells	Mesenchyme
GIMAP7	1.0300000000000002e-09	-0.372585481	0.027000000000000003	0.194	2.71e-05	Smooth_Muscle_Cells	Mesenchyme
RPL12	1.24e-15	-0.374037573	0.984	0.991	3.27e-11	Smooth_Muscle_Cells	Mesenchyme
FGL2	1.08e-08	-0.374764603	0.016	0.168	0.000284768	Smooth_Muscle_Cells	Mesenchyme
PABPC1	8.75e-16	-0.374827255	0.91	0.958	2.31e-11	Smooth_Muscle_Cells	Mesenchyme
DRAM1	2.17e-11	-0.374864745	0.043	0.257	5.72e-07	Smooth_Muscle_Cells	Mesenchyme
IRF1	2.3700000000000003e-11	-0.376490521	0.069	0.318	6.25e-07	Smooth_Muscle_Cells	Mesenchyme
WAS	1.05e-07	-0.376574677	0.005	0.289	0.002773472	Smooth_Muscle_Cells	Mesenchyme
PSAP	1.99e-07	-0.376801236	0.957	0.8859999999999999	0.005261189	Smooth_Muscle_Cells	Mesenchyme
AK1	2.25e-06	-0.376954883	0.197	0.265	0.059389812	Smooth_Muscle_Cells	Mesenchyme
RPL13	9.51e-17	-0.377355019	0.989	0.998	2.51e-12	Smooth_Muscle_Cells	Mesenchyme
MGAT1	7.65e-12	-0.3787600270000001	0.202	0.479	2.02e-07	Smooth_Muscle_Cells	Mesenchyme
LDLR	1.4300000000000002e-09	-0.378856525	0.016	0.198	3.78e-05	Smooth_Muscle_Cells	Mesenchyme
ICAM2	8.35e-11	-0.378903167	0.048	0.251	2.2e-06	Smooth_Muscle_Cells	Mesenchyme
ISG20	6.83e-11	-0.379302075	0.043	0.237	1.8000000000000001e-06	Smooth_Muscle_Cells	Mesenchyme
PLAC8	0.978496925	-0.379877724	0.0	0.18	1.0	Smooth_Muscle_Cells	Mesenchyme
FOSB	4.07e-05	-0.381805927	0.213	0.383	1.0	Smooth_Muscle_Cells	Mesenchyme
CTSW	5.81e-07	-0.383029366	0.005	0.129	0.015323768	Smooth_Muscle_Cells	Mesenchyme
SLC16A3	1.26e-11	-0.3831536370000001	0.032	0.308	3.32e-07	Smooth_Muscle_Cells	Mesenchyme
UBE2L6	1.04e-13	-0.383185674	0.117	0.416	2.74e-09	Smooth_Muscle_Cells	Mesenchyme
HYAL2	2.45e-05	-0.383970474	0.112	0.165	0.646381007	Smooth_Muscle_Cells	Mesenchyme
IDH1	6.96e-12	-0.384385614	0.032	0.338	1.84e-07	Smooth_Muscle_Cells	Mesenchyme
RPSA	1.54e-14	-0.384429477	0.984	0.976	4.06e-10	Smooth_Muscle_Cells	Mesenchyme
AKR1A1	1.29e-14	-0.384859898	0.14400000000000002	0.481	3.4e-10	Smooth_Muscle_Cells	Mesenchyme
LY6E	1.34e-09	-0.384871854	0.6970000000000001	0.6890000000000001	3.52e-05	Smooth_Muscle_Cells	Mesenchyme
CD36	2.1e-10	-0.385017781	0.016	0.211	5.54e-06	Smooth_Muscle_Cells	Mesenchyme
ATP6V1F	6.8400000000000016e-12	-0.3855502320000001	0.75	0.76	1.8e-07	Smooth_Muscle_Cells	Mesenchyme
LYN	4.56e-12	-0.385552908	0.021	0.32	1.2e-07	Smooth_Muscle_Cells	Mesenchyme
AKR1C2	5.489999999999999e-09	-0.385985458	0.027000000000000003	0.157	0.000144915	Smooth_Muscle_Cells	Mesenchyme
RPL34	1.2e-17	-0.389852255	0.984	0.993	3.17e-13	Smooth_Muscle_Cells	Mesenchyme
LY96	8.990000000000001e-12	-0.390024942	0.027000000000000003	0.308	2.37e-07	Smooth_Muscle_Cells	Mesenchyme
RPL22L1	4.4e-14	-0.390407313	0.149	0.467	1.16e-09	Smooth_Muscle_Cells	Mesenchyme
CKS2	1.1e-07	-0.3913799220000001	0.005	0.235	0.0029100370000000003	Smooth_Muscle_Cells	Mesenchyme
RPLP1	8.759999999999998e-19	-0.39231504	0.995	0.999	2.31e-14	Smooth_Muscle_Cells	Mesenchyme
PLEK	7.6e-09	-0.394348688	0.011	0.23	0.000200428	Smooth_Muscle_Cells	Mesenchyme
IFNGR1	5.96e-10	-0.3966185270000001	0.271	0.518	1.57e-05	Smooth_Muscle_Cells	Mesenchyme
PTPRE	8.529999999999999e-08	-0.397021267	0.011	0.253	0.002249875	Smooth_Muscle_Cells	Mesenchyme
PHACTR1	0.97843462	-0.397165246	0.0	0.254	1.0	Smooth_Muscle_Cells	Mesenchyme
DNAJA1	5.32e-10	-0.397460016	0.463	0.5489999999999999	1.4e-05	Smooth_Muscle_Cells	Mesenchyme
CLIC3	2.11e-08	-0.397844164	0.011	0.171	0.00055781	Smooth_Muscle_Cells	Mesenchyme
PSMB8	3.05e-14	-0.398329022	0.138	0.466	8.029999999999999e-10	Smooth_Muscle_Cells	Mesenchyme
IL3RA	7.56e-10	-0.39869961	0.011	0.247	1.99e-05	Smooth_Muscle_Cells	Mesenchyme
IL1R2	1.5e-05	-0.399439213	0.005	0.117	0.395416844	Smooth_Muscle_Cells	Mesenchyme
SLCO2B1	7.94e-12	-0.399719434	0.027000000000000003	0.273	2.09e-07	Smooth_Muscle_Cells	Mesenchyme
RP11-598F7.3	3.6000000000000005e-10	-0.399968967	0.016	0.201	9.49e-06	Smooth_Muscle_Cells	Mesenchyme
LMO7	5.74e-10	-0.400521051	0.021	0.208	1.51e-05	Smooth_Muscle_Cells	Mesenchyme
ALDH2	9.01e-11	-0.401267961	0.7979999999999999	0.741	2.38e-06	Smooth_Muscle_Cells	Mesenchyme
PLA2G16	1.98e-14	-0.401298084	0.133	0.441	5.23e-10	Smooth_Muscle_Cells	Mesenchyme
DAB2	3.59e-13	-0.401819506	0.07400000000000001	0.342	9.47e-09	Smooth_Muscle_Cells	Mesenchyme
AC090498.1	4.75e-19	-0.402877473	0.995	0.998	1.25e-14	Smooth_Muscle_Cells	Mesenchyme
RPLP2	9.17e-21	-0.407091623	0.979	0.992	2.42e-16	Smooth_Muscle_Cells	Mesenchyme
EPCAM	8.74e-08	-0.408878366	0.005	0.215	0.002306269	Smooth_Muscle_Cells	Mesenchyme
KCTD12	3.5600000000000005e-13	-0.408880266	0.053	0.325	9.39e-09	Smooth_Muscle_Cells	Mesenchyme
RHOG	3.76e-14	-0.409621643	0.17600000000000002	0.476	9.92e-10	Smooth_Muscle_Cells	Mesenchyme
SELPLG	2.1e-09	-0.41238904	0.011	0.303	5.53e-05	Smooth_Muscle_Cells	Mesenchyme
LCP2	9.36e-12	-0.413201151	0.016	0.314	2.47e-07	Smooth_Muscle_Cells	Mesenchyme
CARD16	2.24e-13	-0.413626156	0.027000000000000003	0.339	5.91e-09	Smooth_Muscle_Cells	Mesenchyme
CSF3R	5.74e-06	-0.414489752	0.005	0.241	0.151488703	Smooth_Muscle_Cells	Mesenchyme
SERPINB1	2.83e-14	-0.416502112	0.42	0.618	7.47e-10	Smooth_Muscle_Cells	Mesenchyme
IL18	4.77e-06	-0.416931144	0.005	0.321	0.125941046	Smooth_Muscle_Cells	Mesenchyme
CECR1	2.95e-11	-0.417757538	0.016	0.318	7.77e-07	Smooth_Muscle_Cells	Mesenchyme
TACC2	7.390000000000001e-09	-0.418266544	0.085	0.2	0.000194823	Smooth_Muscle_Cells	Mesenchyme
MALL	0.978357024	-0.419585862	0.0	0.17600000000000002	1.0	Smooth_Muscle_Cells	Mesenchyme
TPPP3	2.34e-19	-0.419718939	0.191	0.097	6.1799999999999994e-15	Smooth_Muscle_Cells	Mesenchyme
GCA	4.58e-14	-0.419999375	0.112	0.386	1.21e-09	Smooth_Muscle_Cells	Mesenchyme
GIMAP4	9.29e-12	-0.420938073	0.021	0.266	2.45e-07	Smooth_Muscle_Cells	Mesenchyme
CTSZ	7.85e-13	-0.421280775	0.154	0.428	2.07e-08	Smooth_Muscle_Cells	Mesenchyme
GLIPR2	2.52e-13	-0.42205705	0.16	0.421	6.64e-09	Smooth_Muscle_Cells	Mesenchyme
RGS2	9.42e-09	-0.423983251	0.07400000000000001	0.23	0.000248531	Smooth_Muscle_Cells	Mesenchyme
DBI	7.729999999999999e-15	-0.424020343	0.83	0.848	2.04e-10	Smooth_Muscle_Cells	Mesenchyme
RPS13	8.269999999999999e-20	-0.425151038	0.989	0.994	2.18e-15	Smooth_Muscle_Cells	Mesenchyme
HPCAL1	1.04e-13	-0.4256312370000001	0.037000000000000005	0.378	2.74e-09	Smooth_Muscle_Cells	Mesenchyme
TPM3	2.77e-16	-0.426176298	0.617	0.7170000000000001	7.31e-12	Smooth_Muscle_Cells	Mesenchyme
NCF1	0.978330862	-0.427370756	0.0	0.247	1.0	Smooth_Muscle_Cells	Mesenchyme
RPL37	2.4499999999999998e-20	-0.428545302	0.984	0.99	6.46e-16	Smooth_Muscle_Cells	Mesenchyme
EEF1B2	1.97e-19	-0.428567082	0.941	0.954	5.2e-15	Smooth_Muscle_Cells	Mesenchyme
RAB11FIP1	2.72e-14	-0.429672668	0.09	0.384	7.18e-10	Smooth_Muscle_Cells	Mesenchyme
CLDN7	2.09e-10	-0.430206051	0.016	0.272	5.51e-06	Smooth_Muscle_Cells	Mesenchyme
FAM49B	5.79e-15	-0.430289633	0.053	0.384	1.53e-10	Smooth_Muscle_Cells	Mesenchyme
ASAH1	6.24e-15	-0.430740767	0.856	0.847	1.65e-10	Smooth_Muscle_Cells	Mesenchyme
RBP4	2.99e-09	-0.431247443	0.016	0.15	7.879999999999999e-05	Smooth_Muscle_Cells	Mesenchyme
GDF15	1.36e-08	-0.431318905	0.005	0.136	0.000357865	Smooth_Muscle_Cells	Mesenchyme
CLDN3	6.43e-06	-0.4324205820000001	0.005	0.166	0.169672865	Smooth_Muscle_Cells	Mesenchyme
SOD2	4.95e-09	-0.433056525	0.473	0.5489999999999999	0.000130697	Smooth_Muscle_Cells	Mesenchyme
ARL4A	1.93e-14	-0.433435036	0.07400000000000001	0.369	5.08e-10	Smooth_Muscle_Cells	Mesenchyme
PILRA	1.14e-09	-0.435225525	0.011	0.304	3e-05	Smooth_Muscle_Cells	Mesenchyme
CST7	7.98e-08	-0.4355969	0.016	0.105	0.002104178	Smooth_Muscle_Cells	Mesenchyme
ARHGAP18	8.04e-14	-0.437974514	0.117	0.418	2.12e-09	Smooth_Muscle_Cells	Mesenchyme
NKX2-1	0.978291826	-0.439202042	0.0	0.189	1.0	Smooth_Muscle_Cells	Mesenchyme
PLSCR1	1.02e-15	-0.439374259	0.085	0.424	2.7e-11	Smooth_Muscle_Cells	Mesenchyme
TBXAS1	1.1e-12	-0.439772147	0.032	0.317	2.89e-08	Smooth_Muscle_Cells	Mesenchyme
FPR1	2.9500000000000006e-08	-0.441284516	0.005	0.278	0.000779105	Smooth_Muscle_Cells	Mesenchyme
SH3BP5	1.45e-14	-0.441428675	0.053	0.348	3.83e-10	Smooth_Muscle_Cells	Mesenchyme
STMN1	5.170000000000001e-10	-0.442028947	0.181	0.355	1.36e-05	Smooth_Muscle_Cells	Mesenchyme
GMFG	3.31e-14	-0.442313037	0.17600000000000002	0.505	8.73e-10	Smooth_Muscle_Cells	Mesenchyme
MORN2	6.75e-08	-0.442747075	0.053	0.138	0.001779821	Smooth_Muscle_Cells	Mesenchyme
STK17B	1.46e-14	-0.443654311	0.053	0.344	3.84e-10	Smooth_Muscle_Cells	Mesenchyme
ARPC3	1.3000000000000002e-18	-0.445772559	0.926	0.923	3.44e-14	Smooth_Muscle_Cells	Mesenchyme
DHCR24	2.63e-11	-0.446885973	0.021	0.229	6.95e-07	Smooth_Muscle_Cells	Mesenchyme
EREG	6.1e-06	-0.44870394	0.005	0.149	0.160798322	Smooth_Muscle_Cells	Mesenchyme
DOCK8	5.250000000000001e-11	-0.449335605	0.011	0.336	1.38e-06	Smooth_Muscle_Cells	Mesenchyme
MFSD1	3.61e-15	-0.449570577	0.18600000000000005	0.478	9.52e-11	Smooth_Muscle_Cells	Mesenchyme
PPARG	1.19e-10	-0.451458516	0.016	0.266	3.13e-06	Smooth_Muscle_Cells	Mesenchyme
RPL36	2.8699999999999997e-25	-0.45146575	0.984	0.984	7.58e-21	Smooth_Muscle_Cells	Mesenchyme
RNF213	4.55e-15	-0.452043896	0.059	0.366	1.2e-10	Smooth_Muscle_Cells	Mesenchyme
GPRC5A	7.320000000000001e-10	-0.452701656	0.021	0.16	1.93e-05	Smooth_Muscle_Cells	Mesenchyme
MLPH	1.31e-12	-0.45297217	0.016	0.292	3.4500000000000005e-08	Smooth_Muscle_Cells	Mesenchyme
LIMD2	3.29e-10	-0.453675812	0.016	0.21600000000000005	8.67e-06	Smooth_Muscle_Cells	Mesenchyme
LAIR1	5.95e-10	-0.454100633	0.011	0.325	1.57e-05	Smooth_Muscle_Cells	Mesenchyme
TXN	5.41e-15	-0.454414331	0.899	0.901	1.43e-10	Smooth_Muscle_Cells	Mesenchyme
BHLHE40	4.58e-14	-0.454927091	0.059	0.329	1.21e-09	Smooth_Muscle_Cells	Mesenchyme
HEXB	1.83e-13	-0.454974982	0.229	0.489	4.84e-09	Smooth_Muscle_Cells	Mesenchyme
CD3E	0.978228452	-0.458963286	0.0	0.103	1.0	Smooth_Muscle_Cells	Mesenchyme
IL1B	1.74e-07	-0.459171139	0.011	0.129	0.004595053	Smooth_Muscle_Cells	Mesenchyme
PLBD1	8.029999999999999e-12	-0.4610578	0.016	0.306	2.12e-07	Smooth_Muscle_Cells	Mesenchyme
FCGRT	8.100000000000001e-14	-0.461128385	0.6859999999999999	0.706	2.14e-09	Smooth_Muscle_Cells	Mesenchyme
HBEGF	1.6299999999999998e-10	-0.462064826	0.016	0.241	4.2999999999999995e-06	Smooth_Muscle_Cells	Mesenchyme
LINC01272	4.0999999999999996e-14	-0.462283148	0.037000000000000005	0.305	1.0800000000000002e-09	Smooth_Muscle_Cells	Mesenchyme
EML4	1.41e-16	-0.4642878720000001	0.069	0.409	3.72e-12	Smooth_Muscle_Cells	Mesenchyme
RPS3	1.8600000000000004e-20	-0.464618729	0.995	0.993	4.900000000000002e-16	Smooth_Muscle_Cells	Mesenchyme
TPT1	3.46e-22	-0.465140298	0.995	0.998	9.13e-18	Smooth_Muscle_Cells	Mesenchyme
INHBA	5.83e-11	-0.465405185	0.043	0.19	1.54e-06	Smooth_Muscle_Cells	Mesenchyme
ATP1B1	1.37e-14	-0.467263099	0.101	0.386	3.62e-10	Smooth_Muscle_Cells	Mesenchyme
FASN	1.21e-10	-0.469169541	0.043	0.18	3.19e-06	Smooth_Muscle_Cells	Mesenchyme
HLA-DQA2	8.329999999999999e-09	-0.470675721	0.011	0.129	0.000219726	Smooth_Muscle_Cells	Mesenchyme
RNASET2	1.87e-16	-0.470979784	0.09	0.403	4.929999999999999e-12	Smooth_Muscle_Cells	Mesenchyme
RNF130	5.070000000000002e-16	-0.471002506	0.261	0.535	1.34e-11	Smooth_Muscle_Cells	Mesenchyme
DNAJB1	1.7e-06	-0.473138018	0.5	0.528	0.044928286	Smooth_Muscle_Cells	Mesenchyme
TKT	1.8e-17	-0.473308214	0.5479999999999999	0.7240000000000001	4.75e-13	Smooth_Muscle_Cells	Mesenchyme
HERPUD1	1.5e-14	-0.47350577	0.303	0.612	3.97e-10	Smooth_Muscle_Cells	Mesenchyme
THBD	4.74e-12	-0.476524055	0.027000000000000003	0.221	1.25e-07	Smooth_Muscle_Cells	Mesenchyme
RGS10	5.23e-16	-0.4780914570000001	0.059	0.3670000000000001	1.3800000000000003e-11	Smooth_Muscle_Cells	Mesenchyme
LRRK2	8.539999999999999e-12	-0.478591164	0.059	0.228	2.25e-07	Smooth_Muscle_Cells	Mesenchyme
IL2RG	0.978161943	-0.480447692	0.0	0.234	1.0	Smooth_Muscle_Cells	Mesenchyme
LPCAT1	3.33e-12	-0.480953574	0.027000000000000003	0.228	8.779999999999999e-08	Smooth_Muscle_Cells	Mesenchyme
HPGD	2.85e-11	-0.482283156	0.043	0.265	7.520000000000002e-07	Smooth_Muscle_Cells	Mesenchyme
EVL	6.750000000000001e-13	-0.482653144	0.021	0.325	1.78e-08	Smooth_Muscle_Cells	Mesenchyme
CYTIP	3.57e-12	-0.483228574	0.016	0.315	9.41e-08	Smooth_Muscle_Cells	Mesenchyme
RPS21	4.33e-28	-0.484205142	0.968	0.993	1.14e-23	Smooth_Muscle_Cells	Mesenchyme
EGFL7	1.1e-09	-0.485002815	0.027000000000000003	0.147	2.9e-05	Smooth_Muscle_Cells	Mesenchyme
C3	0.978144673	-0.486153198	0.0	0.17	1.0	Smooth_Muscle_Cells	Mesenchyme
UPP1	8.41e-17	-0.487106746	0.085	0.402	2.22e-12	Smooth_Muscle_Cells	Mesenchyme
VAMP8	2.1e-23	-0.489027175	0.7390000000000001	0.868	5.55e-19	Smooth_Muscle_Cells	Mesenchyme
SPINT2	1.07e-14	-0.489317611	0.229	0.435	2.81e-10	Smooth_Muscle_Cells	Mesenchyme
RPS15A	6.88e-23	-0.49017779	0.979	0.993	1.81e-18	Smooth_Muscle_Cells	Mesenchyme
CXCL8	1.53e-09	-0.490407821	0.016	0.153	4.05e-05	Smooth_Muscle_Cells	Mesenchyme
ABRACL	4.58e-18	-0.491060599	0.069	0.439	1.21e-13	Smooth_Muscle_Cells	Mesenchyme
C4orf48	4.14e-18	-0.491125156	0.07400000000000001	0.439	1.09e-13	Smooth_Muscle_Cells	Mesenchyme
AKAP13	2.83e-16	-0.4912075420000001	0.207	0.534	7.460000000000001e-12	Smooth_Muscle_Cells	Mesenchyme
DOK2	1.18e-11	-0.493890123	0.011	0.348	3.12e-07	Smooth_Muscle_Cells	Mesenchyme
RPS26	1.09e-14	-0.493902866	0.984	0.983	2.87e-10	Smooth_Muscle_Cells	Mesenchyme
AKR1C3	3.59e-14	-0.494168785	0.037000000000000005	0.28600000000000003	9.47e-10	Smooth_Muscle_Cells	Mesenchyme
C16orf89	0.978119383	-0.494602417	0.0	0.182	1.0	Smooth_Muscle_Cells	Mesenchyme
BRI3	1.89e-17	-0.494718543	0.399	0.642	5e-13	Smooth_Muscle_Cells	Mesenchyme
SMIM22	0.978118404	-0.494931929	0.0	0.17	1.0	Smooth_Muscle_Cells	Mesenchyme
TYMP	6.829999999999999e-15	-0.496438559	0.293	0.508	1.8000000000000002e-10	Smooth_Muscle_Cells	Mesenchyme
RPS29	1.21e-20	-0.497649506	0.926	0.956	3.19e-16	Smooth_Muscle_Cells	Mesenchyme
REL	5.31e-16	-0.497785708	0.043	0.368	1.4e-11	Smooth_Muscle_Cells	Mesenchyme
SLC39A8	4.220000000000001e-11	-0.497790833	0.021	0.204	1.11e-06	Smooth_Muscle_Cells	Mesenchyme
SERP1	4.13e-27	-0.499900398	0.787	0.918	1.0899999999999999e-22	Smooth_Muscle_Cells	Mesenchyme
CPVL	1.21e-13	-0.50287328	0.027000000000000003	0.313	3.18e-09	Smooth_Muscle_Cells	Mesenchyme
BLVRB	1.4099999999999994e-17	-0.505707747	0.234	0.5720000000000001	3.72e-13	Smooth_Muscle_Cells	Mesenchyme
MSR1	5.71e-15	-0.506620329	0.037000000000000005	0.31	1.51e-10	Smooth_Muscle_Cells	Mesenchyme
EVI2B	1.98e-14	-0.507846514	0.027000000000000003	0.334	5.220000000000001e-10	Smooth_Muscle_Cells	Mesenchyme
LGALS9	3.25e-16	-0.507951839	0.032	0.3720000000000001	8.570000000000001e-12	Smooth_Muscle_Cells	Mesenchyme
FGR	1.54e-15	-0.508408172	0.032	0.362	4.0700000000000006e-11	Smooth_Muscle_Cells	Mesenchyme
AQP1	2.44e-09	-0.511358733	0.069	0.195	6.43e-05	Smooth_Muscle_Cells	Mesenchyme
TMSB4X	6.3e-18	-0.511965871	1.0	0.984	1.66e-13	Smooth_Muscle_Cells	Mesenchyme
IGSF6	2.1e-12	-0.5127376779999999	0.016	0.293	5.54e-08	Smooth_Muscle_Cells	Mesenchyme
APOC4-APOC2	2.81e-07	-0.513354758	0.043	0.113	0.007423552	Smooth_Muscle_Cells	Mesenchyme
