S.No.	cellType	Cell Category	old_symbol	gene	Updated Gene ID	logFC	logDOR	Prop.Exp.in	Prop.Exp.Out	nCells.in	nCells.out
3302	Ciliated	Epithelial	CCDC157	CCDC157	550631	0.33232983	3.348715375	0.364810924	0.019776608	9520	298130
3493	Ciliated	Epithelial	CCDC162P	CCDC162P	221262	0.484161898	2.805970652	0.431512605	0.043870124	9520	298130
2824	Ciliated	Epithelial	CCDC17	CCDC17	149483	0.794070878	5.379223988	0.628781513	0.007748298	9520	298130
3024	Ciliated	Epithelial	CCDC170	CCDC170	80129	1.445528335	4.282121239	0.840021008	0.06760809	9520	298130
3813	Ciliated	Epithelial	CCDC171	CCDC171	203238	0.335954719	1.983182766	0.404096639	0.085365445	9520	298130
2859	Ciliated	Epithelial	CCDC173	CCDC173	129881	1.206559027	5.128017566	0.794642857	0.02241975	9520	298130
10245	Ionocyte	Epithelial	CCDC173	CCDC173	129881	0.306907894	2.122382463	0.28	0.046296627	25	307625
15926	PNEC	Epithelial	CCDC178	CCDC178	374864	0.35257422	2.932573474	0.403225806	0.034949348	62	307588
3295	Ciliated	Epithelial	CCDC181	CCDC181	57821	0.499029783	3.378328129	0.476995798	0.030164693	9520	298130
3974	Ciliated	Epithelial	CCDC186	CCDC186	55088	0.411937509	1.527936405	0.554411765	0.212578405	9520	298130
10701	Ionocyte	Epithelial	CCDC186	CCDC186	55088	0.359680972	1.324462429	0.52	0.22313206	25	307625
15443	Aberrant Basaloid	Epithelial	CCDC186	CCDC186	55088	0.316982231	1.808675506	0.636174636	0.222509433	481	307169
2822	Ciliated	Epithelial	CCDC190	CCDC190	339512	0.679904466	5.396035536	0.477731092	0.004129071	9520	298130
3184	Ciliated	Epithelial	CCDC191	CCDC191	57577	0.635262313	3.764012555	0.568382353	0.029631369	9520	298130
1306	AT2	Epithelial	CCDC200	CCDC200	100874261	0.415018231	0.77726607	0.607169907	0.415336084	3961	303689
4056	Ciliated	Epithelial	CCDC200	CCDC200	100874261	0.666963142	1.332361383	0.723214286	0.408053534	9520	298130
4827	Club	Epithelial	CCDC200	CCDC200	100874261	0.440142486	0.783683851	0.609564877	0.41620261	2551	305099
7541	pDC	Immune_Myeloid	CCDC200	CCDC200	100874261	0.582548101	0.905448936	0.639321075	0.417295719	707	306943
10643	Ionocyte	Epithelial	CCDC200	CCDC200	100874261	0.690523811	1.430512246	0.76	0.417778139	25	307625
16351	PNEC	Epithelial	CCDC200	CCDC200	100874261	0.470505639	1.209745955	0.709677419	0.417747116	62	307588
3200	Ciliated	Epithelial	CCDC24	CCDC24	149473	0.398420643	3.734654265	0.409768908	0.016308322	9520	298130
17617	SMC	Mesenchyme	CCDC3	CCDC3	83643	0.355610789	2.557775	0.259206799	0.026438047	706	306944
21515	VE Peribronchial	Vascular-Endothelial	CCDC3	CCDC3	83643	0.508120752	3.167146608	0.374519231	0.024606473	2080	305570
3522	Ciliated	Epithelial	CCDC30	CCDC30	728621	1.307727117	2.716613327	0.892857143	0.355079999	9520	298130
2936	Ciliated	Epithelial	CCDC33	CCDC33	80125	0.474102547	4.700662971	0.445168067	0.007238453	9520	298130
3137	Ciliated	Epithelial	CCDC39	CCDC39	339829	0.743578085	3.885113656	0.625840336	0.033220407	9520	298130
8021	Fibroblast	Mesenchyme	CCDC39	CCDC39	339829	0.404993543	2.335205945	0.347300868	0.048990003	2649	305001
14198	Myofibroblast	Mesenchyme	CCDC39	CCDC39	339829	0.317390773	2.048691211	0.284901905	0.048860203	3517	304133
3170	Ciliated	Epithelial	CCDC40	CCDC40	55036	0.911558259	3.786424143	0.704726891	0.051336665	9520	298130
7412	pDC	Immune_Myeloid	CCDC50	CCDC50	152137	0.501783213	1.421362792	0.471004243	0.176925357	707	306943
10625	Ionocyte	Epithelial	CCDC50	CCDC50	152137	0.457451844	1.4558851	0.48	0.177576595	25	307625
11350	Lymphatic	Vascular-Endothelial	CCDC50	CCDC50	152137	0.420796902	1.180232112	0.410085633	0.176001807	2102	305548
19510	VE Venous	Vascular-Endothelial	CCDC50	CCDC50	152137	0.472352032	1.345046463	0.452054795	0.17694839	730	306920
20147	VE Capillary B	Vascular-Endothelial	CCDC50	CCDC50	152137	0.303976649	0.735706603	0.309734513	0.177065145	1243	306407
20695	VE Arterial	Vascular-Endothelial	CCDC50	CCDC50	152137	0.355793055	1.046049765	0.379713914	0.177094704	769	306881
21218	VE Capillary A	Vascular-Endothelial	CCDC50	CCDC50	152137	0.450500378	0.919866181	0.350674374	0.177308705	519	307131
21730	VE Peribronchial	Vascular-Endothelial	CCDC50	CCDC50	152137	0.578129755	1.903361001	0.587019231	0.174814282	2080	305570
3704	Ciliated	Epithelial	CCDC57	CCDC57	284001	0.710160526	2.249360706	0.673004202	0.178338309	9520	298130
529	AT1	Epithelial	CCDC6	CCDC6	8030	0.498288511	1.090425255	0.494776828	0.247627994	1053	306597
1536	B	Immune_Lymphoid	CCDC6	CCDC6	8030	0.408279967	0.764703839	0.409753008	0.244226118	7895	299755
4743	Club	Epithelial	CCDC6	CCDC6	8030	0.314646273	1.042733852	0.481379851	0.246526537	2551	305099
5432	cDC1	Immune_Myeloid	CCDC6	CCDC6	8030	0.909120448	2.196537623	0.746690203	0.246632324	1133	306517
6221	DC Mature	Immune_Myeloid	CCDC6	CCDC6	8030	0.433154524	1.233073297	0.530612245	0.247753091	784	306866
10601	Ionocyte	Epithelial	CCDC6	CCDC6	8030	0.404025793	1.496381427	0.6	0.248445347	25	307625
15166	Aberrant Basaloid	Epithelial	CCDC6	CCDC6	8030	0.587887743	2.335482828	0.773388773	0.247651944	481	307169
18209	T	Immune_Lymphoid	CCDC6	CCDC6	8030	0.349037698	0.384435282	0.322071792	0.244409154	16102	291548
18984	T Regulatory	Immune_Lymphoid	CCDC6	CCDC6	8030	0.399381431	0.628737465	0.381830601	0.247836283	1464	306186
2938	Ciliated	Epithelial	CCDC60	CCDC60	160777	0.98210359	4.695730476	0.717857143	0.022708215	9520	298130
3577	Ciliated	Epithelial	CCDC66	CCDC66	285331	0.478191218	2.563443978	0.500840336	0.071750579	9520	298130
19207	VE Venous	Vascular-Endothelial	CCDC68	CCDC68	80323	0.313758794	3.22886583	0.254794521	0.013381337	730	306920
20971	VE Capillary A	Vascular-Endothelial	CCDC68	CCDC68	80323	0.303101984	2.838465535	0.190751445	0.013655411	519	307131
7266	pDC	Immune_Myeloid	CCDC69	CCDC69	26112	0.933933174	2.236656273	0.700141443	0.199401843	707	306943
13296	cMonocyte	Immune_Myeloid	CCDC69	CCDC69	26112	0.449699493	1.113515398	0.415352804	0.189174944	15476	292174
13598	ncMonocyte	Immune_Myeloid	CCDC69	CCDC69	26112	0.461794302	1.243461354	0.457603364	0.195693213	5708	301942
2818	Ciliated	Epithelial	CCDC74A	CCDC74A	90557	0.495624264	5.432893285	0.455147059	0.003635998	9520	298130
2759	Ciliated	Epithelial	CCDC78	CCDC78	124093	1.129764979	5.944124161	0.744327731	0.007570523	9520	298130
3485	Ciliated	Epithelial	CCDC80	CCDC80	151887	0.433424142	2.828070885	0.395378151	0.037225371	9520	298130
7732	Fibroblast	Mesenchyme	CCDC80	CCDC80	151887	2.888701755	5.891533807	0.938844847	0.040573637	2649	305001
11096	Lymphatic	Vascular-Endothelial	CCDC80	CCDC80	151887	0.538477535	2.654286624	0.405803996	0.04584877	2102	305548
12588	Mesothelial	Epithelial	CCDC80	CCDC80	151887	1.66747058	4.354874678	0.793650794	0.046931937	567	307083
13935	Myofibroblast	Mesenchyme	CCDC80	CCDC80	151887	1.244520813	3.847126902	0.667898777	0.041143184	3517	304133
3071	Ciliated	Epithelial	CCDC81	CCDC81	60494	0.416009353	4.070494679	0.371218487	0.009975514	9520	298130
8249	Fibroblast	Mesenchyme	CCDC85B	CCDC85B	11007	0.357975456	1.079562501	0.505473764	0.257753253	2649	305001
19599	VE Venous	Vascular-Endothelial	CCDC85B	CCDC85B	11007	0.441162615	0.950646857	0.475342466	0.259373778	730	306920
20139	VE Capillary B	Vascular-Endothelial	CCDC85B	CCDC85B	11007	0.519095299	0.786667172	0.434432824	0.259178152	1243	306407
20718	VE Arterial	Vascular-Endothelial	CCDC85B	CCDC85B	11007	0.470514388	0.93228821	0.470741222	0.259357862	769	306881
21214	VE Capillary A	Vascular-Endothelial	CCDC85B	CCDC85B	11007	0.619351106	0.94449806	0.473988439	0.259524437	519	307131
21802	VE Peribronchial	Vascular-Endothelial	CCDC85B	CCDC85B	11007	0.685685719	1.62840147	0.638461538	0.257309291	2080	305570
11946	Macrophage Alveolar	Immune_Myeloid	CCDC88A	CCDC88A	55704	0.698388131	1.842272822	0.770661767	0.347455082	74558	233092
1862	B Plasma	Immune_Lymphoid	CCDC88C	CCDC88C	440193	0.361292077	1.592816903	0.434859155	0.135328239	1136	306514
3563	Ciliated	Epithelial	CCDC88C	CCDC88C	440193	0.663143587	2.600710099	0.647794118	0.120105323	9520	298130
16675	NK	Immune_Lymphoid	CCDC88C	CCDC88C	440193	0.371631611	1.025795599	0.29484918	0.130372715	11338	296312
18123	T	Immune_Lymphoid	CCDC88C	CCDC88C	440193	0.316663948	0.936254237	0.273879021	0.128843278	16102	291548
18495	T Cytotoxic	Immune_Lymphoid	CCDC88C	CCDC88C	440193	0.312856647	0.941090141	0.274518175	0.128660894	16396	291254
18813	T Regulatory	Immune_Lymphoid	CCDC88C	CCDC88C	440193	0.546895077	1.574063451	0.429644809	0.135032301	1464	306186
19063	T Regulatory	Immune_Lymphoid	CCDC91	CCDC91	55297	0.334743229	0.269458759	0.506830601	0.439755573	1464	306186
10983	Lymphatic	Vascular-Endothelial	CCL14	CCL14	6358	0.621052922	3.699260231	0.351094196	0.013212327	2102	305548
19112	VE Venous	Vascular-Endothelial	CCL14	CCL14	6358	1.521631766	4.649954272	0.6	0.014130718	730	306920
20317	VE Arterial	Vascular-Endothelial	CCL14	CCL14	6358	0.675882219	3.515168865	0.33420026	0.014722319	769	306881
21369	VE Peribronchial	Vascular-Endothelial	CCL14	CCL14	6358	1.94415978	5.696869867	0.759134615	0.010459142	2080	305570
4866	cDC2	Immune_Myeloid	CCL17	CCL17	6361	1.299151521	3.350302296	0.46356453	0.029416653	6834	300816
5455	cDC1	Immune_Myeloid	CCL17	CCL17	6361	0.422473473	2.036961396	0.233892321	0.038340451	1133	306517
5918	DC Mature	Immune_Myeloid	CCL17	CCL17	6361	1.247806044	3.276078157	0.510204082	0.037856915	784	306866
11846	Macrophage	Immune_Myeloid	CCL18	CCL18	6362	0.449690426	0.593600556	0.517578949	0.372090448	108994	198656
12038	Macrophage Alveolar	Immune_Myeloid	CCL18	CCL18	6362	1.041512728	1.46776981	0.689570536	0.338570178	74558	233092
5890	DC Mature	Immune_Myeloid	CCL19	CCL19	6363	0.70963039	5.723165013	0.417091837	0.002333266	784	306866
8139	Fibroblast	Mesenchyme	CCL2	CCL2	6347	0.601092285	1.628707598	0.375235938	0.105425884	2649	305001
11609	Macrophage	Immune_Myeloid	CCL2	CCL2	6347	0.309076645	1.389570887	0.198313669	0.058060164	108994	198656
12801	Mesothelial	Epithelial	CCL2	CCL2	6347	1.088787522	2.534048182	0.601410935	0.106837565	567	307083
14203	Myofibroblast	Mesenchyme	CCL2	CCL2	6347	0.838218098	2.024043826	0.466590844	0.103599412	3517	304133
15561	Aberrant Basaloid	Epithelial	CCL2	CCL2	6347	0.35977603	1.578474291	0.367983368	0.107341561	481	307169
17831	SMC	Mesenchyme	CCL2	CCL2	6347	0.323098398	0.970784764	0.240793201	0.107443052	706	306944
19468	VE Venous	Vascular-Endothelial	CCL2	CCL2	6347	0.630584769	1.558762631	0.363013699	0.107141926	730	306920
20130	VE Capillary B	Vascular-Endothelial	CCL2	CCL2	6347	0.322179823	0.823599068	0.214802896	0.107314781	1243	306407
20673	VE Arterial	Vascular-Endothelial	CCL2	CCL2	6347	0.448611272	1.15379319	0.275682705	0.107328248	769	306881
21835	VE Peribronchial	Vascular-Endothelial	CCL2	CCL2	6347	0.402763503	1.512475096	0.35	0.106100075	2080	305570
1286	AT2	Epithelial	CCL20	CCL20	6364	0.346003369	0.937194641	0.359252714	0.180102012	3961	303689
10928	Lymphatic	Vascular-Endothelial	CCL21	CCL21	6366	4.285260351	6.971312374	0.952901998	0.018543731	2102	305548
17106	Pericytes	Mesenchyme	CCL21	CCL21	6366	0.438948323	2.520410211	0.237313433	0.024464134	670	306980
5893	DC Mature	Immune_Myeloid	CCL22	CCL22	6367	1.527136824	4.811664314	0.645408163	0.014576395	784	306866
19379	VE Venous	Vascular-Endothelial	CCL23	CCL23	6368	0.648722551	2.044720776	0.354794521	0.066489639	730	306920
16610	NK	Immune_Lymphoid	CCL3	CCL3	6348	0.461211462	1.801908686	0.256659023	0.053899268	11338	296312
9058	ILC A	Immune_Lymphoid	CCL4	CCL4	6351	1.34788231	1.708787825	0.605937922	0.217699709	741	306909
16542	NK	Immune_Lymphoid	CCL4	CCL4	6351	2.493984328	3.061284981	0.837978479	0.194936418	11338	296312
18381	T Cytotoxic	Immune_Lymphoid	CCL4	CCL4	6351	1.792960358	2.49308214	0.73865577	0.189360489	16396	291254
16619	NK	Immune_Lymphoid	CCL4L2	CCL4L2	9560	0.832848428	1.638589591	0.377668019	0.105456411	11338	296312
18489	T Cytotoxic	Immune_Lymphoid	CCL4L2	CCL4L2	9560	0.403756382	1.002085038	0.248048304	0.108025984	16396	291254
9022	ILC A	Immune_Lymphoid	CCL5	CCL5	6352	1.151299573	2.252032177	0.562753036	0.119198199	741	306909
16538	NK	Immune_Lymphoid	CCL5	CCL5	6352	1.750545265	3.124392882	0.711148351	0.097657199	11338	296312
18027	T	Immune_Lymphoid	CCL5	CCL5	6352	0.734654553	1.863928064	0.426406658	0.103358624	16102	291548
18341	T Cytotoxic	Immune_Lymphoid	CCL5	CCL5	6352	2.370075686	4.446383032	0.877775067	0.077622968	16396	291254
13770	ncMonocyte	Immune_Myeloid	CCM2	CCM2	83605	0.316465675	0.663479213	0.354590049	0.220578787	5708	301942
15292	Aberrant Basaloid	Epithelial	CCNC	CCNC	892	0.327965019	2.090113854	0.600831601	0.156822466	481	307169
16231	PNEC	Epithelial	CCNC	CCNC	892	0.378024067	1.613796657	0.483870968	0.157450876	62	307588
240	AT1	Epithelial	CCND1	CCND1	595	0.328963782	2.544729195	0.261158594	0.027025705	1053	306597
4327	Club	Epithelial	CCND1	CCND1	595	0.305653811	2.837219079	0.308506468	0.025480254	2551	305099
8511	Goblet	Epithelial	CCND1	CCND1	595	0.35877664	3.28534538	0.41816758	0.026200089	1277	306373
14601	Aberrant Basaloid	Epithelial	CCND1	CCND1	595	0.722893048	4.137782367	0.634095634	0.026877712	481	307169
21023	VE Capillary A	Vascular-Endothelial	CCND1	CCND1	595	0.383659463	2.345709737	0.227360308	0.027489898	519	307131
14676	Aberrant Basaloid	Epithelial	CCND2	CCND2	894	0.99986988	3.821345339	0.760914761	0.064970749	481	307169
18816	T Regulatory	Immune_Lymphoid	CCND2	CCND2	894	0.306218907	1.565486554	0.25	0.065179335	1464	306186
1432	B	Immune_Lymphoid	CCND3	CCND3	896	0.979139046	1.380619635	0.74920836	0.428886924	7895	299755
7585	pDC	Immune_Myeloid	CCND3	CCND3	896	0.395303055	0.801902551	0.633663366	0.436654363	707	306943
9098	ILC A	Immune_Lymphoid	CCND3	CCND3	896	0.931367845	1.129298409	0.705802969	0.436458364	741	306909
9406	ILC B	Immune_Lymphoid	CCND3	CCND3	896	1.118864981	1.416697475	0.762208068	0.436608622	471	307179
16652	NK	Immune_Lymphoid	CCND3	CCND3	896	1.122062361	1.289550821	0.72931734	0.425926051	11338	296312
18139	T	Immune_Lymphoid	CCND3	CCND3	896	0.759416072	0.827882051	0.629859645	0.426461509	16102	291548
18470	T Cytotoxic	Immune_Lymphoid	CCND3	CCND3	896	0.9525301	1.151669467	0.698219078	0.422407933	16396	291254
5972	DC Mature	Immune_Myeloid	CCNG2	CCNG2	901	0.592948958	2.399854279	0.520408163	0.089618922	784	306866
6639	DC Langerhans	Immune_Myeloid	CCNG2	CCNG2	901	0.379882351	1.982179465	0.41875	0.090375167	320	307330
9304	ILC A	Immune_Lymphoid	CCNH	CCNH	902	0.33304918	0.230561802	0.458839406	0.402428733	741	306909
16840	NK	Immune_Lymphoid	CCNH	CCNH	902	0.323076291	0.137738804	0.434820956	0.401330354	11338	296312
18172	T	Immune_Lymphoid	CCNH	CCNH	902	0.548204888	0.563780372	0.534591976	0.39527282	16102	291548
18632	T Cytotoxic	Immune_Lymphoid	CCNH	CCNH	902	0.400815146	0.336509295	0.480848988	0.398157622	16396	291254
6245	DC Mature	Immune_Myeloid	CCNI	CCNI	10983	0.521329231	1.130822548	0.830357143	0.611674151	784	306866
6849	DC Langerhans	Immune_Myeloid	CCNI	CCNI	10983	0.51409902	1.508297655	0.878125	0.611954577	320	307330
10442	Ionocyte	Epithelial	CCNI	CCNI	10983	0.554850752	1.7841149	0.92	0.61220642	25	307625
13177	Mesothelial	Epithelial	CCNL1	CCNL1	57018	0.411051924	0.9194362	0.735449735	0.525200027	567	307083
613	AT1	Epithelial	CCNY	CCNY	219771	0.472038825	0.763147815	0.598290598	0.409703944	1053	306597
15537	Aberrant Basaloid	Epithelial	CCNY	CCNY	219771	0.398394907	1.649320638	0.783783784	0.409764657	481	307169
19666	VE Venous	Vascular-Endothelial	CCNY	CCNY	219771	0.455167724	0.622647935	0.564383562	0.409983057	730	306920
20210	VE Capillary B	Vascular-Endothelial	CCNY	CCNY	219771	0.472386067	0.388241235	0.506033789	0.409961261	1243	306407
21997	VE Peribronchial	Vascular-Endothelial	CCNY	CCNY	219771	0.405265991	0.88946283	0.627403846	0.408871944	2080	305570
10592	Ionocyte	Epithelial	CCNYL1	CCNYL1	151195	0.307066216	1.505783	0.4	0.130646079	25	307625
12958	Mesothelial	Epithelial	CCNYL1	CCNYL1	151195	0.446388125	1.762969888	0.465608466	0.130049531	567	307083
3379	Ciliated	Epithelial	CCP110	CCP110	9738	0.622682127	3.140216448	0.552731092	0.050759736	9520	298130
5891	DC Mature	Immune_Myeloid	CCR7	CCR7	1236	1.613372901	5.702311332	0.849489796	0.018428239	784	306866
5386	cDC1	Immune_Myeloid	CCSER1	CCSER1	401145	1.051804696	2.876581978	0.9929391	0.88177491	1133	306517
6629	DC Langerhans	Immune_Myeloid	CCSER1	CCSER1	401145	0.664014829	2.037166436	0.984375	0.882077897	320	307330
12133	Macrophage Alveolar	Immune_Myeloid	CCSER1	CCSER1	401145	0.804627514	1.236034655	0.954505217	0.859051362	74558	233092
9141	ILC A	Immune_Lymphoid	CCSER2	CCSER2	54462	0.663124253	0.888115839	0.54925776	0.33387421	741	306909
15536	Aberrant Basaloid	Epithelial	CCSER2	CCSER2	54462	0.354601617	1.650655611	0.723492723	0.333783683	481	307169
16725	NK	Immune_Lymphoid	CCSER2	CCSER2	54462	0.579013571	0.662500953	0.486946551	0.328555712	11338	296312
18113	T	Immune_Lymphoid	CCSER2	CCSER2	54462	0.751855146	0.994587045	0.561979878	0.321823508	16102	291548
18472	T Cytotoxic	Immune_Lymphoid	CCSER2	CCSER2	54462	0.803982454	1.103073906	0.58666748	0.320191311	16396	291254
18982	T Regulatory	Immune_Lymphoid	CCSER2	CCSER2	54462	0.448984315	0.642518748	0.487704918	0.333659932	1464	306186
20790	VE Arterial	Vascular-Endothelial	CCSER2	CCSER2	54462	0.311297459	0.630318686	0.485045514	0.334015465	769	306881
10539	Ionocyte	Epithelial	CCT3	CCT3	7203	0.332175733	1.590624505	0.56	0.204430719	25	307625
5112	cDC2	Immune_Myeloid	CD109	CD109	135228	0.421782672	1.13711421	0.521656424	0.259138477	6834	300816
7030	DC Langerhans	Immune_Myeloid	CD109	CD109	135228	0.41343642	1.259741125	0.559375	0.264663391	320	307330
11630	Macrophage	Immune_Myeloid	CD109	CD109	135228	0.463745207	1.325047651	0.43661119	0.170797761	108994	198656
20156	VE Capillary B	Vascular-Endothelial	CD109	CD109	135228	0.43838707	0.704130074	0.420756235	0.264337956	1243	306407
11591	Macrophage	Immune_Myeloid	CD14	CD14	929	0.569967635	1.559126615	0.513725526	0.181796674	108994	198656
13285	cMonocyte	Immune_Myeloid	CD14	CD14	929	0.646948795	1.180801743	0.565262342	0.285309439	15476	292174
340	AT1	Epithelial	CD151	CD151	977	1.196434092	1.974160229	0.749287749	0.293052443	1053	306597
11394	Lymphatic	Vascular-Endothelial	CD151	CD151	977	0.472682637	0.956634661	0.519029496	0.293070156	2102	305548
12096	Macrophage Alveolar	Immune_Myeloid	CD151	CD151	977	0.308728673	1.302815215	0.515169398	0.224066034	74558	233092
15286	Aberrant Basaloid	Epithelial	CD151	CD151	977	0.847496917	2.100998637	0.773388773	0.29386429	481	307169
17390	Pericytes	Mesenchyme	CD151	CD151	977	0.384443484	0.73154251	0.464179104	0.294243925	670	306980
17788	SMC	Mesenchyme	CD151	CD151	977	0.711167808	1.224915804	0.586402266	0.293942869	706	306944
20802	VE Arterial	Vascular-Endothelial	CD151	CD151	977	0.31587607	0.56303235	0.422626788	0.294293228	769	306881
11674	Macrophage	Immune_Myeloid	CD163	CD163	9332	0.336113088	1.153058491	0.434143164	0.1949702	108994	198656
11602	Macrophage	Immune_Myeloid	CD163L1	CD163L1	283316	0.671863306	1.430305894	0.680633796	0.337684238	108994	198656
12177	Macrophage Alveolar	Immune_Myeloid	CD163L1	CD163L1	283316	0.308469605	1.141300702	0.668835001	0.39212414	74558	233092
12155	Macrophage Alveolar	Immune_Myeloid	CD164	CD164	8763	0.38951086	1.188091319	0.708361276	0.425394265	74558	233092
16412	PNEC	Epithelial	CD164	CD164	8763	0.430140226	1.060411295	0.741935484	0.493920439	62	307588
2758	Ciliated	Epithelial	CD164L2	CD164L2	388611	0.672342192	5.944338095	0.551470588	0.003210009	9520	298130
6454	DC Langerhans	Immune_Myeloid	CD1A	CD1A	909	1.645744388	7.208510872	0.865625	0.004698533	320	307330
4863	cDC2	Immune_Myeloid	CD1C	CD1C	911	0.592216631	4.45150903	0.433860111	0.008855912	6834	300816
6462	DC Langerhans	Immune_Myeloid	CD1C	CD1C	911	1.160795695	5.370526951	0.79375	0.017489344	320	307330
4862	cDC2	Immune_Myeloid	CD1E	CD1E	913	0.407430454	4.598905032	0.325285338	0.004826871	6834	300816
6457	DC Langerhans	Immune_Myeloid	CD1E	CD1E	913	1.279527252	6.146080527	0.840625	0.01108255	320	307330
9061	ILC A	Immune_Lymphoid	CD2	CD2	914	0.366859957	1.609209524	0.282051282	0.072959737	741	306909
17973	T	Immune_Lymphoid	CD2	CD2	914	0.87152656	2.9367667	0.498136877	0.050008918	16102	291548
18370	T Cytotoxic	Immune_Lymphoid	CD2	CD2	914	0.770283351	2.73515897	0.457367651	0.051851648	16396	291254
18730	T Regulatory	Immune_Lymphoid	CD2	CD2	914	1.014636886	2.964694808	0.596994536	0.070960135	1464	306186
12596	Mesothelial	Epithelial	CD200	CD200	4345	0.475465573	4.213284021	0.42680776	0.01090259	567	307083
21441	VE Peribronchial	Vascular-Endothelial	CD200	CD200	4345	0.32369524	3.869042132	0.316826923	0.00959191	2080	305570
6455	DC Langerhans	Immune_Myeloid	CD207	CD207	50489	0.966968834	6.731862123	0.621875	0.001952299	320	307330
1372	B	Immune_Lymphoid	CD22	CD22	933	0.367194517	2.061275072	0.263077897	0.043472169	7895	299755
5403	cDC1	Immune_Myeloid	CD226	CD226	10666	0.490836204	2.550409171	0.474845543	0.065924565	1133	306517
16625	NK	Immune_Lymphoid	CD226	CD226	10666	0.354098765	1.548793049	0.234256483	0.06104714	11338	296312
18007	T	Immune_Lymphoid	CD226	CD226	10666	0.528514506	2.087949806	0.31443299	0.053788741	16102	291548
243	AT1	Epithelial	CD24	CD24	100133941	0.468146388	2.521858237	0.355175689	0.042384629	1053	306597
2203	Basal	Epithelial	CD24	CD24	100133941	0.315953639	2.401158686	0.325429757	0.041900491	1687	305963
2939	Ciliated	Epithelial	CD24	CD24	100133941	1.240252004	4.69561535	0.712184874	0.022101097	9520	298130
8647	Goblet	Epithelial	CD24	CD24	100133941	0.359342219	2.61533974	0.375097886	0.042072898	1277	306373
9719	Ionocyte	Epithelial	CD24	CD24	100133941	1.686055603	4.657094719	0.84	0.043390492	25	307625
14551	Aberrant Basaloid	Epithelial	CD24	CD24	100133941	1.448357608	4.343721787	0.773388773	0.042312212	481	307169
15838	PNEC	Epithelial	CD24	CD24	100133941	0.804963082	3.479909653	0.596774194	0.043343694	62	307588
9002	ILC A	Immune_Lymphoid	CD247	CD247	919	1.478210564	2.935222945	0.708502024	0.114206491	741	306909
16513	NK	Immune_Lymphoid	CD247	CD247	919	2.654328124	5.326886402	0.949550185	0.083729312	11338	296312
18001	T	Immune_Lymphoid	CD247	CD247	919	0.736997089	2.137457412	0.473419451	0.095877866	16102	291548
18386	T Cytotoxic	Immune_Lymphoid	CD247	CD247	919	0.857462935	2.405600205	0.529946328	0.092314612	16396	291254
18717	T Regulatory	Immune_Lymphoid	CD247	CD247	919	1.852727462	3.865714609	0.857923497	0.11208873	1464	306186
7744	Fibroblast	Mesenchyme	CD248	CD248	57124	0.742621572	5.185151284	0.50018875	0.005570474	2649	305001
17971	T	Immune_Lymphoid	CD28	CD28	940	0.301483452	3.121742614	0.183828096	0.009830285	16102	291548
18719	T Regulatory	Immune_Lymphoid	CD28	CD28	940	0.730929192	3.832258156	0.442622951	0.016911289	1464	306186
1206	AT2	Epithelial	CD2AP	CD2AP	23607	0.308984657	1.351274512	0.440292855	0.169215875	3961	303689
2457	Basal	Epithelial	CD2AP	CD2AP	23607	0.395635293	1.460670134	0.470657973	0.171063168	1687	305963
3905	Ciliated	Epithelial	CD2AP	CD2AP	23607	0.397510419	1.684246499	0.510084034	0.161932714	9520	298130
4590	Club	Epithelial	CD2AP	CD2AP	23607	0.449216979	1.634359838	0.511956096	0.169869452	2551	305099
7186	pDC	Immune_Myeloid	CD2AP	CD2AP	23607	1.544212423	3.243831384	0.841584158	0.17116533	707	306943
8809	Goblet	Epithelial	CD2AP	CD2AP	23607	0.368556949	1.821688961	0.560689115	0.171088836	1277	306373
9831	Ionocyte	Epithelial	CD2AP	CD2AP	23607	1.209339143	3.427716672	0.88	0.172648517	25	307625
14891	Aberrant Basaloid	Epithelial	CD2AP	CD2AP	23607	0.868070839	3.122175089	0.825363825	0.171683992	481	307169
13231	cMonocyte	Immune_Myeloid	CD300E	CD300E	342510	0.788507007	2.344164274	0.52791419	0.096877203	15476	292174
13587	ncMonocyte	Immune_Myeloid	CD300E	CD300E	342510	0.313868835	1.318164597	0.326033637	0.114637911	5708	301942
7787	Fibroblast	Mesenchyme	CD34	CD34	947	0.636247703	4.42820269	0.499433749	0.011767175	2649	305001
19823	VE Capillary B	Vascular-Endothelial	CD34	CD34	947	0.350428113	2.985528846	0.232502011	0.015087775	1243	306407
21432	VE Peribronchial	Vascular-Endothelial	CD34	CD34	947	0.50354446	4.013383476	0.425	0.013181922	2080	305570
11145	Lymphatic	Vascular-Endothelial	CD36	CD36	948	1.365364369	2.328021976	0.755946717	0.231813005	2102	305548
20129	VE Capillary B	Vascular-Endothelial	CD36	CD36	948	0.606874075	0.82628064	0.411906677	0.234678059	1243	306407
1444	B	Immune_Lymphoid	CD37	CD37	951	0.895786909	1.302854886	0.704876504	0.393564745	7895	299755
13778	ncMonocyte	Immune_Myeloid	CD37	CD37	951	0.338851975	0.621138362	0.552382621	0.3987024	5708	301942
1065	AT2	Epithelial	CD38	CD38	952	0.329554024	1.951939192	0.342842716	0.068981754	3961	303689
3665	Ciliated	Epithelial	CD38	CD38	952	0.372027481	2.370970953	0.412920168	0.061637541	9520	298130
