gene	logFC	p_val	pval_adj	cell
NKTR	1.86	8.23E-20	5.02E-15	Neuroendocrine_SS2
CD24	1.44	9.61E-20	5.86E-15	Neuroendocrine_SS2
AC084819.1	3.45	1.30E-19	7.91E-15	Neuroendocrine_SS2
CHST1	2.42	1.30E-19	7.91E-15	Neuroendocrine_SS2
AC012213.4	2.38	1.30E-19	7.91E-15	Neuroendocrine_SS2
AC055758.2	3.53	1.30E-19	7.91E-15	Neuroendocrine_SS2
CADM2	3.41	2.25E-19	1.37E-14	Neuroendocrine_SS2
PON3	1.93	2.28E-19	1.39E-14	Neuroendocrine_SS2
FBLN7	3.88	2.67E-19	1.63E-14	Neuroendocrine_SS2
STXBP5L	4.07	2.86E-19	1.75E-14	Neuroendocrine_SS2
SSR4	1.4	3.04E-19	1.85E-14	Neuroendocrine_SS2
PPP3CA	1.42	3.18E-19	1.94E-14	Neuroendocrine_SS2
RUNDC3A	3.34	3.29E-19	2.01E-14	Neuroendocrine_SS2
NFASC	3.25	3.75E-19	2.29E-14	Neuroendocrine_SS2
AL157944.1	3.87	4.72E-19	2.88E-14	Neuroendocrine_SS2
MXD4	1.72	4.75E-19	2.89E-14	Neuroendocrine_SS2
TMEM178B	3.16	4.90E-19	2.98E-14	Neuroendocrine_SS2
UNC13A	3.54	5.70E-19	3.47E-14	Neuroendocrine_SS2
SRM	1.99	6.33E-19	3.86E-14	Neuroendocrine_SS2
AL121721.1	3.47	6.69E-19	4.08E-14	Neuroendocrine_SS2
SNTG1	3.18	7.75E-19	4.72E-14	Neuroendocrine_SS2
RASD1	2.43	9.76E-19	5.95E-14	Neuroendocrine_SS2
MT-CO2	0.97	1.45E-18	8.84E-14	Neuroendocrine_SS2
VGF	2.5	1.46E-18	8.92E-14	Neuroendocrine_SS2
MRAP2	3.66	1.48E-18	9.02E-14	Neuroendocrine_SS2
ADAMTS18	4.18	1.56E-18	9.54E-14	Neuroendocrine_SS2
NEBL	1.49	1.67E-18	1.02E-13	Neuroendocrine_SS2
AC004540.2	2.49	1.92E-18	1.17E-13	Neuroendocrine_SS2
AL365223.1	3.58	2.19E-18	1.33E-13	Neuroendocrine_SS2
AC018716.2	3.06	2.19E-18	1.33E-13	Neuroendocrine_SS2
BEST3	3.23	2.19E-18	1.33E-13	Neuroendocrine_SS2
KCNMA1	2.39	2.83E-18	1.73E-13	Neuroendocrine_SS2
ADAM28	1.98	3.27E-18	2.00E-13	Neuroendocrine_SS2
CBX6	1.57	3.40E-18	2.07E-13	Neuroendocrine_SS2
SCN3B	2.48	3.63E-18	2.21E-13	Neuroendocrine_SS2
LEMD1	3.19	3.94E-18	2.40E-13	Neuroendocrine_SS2
SMPD3	2.71	4.19E-18	2.56E-13	Neuroendocrine_SS2
TBCA	1.4	6.60E-18	4.03E-13	Neuroendocrine_SS2
BATF	3.15	1.13E-17	6.88E-13	Neuroendocrine_SS2
SLIT1	3.39	1.27E-17	7.73E-13	Neuroendocrine_SS2
C3orf14	2.09	1.56E-17	9.50E-13	Neuroendocrine_SS2
ABLIM2	1.96	1.67E-17	1.02E-12	Neuroendocrine_SS2
SKAP1	3.18	1.93E-17	1.18E-12	Neuroendocrine_SS2
PIEZO2	2.23	2.05E-17	1.25E-12	Neuroendocrine_SS2
OTULINL	1.5	2.47E-17	1.51E-12	Neuroendocrine_SS2
SEMA3D	3.05	3.04E-17	1.85E-12	Neuroendocrine_SS2
AP003121.1	3.25	3.60E-17	2.19E-12	Neuroendocrine_SS2
ANO5	2.8	4.08E-17	2.49E-12	Neuroendocrine_SS2
PLEKHG5	3.16	6.29E-17	3.83E-12	Neuroendocrine_SS2
SYT14	3.23	6.67E-17	4.07E-12	Neuroendocrine_SS2
SCIN	2.67	8.65E-17	5.27E-12	Neuroendocrine_SS2
TOX2	3.62	9.16E-17	5.58E-12	Neuroendocrine_SS2
IGFBP2	1.07	9.76E-17	5.95E-12	Neuroendocrine_SS2
RGS11	2.75	1.40E-16	8.54E-12	Neuroendocrine_SS2
HGF	4.01	1.48E-16	9.03E-12	Neuroendocrine_SS2
ST8SIA5	3.68	1.58E-16	9.64E-12	Neuroendocrine_SS2
SLC25A42	2.31	1.87E-16	1.14E-11	Neuroendocrine_SS2
CELSR3	2.4	2.48E-16	1.51E-11	Neuroendocrine_SS2
UCP2	1.59	2.53E-16	1.54E-11	Neuroendocrine_SS2
SCAMP5	3.54	2.58E-16	1.58E-11	Neuroendocrine_SS2
SNRPN	2.12	2.61E-16	1.59E-11	Neuroendocrine_SS2
VIPR1-AS1	1.82	3.68E-16	2.24E-11	Neuroendocrine_SS2
MME	2.2	3.73E-16	2.27E-11	Neuroendocrine_SS2
STEAP2	2.29	4.28E-16	2.61E-11	Neuroendocrine_SS2
AC096719.1	3.6	4.65E-16	2.83E-11	Neuroendocrine_SS2
AC024940.6	2.66	5.78E-16	3.53E-11	Neuroendocrine_SS2
SCGB1D1	4.43	5.78E-16	3.53E-11	Neuroendocrine_SS2
SMCO4	2.24	6.28E-16	3.83E-11	Neuroendocrine_SS2
FGF12	2.76	6.65E-16	4.05E-11	Neuroendocrine_SS2
BEX2	1.67	6.94E-16	4.23E-11	Neuroendocrine_SS2
DACH1	3.28	7.09E-16	4.32E-11	Neuroendocrine_SS2
TBX19	3.13	8.05E-16	4.91E-11	Neuroendocrine_SS2
MT-ATP6	0.79	9.72E-16	5.92E-11	Neuroendocrine_SS2
MS4A8	0.33	1.34E-15	8.18E-11	Neuroendocrine_SS2
SRRM3	3.32	1.47E-15	8.93E-11	Neuroendocrine_SS2
HAGH	1.44	1.61E-15	9.79E-11	Neuroendocrine_SS2
GINS2	3.18	1.61E-15	9.82E-11	Neuroendocrine_SS2
ID2	1.82	1.75E-15	1.07E-10	Neuroendocrine_SS2
MEG8	2.33	2.02E-15	1.23E-10	Neuroendocrine_SS2
FKBP5	1.83	2.10E-15	1.28E-10	Neuroendocrine_SS2
PTK2B	2.06	2.19E-15	1.34E-10	Neuroendocrine_SS2
ZNF350-AS1	3.35	2.57E-15	1.57E-10	Neuroendocrine_SS2
CMIP	1.81	3.50E-15	2.13E-10	Neuroendocrine_SS2
VAMP2	1.18	3.68E-15	2.24E-10	Neuroendocrine_SS2
AL161908.1	3.44	4.39E-15	2.68E-10	Neuroendocrine_SS2
SS18L2	1.9	4.48E-15	2.73E-10	Neuroendocrine_SS2
AC106795.2	2.08	4.51E-15	2.75E-10	Neuroendocrine_SS2
CAMK1D	1.61	4.64E-15	2.83E-10	Neuroendocrine_SS2
ADGRG6	2.62	5.28E-15	3.22E-10	Neuroendocrine_SS2
MTATP6P1	0.78	5.53E-15	3.37E-10	Neuroendocrine_SS2
DDX25	3.52	5.81E-15	3.54E-10	Neuroendocrine_SS2
OR51N1P	3.39	5.85E-15	3.57E-10	Neuroendocrine_SS2
CIRBP	1.15	6.82E-15	4.16E-10	Neuroendocrine_SS2
PCSK2	2.5	7.38E-15	4.50E-10	Neuroendocrine_SS2
SYP	2.47	7.73E-15	4.71E-10	Neuroendocrine_SS2
AC092691.1	2.19	9.08E-15	5.54E-10	Neuroendocrine_SS2
ADAMTSL2	2.7	9.85E-15	6.01E-10	Neuroendocrine_SS2
MT-ND4L	0.79	1.71E-14	1.05E-09	Neuroendocrine_SS2
NPTX1	3.43	1.74E-14	1.06E-09	Neuroendocrine_SS2
HLA-C1	1.29	1.89E-14	1.15E-09	Neuroendocrine_SS2
FAT3	2.7	2.14E-14	1.31E-09	Neuroendocrine_SS2
MIR200CHG	1.95	2.36E-14	1.44E-09	Neuroendocrine_SS2
CACNA1D	2.52	2.37E-14	1.44E-09	Neuroendocrine_SS2
PCLO	1.48	2.66E-14	1.62E-09	Neuroendocrine_SS2
FKBP2	1.26	3.04E-14	1.85E-09	Neuroendocrine_SS2
CHDH	1.84	3.19E-14	1.94E-09	Neuroendocrine_SS2
MAPK8IP2	2.24	3.33E-14	2.03E-09	Neuroendocrine_SS2
ONECUT2	3.35	3.37E-14	2.05E-09	Neuroendocrine_SS2
SFT2D2	1.74	3.52E-14	2.14E-09	Neuroendocrine_SS2
IL17RB	2.61	4.04E-14	2.46E-09	Neuroendocrine_SS2
PCDHB4	4.78	4.26E-14	2.60E-09	Neuroendocrine_SS2
SV2B	2.64	4.50E-14	2.74E-09	Neuroendocrine_SS2
FLT4	3.67	4.88E-14	2.98E-09	Neuroendocrine_SS2
MIR7-3HG	3.62	4.89E-14	2.98E-09	Neuroendocrine_SS2
NRCAM	3.41	5.48E-14	3.34E-09	Neuroendocrine_SS2
UNC5D	2.97	5.60E-14	3.42E-09	Neuroendocrine_SS2
NLGN1	2.2	5.97E-14	3.64E-09	Neuroendocrine_SS2
ID4	1.46	7.18E-14	4.38E-09	Neuroendocrine_SS2
SLC35G2	2.29	7.42E-14	4.53E-09	Neuroendocrine_SS2
USP27X	1.99	7.68E-14	4.68E-09	Neuroendocrine_SS2
CACNA1A	3.2	8.68E-14	5.29E-09	Neuroendocrine_SS2
GPRC5B	2.16	9.24E-14	5.63E-09	Neuroendocrine_SS2
MGAT4A	1.77	1.01E-13	6.18E-09	Neuroendocrine_SS2
LYPD1	2.79	1.12E-13	6.83E-09	Neuroendocrine_SS2
KCTD12	1.34	1.12E-13	6.86E-09	Neuroendocrine_SS2
TMEM108	2.05	1.17E-13	7.14E-09	Neuroendocrine_SS2
SNTG2	3.82	1.18E-13	7.18E-09	Neuroendocrine_SS2
ROBO1	2.02	1.25E-13	7.64E-09	Neuroendocrine_SS2
DYNC1I1	2.57	1.28E-13	7.83E-09	Neuroendocrine_SS2
TOX3	1.89	1.35E-13	8.23E-09	Neuroendocrine_SS2
AC138965.3	2.92	1.39E-13	8.50E-09	Neuroendocrine_SS2
TBX1	2.6	1.59E-13	9.67E-09	Neuroendocrine_SS2
NUPR2	2.59	1.77E-13	1.08E-08	Neuroendocrine_SS2
CNKSR3	1.31	1.82E-13	1.11E-08	Neuroendocrine_SS2
INHBA	3.9	1.97E-13	1.20E-08	Neuroendocrine_SS2
ARHGAP6	2.09	2.17E-13	1.33E-08	Neuroendocrine_SS2
DNAJC6	1.88	2.22E-13	1.36E-08	Neuroendocrine_SS2
QPCT	3.52	2.26E-13	1.38E-08	Neuroendocrine_SS2
PRDX2	1.17	2.44E-13	1.49E-08	Neuroendocrine_SS2
EIF4EBP1	2.3	2.45E-13	1.49E-08	Neuroendocrine_SS2
MT-ATP8	0.82	2.79E-13	1.70E-08	Neuroendocrine_SS2
NOS2	4.48	2.99E-13	1.82E-08	Neuroendocrine_SS2
ANK2	1.76	4.29E-13	2.62E-08	Neuroendocrine_SS2
IVNS1ABP	1.73	4.52E-13	2.76E-08	Neuroendocrine_SS2
TUSC8	3.35	4.88E-13	2.98E-08	Neuroendocrine_SS2
RGS7	3.26	5.50E-13	3.35E-08	Neuroendocrine_SS2
NPAS3	1.92	5.67E-13	3.46E-08	Neuroendocrine_SS2
NR0B2	1.98	5.71E-13	3.48E-08	Neuroendocrine_SS2
SERGEF	2.28	6.13E-13	3.74E-08	Neuroendocrine_SS2
LPL	1.88	6.37E-13	3.88E-08	Neuroendocrine_SS2
FOLR2	3.19	6.57E-13	4.01E-08	Neuroendocrine_SS2
ATP6V0B	1.31	7.66E-13	4.67E-08	Neuroendocrine_SS2
RIPPLY2	2.38	8.37E-13	5.10E-08	Neuroendocrine_SS2
CLNK	3.43	8.45E-13	5.15E-08	Neuroendocrine_SS2
SLC46A3	2.33	9.28E-13	5.66E-08	Neuroendocrine_SS2
RIMBP2	2.98	9.52E-13	5.81E-08	Neuroendocrine_SS2
FKBP1B	1.97	9.82E-13	5.98E-08	Neuroendocrine_SS2
CDC25B	1.44	1.29E-12	7.85E-08	Neuroendocrine_SS2
ASRGL1	2.15	1.31E-12	7.97E-08	Neuroendocrine_SS2
STXBP6	2.28	1.37E-12	8.36E-08	Neuroendocrine_SS2
ZKSCAN1	1.06	1.42E-12	8.67E-08	Neuroendocrine_SS2
RPS27AP16	0.95	1.67E-12	1.02E-07	Neuroendocrine_SS2
MIEN1	1.33	1.76E-12	1.08E-07	Neuroendocrine_SS2
FURIN	1.39	1.80E-12	1.10E-07	Neuroendocrine_SS2
AMIGO2	2.03	1.81E-12	1.10E-07	Neuroendocrine_SS2
TMX4	1.55	1.82E-12	1.11E-07	Neuroendocrine_SS2
ACTL6B	3.7	1.93E-12	1.18E-07	Neuroendocrine_SS2
MT-CO1	0.93	2.06E-12	1.26E-07	Neuroendocrine_SS2
CGA	4.1	2.10E-12	1.28E-07	Neuroendocrine_SS2
AC109466.1	3.5	2.14E-12	1.31E-07	Neuroendocrine_SS2
PLEKHB1	1.46	2.30E-12	1.40E-07	Neuroendocrine_SS2
GADD45G	1.58	2.49E-12	1.52E-07	Neuroendocrine_SS2
LDLRAD4	2.2	2.63E-12	1.60E-07	Neuroendocrine_SS2
LINC00926	2.17	2.83E-12	1.72E-07	Neuroendocrine_SS2
DDX11	2.39	2.85E-12	1.74E-07	Neuroendocrine_SS2
GABRA2	3.23	2.92E-12	1.78E-07	Neuroendocrine_SS2
SELENOK	1.27	2.94E-12	1.79E-07	Neuroendocrine_SS2
DLGAP1	2.98	3.25E-12	1.98E-07	Neuroendocrine_SS2
SEC22C	1.39	3.27E-12	1.99E-07	Neuroendocrine_SS2
LMX1B	2.91	4.57E-12	2.78E-07	Neuroendocrine_SS2
AP000757.1	1.86	4.62E-12	2.81E-07	Neuroendocrine_SS2
GABRB1	2.91	4.64E-12	2.83E-07	Neuroendocrine_SS2
CYFIP2	1.64	5.02E-12	3.06E-07	Neuroendocrine_SS2
BSPRY	1.6	5.20E-12	3.17E-07	Neuroendocrine_SS2
ZNF706	1.17	5.33E-12	3.25E-07	Neuroendocrine_SS2
PRMT7	2.2	6.22E-12	3.79E-07	Neuroendocrine_SS2
HSD17B14	2.93	6.47E-12	3.95E-07	Neuroendocrine_SS2
ZNF618	1.2	6.68E-12	4.07E-07	Neuroendocrine_SS2
CSRNP3	2.53	6.88E-12	4.19E-07	Neuroendocrine_SS2
PPM1K	1.29	7.52E-12	4.59E-07	Neuroendocrine_SS2
C15orf41	3.13	8.61E-12	5.25E-07	Neuroendocrine_SS2
HMGN2	1.01	9.10E-12	5.55E-07	Neuroendocrine_SS2
NTF3	3.32	9.36E-12	5.71E-07	Neuroendocrine_SS2
NKAIN2	2.53	9.95E-12	6.06E-07	Neuroendocrine_SS2
CLIP3	2.62	1.16E-11	7.08E-07	Neuroendocrine_SS2
H3F3A	0.96	1.23E-11	7.49E-07	Neuroendocrine_SS2
FBXW7	1.71	1.30E-11	7.93E-07	Neuroendocrine_SS2
ASAP1	1.2	1.30E-11	7.94E-07	Neuroendocrine_SS2
PFN2	1.03	1.31E-11	7.98E-07	Neuroendocrine_SS2
HOOK1	1.63	1.35E-11	8.24E-07	Neuroendocrine_SS2
TCEAL3	1.35	1.38E-11	8.42E-07	Neuroendocrine_SS2
JAKMIP2	2.78	1.42E-11	8.63E-07	Neuroendocrine_SS2
MIR29B2CHG	1.38	1.43E-11	8.72E-07	Neuroendocrine_SS2
BEX4	1.2	1.47E-11	8.95E-07	Neuroendocrine_SS2
SSPO	1.85	1.78E-11	1.09E-06	Neuroendocrine_SS2
LHFPL6	1.63	2.10E-11	1.28E-06	Neuroendocrine_SS2
ASPHD1	2.1	2.19E-11	1.33E-06	Neuroendocrine_SS2
KCNE4	4.12	2.21E-11	1.35E-06	Neuroendocrine_SS2
SYT11	2.19	2.22E-11	1.35E-06	Neuroendocrine_SS2
PEMT	1.77	2.39E-11	1.46E-06	Neuroendocrine_SS2
BSN	2.34	2.44E-11	1.49E-06	Neuroendocrine_SS2
RNF150	2.38	2.66E-11	1.62E-06	Neuroendocrine_SS2
AC108676.1	2.44	2.79E-11	1.70E-06	Neuroendocrine_SS2
BMPR1B	1.19	2.90E-11	1.77E-06	Neuroendocrine_SS2
MT-ND4	0.68	3.10E-11	1.89E-06	Neuroendocrine_SS2
CAMK1G	3.18	3.10E-11	1.89E-06	Neuroendocrine_SS2
AL032819.2	2.46	3.10E-11	1.89E-06	Neuroendocrine_SS2
FAM163B	2.39	3.10E-11	1.89E-06	Neuroendocrine_SS2
PCDH8	1.86	3.10E-11	1.89E-06	Neuroendocrine_SS2
FGF14	2.36	3.16E-11	1.93E-06	Neuroendocrine_SS2
PRMT8	0.87	3.27E-11	1.99E-06	Neuroendocrine_SS2
GDAP1	2.18	3.84E-11	2.34E-06	Neuroendocrine_SS2
ADARB2	2.4	4.18E-11	2.55E-06	Neuroendocrine_SS2
DAPL1	2.16	5.11E-11	3.11E-06	Neuroendocrine_SS2
SLC18A1	3.23	5.20E-11	3.17E-06	Neuroendocrine_SS2
CHRNA3	2.26	5.47E-11	3.34E-06	Neuroendocrine_SS2
CACNA1H	2.42	5.49E-11	3.35E-06	Neuroendocrine_SS2
SGIP1	2.89	5.63E-11	3.43E-06	Neuroendocrine_SS2
CXXC4	2.14	5.66E-11	3.45E-06	Neuroendocrine_SS2
MMP16	1.98	5.98E-11	3.64E-06	Neuroendocrine_SS2
LSM4	1.18	6.02E-11	3.67E-06	Neuroendocrine_SS2
AKR1B1	1.42	6.61E-11	4.03E-06	Neuroendocrine_SS2
AKR7A3	3.19	7.22E-11	4.40E-06	Neuroendocrine_SS2
SV2A	2.8	8.65E-11	5.27E-06	Neuroendocrine_SS2
AC092801.1	2.32	8.89E-11	5.42E-06	Neuroendocrine_SS2
MGAT4C	3	9.48E-11	5.78E-06	Neuroendocrine_SS2
HCN1	3.12	1.04E-10	6.35E-06	Neuroendocrine_SS2
ATP6V0E2	1.95	1.29E-10	7.89E-06	Neuroendocrine_SS2
SNHG14	1.03	1.31E-10	8.01E-06	Neuroendocrine_SS2
CSF3	1.71	1.32E-10	8.05E-06	Neuroendocrine_SS2
RMST	2.09	1.33E-10	8.12E-06	Neuroendocrine_SS2
SLC12A5	0.59	1.36E-10	8.28E-06	Neuroendocrine_SS2
TBCB	1.18	1.64E-10	9.98E-06	Neuroendocrine_SS2
TCEAL7	2.94	1.84E-10	1.12E-05	Neuroendocrine_SS2
ADGRL2	1.27	1.99E-10	1.21E-05	Neuroendocrine_SS2
MAP7D2	1.63	2.11E-10	1.28E-05	Neuroendocrine_SS2
VEGFB	1.68	2.27E-10	1.38E-05	Neuroendocrine_SS2
SHC2	2.7	2.29E-10	1.40E-05	Neuroendocrine_SS2
AP000911.1	2.93	2.49E-10	1.52E-05	Neuroendocrine_SS2
CELF3	1.53	2.53E-10	1.54E-05	Neuroendocrine_SS2
TMED4	0.91	2.64E-10	1.61E-05	Neuroendocrine_SS2
OCIAD2	1.28	2.87E-10	1.75E-05	Neuroendocrine_SS2
MTMR7	2.35	2.98E-10	1.82E-05	Neuroendocrine_SS2
SDK1	1.23	3.09E-10	1.88E-05	Neuroendocrine_SS2
ERO1B	1.8	3.13E-10	1.91E-05	Neuroendocrine_SS2
TMA7	1.01	3.14E-10	1.92E-05	Neuroendocrine_SS2
RAB8B	2.95	3.48E-10	2.12E-05	Neuroendocrine_SS2
GNAL	1.62	3.54E-10	2.16E-05	Neuroendocrine_SS2
NOS1AP	1.3	3.60E-10	2.19E-05	Neuroendocrine_SS2
RASSF6	1.96	3.61E-10	2.20E-05	Neuroendocrine_SS2
DTNA	1.9	3.76E-10	2.29E-05	Neuroendocrine_SS2
B3GALT5	2.9	4.13E-10	2.52E-05	Neuroendocrine_SS2
HES6	2.25	4.26E-10	2.60E-05	Neuroendocrine_SS2
FMN2	1.73	4.39E-10	2.68E-05	Neuroendocrine_SS2
RN7SL674P	2.93	4.49E-10	2.74E-05	Neuroendocrine_SS2
AC087885.1	2.78	4.49E-10	2.74E-05	Neuroendocrine_SS2
CABP7	1.56	4.49E-10	2.74E-05	Neuroendocrine_SS2
CYYR1	3.29	4.49E-10	2.74E-05	Neuroendocrine_SS2
SOX1	1.93	4.49E-10	2.74E-05	Neuroendocrine_SS2
NAT16	3.07	4.49E-10	2.74E-05	Neuroendocrine_SS2
SNAP91	1.93	4.49E-10	2.74E-05	Neuroendocrine_SS2
NCALD	1.6	4.78E-10	2.91E-05	Neuroendocrine_SS2
ZNF667-AS1	2.03	4.80E-10	2.93E-05	Neuroendocrine_SS2
SEC61B	0.95	4.87E-10	2.97E-05	Neuroendocrine_SS2
ICA1	1.55	5.38E-10	3.28E-05	Neuroendocrine_SS2
KLHDC8A	2.99	5.74E-10	3.50E-05	Neuroendocrine_SS2
HIGD1A	1.71	6.42E-10	3.92E-05	Neuroendocrine_SS2
LINC01089	1.55	7.11E-10	4.34E-05	Neuroendocrine_SS2
ATXN7L3B	1.17	7.20E-10	4.39E-05	Neuroendocrine_SS2
SOD3	2.33	7.32E-10	4.46E-05	Neuroendocrine_SS2
RPL3	0.92	7.37E-10	4.49E-05	Neuroendocrine_SS2
SCN8A	1.45	7.80E-10	4.75E-05	Neuroendocrine_SS2
PPM1L	1.42	7.80E-10	4.76E-05	Neuroendocrine_SS2
ZEB1	2.99	7.86E-10	4.79E-05	Neuroendocrine_SS2
SOBP	1.26	8.02E-10	4.89E-05	Neuroendocrine_SS2
CDK14	0.95	8.49E-10	5.18E-05	Neuroendocrine_SS2
ASB4	2.42	8.86E-10	5.40E-05	Neuroendocrine_SS2
PTPRN2	1.83	9.77E-10	5.96E-05	Neuroendocrine_SS2
BTG1	0.92	9.82E-10	5.99E-05	Neuroendocrine_SS2
CDK18	1.95	1.13E-09	6.89E-05	Neuroendocrine_SS2
MT-ND3	0.73	1.14E-09	6.92E-05	Neuroendocrine_SS2
MAP7	1.47	1.21E-09	7.39E-05	Neuroendocrine_SS2
GALNT14	2.74	1.27E-09	7.74E-05	Neuroendocrine_SS2
TENM4	2.51	1.27E-09	7.74E-05	Neuroendocrine_SS2
CHD7	1.11	1.28E-09	7.79E-05	Neuroendocrine_SS2
C2CD4B	1.81	1.36E-09	8.32E-05	Neuroendocrine_SS2
MT-RNR2	0.62	1.47E-09	8.99E-05	Neuroendocrine_SS2
TMEM206	2.89	1.49E-09	9.05E-05	Neuroendocrine_SS2
PTMS	1.33	1.54E-09	9.36E-05	Neuroendocrine_SS2
AP000894.2	1.61	1.56E-09	9.50E-05	Neuroendocrine_SS2
CDH18	2.38	1.57E-09	9.60E-05	Neuroendocrine_SS2
ATP6V1G1	0.9	1.58E-09	9.61E-05	Neuroendocrine_SS2
RASD2	2.23	1.65E-09	0.000100556	Neuroendocrine_SS2
ARHGAP26	1.9	1.76E-09	0.000107502	Neuroendocrine_SS2
BCAM	1.73	1.80E-09	0.00010969	Neuroendocrine_SS2
ELOVL2	2	1.94E-09	0.000118204	Neuroendocrine_SS2
TULP4	1.45	1.97E-09	0.000120295	Neuroendocrine_SS2
EPHA7	2.11	2.01E-09	0.000122693	Neuroendocrine_SS2
AC099521.2	1.04	2.06E-09	0.000125558	Neuroendocrine_SS2
BCL2	2.51	2.28E-09	0.000139053	Neuroendocrine_SS2
LHFPL4	2.39	2.30E-09	0.00014026	Neuroendocrine_SS2
SLC8A1-AS1	2.44	2.35E-09	0.000143462	Neuroendocrine_SS2
HS3ST2	3.83	2.49E-09	0.000152104	Neuroendocrine_SS2
CDH22	1.52	2.78E-09	0.000169227	Neuroendocrine_SS2
AC055758.1	1.05	3.16E-09	0.000192669	Neuroendocrine_SS2
MIR4458HG	1.62	3.21E-09	0.000195744	Neuroendocrine_SS2
RELN	2.47	3.28E-09	0.000199833	Neuroendocrine_SS2
ZDHHC13	1.59	3.29E-09	0.000200775	Neuroendocrine_SS2
ADCY2	0.74	3.41E-09	0.000207982	Neuroendocrine_SS2
COX8A	0.81	3.82E-09	0.000233199	Neuroendocrine_SS2
DOCK1	2.14	4.01E-09	0.000244523	Neuroendocrine_SS2
LINC01750	2.78	4.49E-09	0.000273474	Neuroendocrine_SS2
DBP	1.97	4.71E-09	0.00028735	Neuroendocrine_SS2
ATOX1	1.33	5.08E-09	0.000309759	Neuroendocrine_SS2
DUSP10	1.71	5.15E-09	0.000314247	Neuroendocrine_SS2
HLTF	1.62	5.42E-09	0.00033056	Neuroendocrine_SS2
HP1BP3	1	5.65E-09	0.000344753	Neuroendocrine_SS2
PTP4A3	3.14	5.66E-09	0.000344935	Neuroendocrine_SS2
BRINP1	3.49	5.88E-09	0.000358778	Neuroendocrine_SS2
LINC00407	1.67	6.40E-09	0.000390339	Neuroendocrine_SS2
SLC17A6	2.63	6.40E-09	0.000390339	Neuroendocrine_SS2
ANKRD34C-AS1	2.49	6.40E-09	0.000390339	Neuroendocrine_SS2
ELAVL3	1.25	6.40E-09	0.000390339	Neuroendocrine_SS2
INHBA-AS1	2.45	6.40E-09	0.000390339	Neuroendocrine_SS2
GABRR1	3.09	6.40E-09	0.000390339	Neuroendocrine_SS2
AC116614.1	0.51	6.40E-09	0.000390339	Neuroendocrine_SS2
RYR2	3.14	6.63E-09	0.000404476	Neuroendocrine_SS2
NAAA	1.43	7.13E-09	0.000434562	Neuroendocrine_SS2
CAMK2N1	1.46	7.74E-09	0.00047196	Neuroendocrine_SS2
AC010627.1	1.78	8.37E-09	0.000510326	Neuroendocrine_SS2
MTCO3P12	0.92	8.58E-09	0.000523346	Neuroendocrine_SS2
CCDC18-AS1	0.84	8.83E-09	0.000538595	Neuroendocrine_SS2
OR51E1	2.7	8.88E-09	0.000541282	Neuroendocrine_SS2
CDH9	2.73	9.15E-09	0.000557627	Neuroendocrine_SS2
SLC7A11	2.94	9.30E-09	0.000566999	Neuroendocrine_SS2
LINC00665	1.77	9.44E-09	0.000575758	Neuroendocrine_SS2
AP001993.1	2.5	9.50E-09	0.000579124	Neuroendocrine_SS2
PTPRD	2.79	9.52E-09	0.000580304	Neuroendocrine_SS2
IP6K2	0.98	9.57E-09	0.000583208	Neuroendocrine_SS2
UBE2E2	1.56	9.57E-09	0.000583365	Neuroendocrine_SS2
ERN1	1.37	9.75E-09	0.000594184	Neuroendocrine_SS2
TFEB	1.98	1.04E-08	0.00063472	Neuroendocrine_SS2
PARD6A	1.93	1.08E-08	0.000660207	Neuroendocrine_SS2
ALDOC	1.8	1.20E-08	0.000731712	Neuroendocrine_SS2
ENO2	0.83	1.24E-08	0.000756791	Neuroendocrine_SS2
ZBTB16	1.01	1.27E-08	0.000775008	Neuroendocrine_SS2
HSD17B10	1.22	1.30E-08	0.000794408	Neuroendocrine_SS2
OGT	1.24	1.36E-08	0.000830439	Neuroendocrine_SS2
NFATC2	1.69	1.37E-08	0.000833702	Neuroendocrine_SS2
C1orf127	3.15	1.46E-08	0.000888502	Neuroendocrine_SS2
LDOC1	1.35	1.64E-08	0.001001094	Neuroendocrine_SS2
CCDC90B	1.93	1.68E-08	0.001026642	Neuroendocrine_SS2
NBEA	0.69	1.69E-08	0.001033221	Neuroendocrine_SS2
VPS8	1.55	1.74E-08	0.001057906	Neuroendocrine_SS2
TMEM141	1.03	1.74E-08	0.001061662	Neuroendocrine_SS2
TMEM229B	2.81	1.76E-08	0.001074282	Neuroendocrine_SS2
PCDHB9	2.02	1.82E-08	0.001110005	Neuroendocrine_SS2
BAG2	2.3	1.83E-08	0.001118125	Neuroendocrine_SS2
SNX10	2.36	1.91E-08	0.001163266	Neuroendocrine_SS2
CHL1	2.42	2.08E-08	0.001267265	Neuroendocrine_SS2
LINC01535	2.62	2.20E-08	0.001338574	Neuroendocrine_SS2
AC003102.1	1.14	2.24E-08	0.001368092	Neuroendocrine_SS2
RAB40B	1.46	2.33E-08	0.001422982	Neuroendocrine_SS2
MT-TP	0.76	2.43E-08	0.001483873	Neuroendocrine_SS2
LINC01814	3.13	2.45E-08	0.001494797	Neuroendocrine_SS2
MRAS	1.01	2.50E-08	0.001523379	Neuroendocrine_SS2
GRM3	2.58	2.61E-08	0.00159388	Neuroendocrine_SS2
ANKH	0.99	2.64E-08	0.001608892	Neuroendocrine_SS2
